PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000228794.8.wgt.RDat	ENSG00000228794.8	1	825137	825138	0.2815	rs1891910	-4.64	rs4040617	0.135506	-5.51	-0.30797	159	11	enet	0.11	3.7e-06	0.58701	0.557
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.1463	rs1891910	-4.64	rs6694632	0.120273	-5.48	-0.412418	186	11	enet	0.15	3.8e-08	0.67097	0.502
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1904	rs1891910	-4.64	rs2765023	0.097173	5.16	-0.969071	278	11	enet	0.096	1.5e-05	-0.78814	0.431
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5556	rs1891910	-4.64	rs2031709	0.194992	-6.59	2.149189	285	20	enet	0.25	1.1e-12	-2.25098	0.0244
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.3626	rs3128317	-4.81	rs12748433	0.158555	6.37	0.756288	306	12	enet	0.18	1.4e-09	1.22438	0.221
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.6945	rs3128317	-4.81	rs4648786	0.064279	-4.47	0.181565	306	41	enet	0.25	4.3e-13	-0.14768	0.883
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.2881	rs3128317	-4.81	rs16824588	-0.005555	3.32	-1.171242	293	39	enet	0.052	0.0012	0.75269	0.452
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.7965	rs3128317	-4.81	rs11552172	0.060392	-4.98	-0.366515	294	28	enet	0.32	8.8e-17	1.63411	0.102
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.3774	rs3128317	-4.81	rs6699975	0.151428	5.29	-1.099054	290	18	enet	0.18	1.7e-09	-0.84899	0.396
Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2848	rs3128317	-4.81	rs7531583	0.117784	-5.99	-0.217608	316	13	enet	0.14	1.8e-07	0.48893	0.625
