PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000198744.5.wgt.RDat	ENSG00000198744.5	1	634376	634377	0.0711	rs1891910	-4.64	rs7526076	0.00375	3.17	-1.493504	79	10	enet	0.0087	0.067	-3.078208	0.00208
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.3761	rs1891910	-4.64	rs3094315	0.0664	4.72	-0.146306	136	39	enet	0.18	5.6e-14	0.032858	0.974
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3872	rs1891910	-4.64	rs3094315	0.183	7.2	-0.146306	155	37	enet	0.18	1.9e-13	0.09614	0.923
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000223764.2.wgt.RDat	ENSG00000223764.2	1	919691	919692	0.1137	rs1891910	-4.64	rs1806509	0.0333	-4.21	0.210749	175	11	enet	0.039	0.00054	-0.893118	0.372
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.364	rs1891910	-4.64	rs13303118	0.264	-8.72	-0.599329	181	17	enet	0.25	2.7e-19	0.397761	0.691
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4302	rs1891910	-4.64	rs3128117	0.254	-8.87	-0.839866	183	7	enet	0.3	2e-23	0.56249	0.574
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.2771	rs1891910	-4.64	rs2710888	0.121	-5.86	-1.489351	186	35	enet	0.087	3.9e-07	0.567481	0.57
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1883	rs1891910	-4.64	rs6687776	0.0615	-4.82	0.08773	215	6	enet	0.12	1e-09	-0.587838	0.557
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1423	rs1891910	-4.64	rs7528416	0.0833	-5.34	0.152286	228	8	enet	0.075	2.6e-06	0.065927	0.947
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.2106	rs1891910	-4.64	rs34054191	0.115	6.13	1.294305	244	5	enet	0.11	7.2e-09	0.841942	0.4
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.1086	rs1891910	-4.64	rs4970432	0.0548	4.43	0.148021	252	12	enet	0.014	0.026	-0.21539	0.829
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1549	rs1891910	-4.64	rs307380	0.0412	5.3	0.720673	252	16	enet	0.037	0.00077	0.04103	0.967
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.1401	rs1891910	-4.64	rs1240732	0.00245	-3.24	-0.629174	261	39	enet	0.0048	0.13	-0.140613	0.888
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1717	rs1891910	-4.64	rs35242196	0.0778	5.59	-0.583314	275	17	enet	0.069	6.1e-06	-0.837955	0.402
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.524	rs1891910	-4.64	rs12089560	0.405	-10.71	0.791504	282	13	enet	0.38	3.5e-30	-0.770222	0.441
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.247	rs1891910	-4.64	rs1695824	0.126	-6.79	-1.891308	287	17	enet	0.11	6.6e-09	0.906177	0.365
Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.4116	rs1891910	-4.64	rs2031709	0.12	-7.44	2.149189	284	33	enet	0.027	0.0034	-3.865409	0.000111
