PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000236268.5.wgt.RDat	ENSG00000236268.5	1	82986207	82986208	0.2407	rs401537	-5.42	rs12137374	0.07347	-3.78	-5.274866	414	11	enet	0.032	0.029	4.55902	5.14e-6
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.343	rs1196366	6.6	rs2050632	0.109	-4.46	6.355119	463	17	enet	0.043	0.013	-5.06808	4.02e-7
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.1529	rs713587	10.96	rs10432684	0.04496	-3.47	7.73	323	12	enet	-0.0026	0.41	-7.74325	9.69e-15
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000237510.7.wgt.RDat	ENSG00000237510.7	2	95792219	95792220	0.4603	rs17119922	4.54	rs2005613	0.02074	-3.8	1.82	107	15	enet	0.15	8.4e-6	-5.18721	2.13e-7
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000188848.15.wgt.RDat	ENSG00000188848.15	4	42152877	42152878	0.232	rs6447132	-9.57	rs6447133	0.12781	4.14	-7.06375	447	12	enet	0.072	0.0018	-6.91857	4.56e-12
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000183323.12.wgt.RDat	ENSG00000183323.12	5	69332808	69332809	0.289	rs2010352	-10.1	rs6877725	0.163383	4.83	-2.17557	233	31	enet	0.16	4.6e-6	-4.487987	7.19e-6
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000250328.5.wgt.RDat	ENSG00000250328.5	5	122479086	122479087	0.283	rs6868061	8.45	rs1478370	0.186835	5.06	7.66151	335	8	enet	0.14	1.3e-5	7.30833	2.7e-13
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000176209.11.wgt.RDat	ENSG00000176209.11	8	42541711	42541712	0.3102	rs2974342	5.04	rs2923428	0.212977	5.39	4.942076	253	6	enet	0.17	1.8e-6	5.05962	4.2e-7
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.556	rs3739905	-7.74	rs11243850	0.425282	7.36	-7.68751	533	19	enet	0.42	1e-15	-7.17543	7.21e-13
GTExv8.EUR.Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000204152.10.wgt.RDat	ENSG00000204152.10	10	49942032	49942033	0.228	rs2229760	6.69	rs717721	0.179749	-4.77	5.22704	343	11	enet	0.096	3.4e-4	-4.616098	3.91e-6
