GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     35       7  351827     0.048826      0.48053        0.451   1000
339451       1     895967     901099     69       8  351827       1.0714      0.14199        0.137   1000
84069        1     901872     910488     31       2  351827       1.7139     0.043274        0.045   1000
84808        1     910579     917473     26       1  351827       1.7463     0.040379        0.043   1000
57801        1     934342     936608     72       6  351827      0.27019      0.39351        0.364   1000
9636         1     948847     949920    130      14  351827     -0.42887      0.66599        0.649   1000
54991        1    1017198    1051736     54       7  351827     -0.11696      0.54656        0.554   1000
8784         1    1138888    1142163    185       9  351827     -0.24534       0.5969        0.636   1000
7293         1    1146706    1149703    102       3  351827      -1.0974      0.86376        0.867   1000
51150        1    1152288    1167447     19       3  351827     -0.35329      0.63807        0.658   1000
126792       1    1167629    1170421    161       7  351827      -1.0369       0.8501        0.864   1000
6339         1    1215816    1227409      3       1  351827      0.20981      0.41691        0.426   1000
126789       1    1243962    1247057     59       3  351827      0.24685      0.40251        0.416   1000
54973        1    1246965    1260067     51       2  351827     -0.31397      0.62323        0.606   1000
80772        1    1260136    1264276    117       7  351827     -0.10949      0.54359        0.533   1000
83756        1    1266726    1269844    193       9  351827      -0.1244       0.5495        0.541   1000
55052        1    1337276    1342693     71       5  351827      0.50523       0.3067        0.339   1000
219293       1    1378152    1405538     22       4  351827      0.49241      0.31122        0.311   1000
83858        1    1407139    1444852    165      13  351827        1.442     0.074654        0.079   1000
55210        1    1447523    1470067      9       2  351827      0.64361      0.25991        0.261   1000
29101        1    1477053    1510262     73       6  351827      0.44413      0.32848         0.33   1000
643988       1    1533388    1535476     34       5  351827      -0.5312      0.70236        0.703   1000
142678       1    1550795    1565990     23       3  351827      0.91875      0.17911        0.187   1000
984          1    1571100    1590473     51       9  351827      0.65936      0.25483         0.24   1000
728661       1    1591486    1624243     82      13  351827      0.45764       0.3236        0.322   1000
728642       1    1633822    1655999     14       4  351827      -2.3486      0.99058        0.993   1000
9906         1    1656277    1677438    156      10  351827      0.22897      0.40945          0.4   1000
163688       1    1846266    1848733      5       2  351827      -1.6591      0.95145        0.939   1000
2563         1    1950768    1962192     14       1  351827      0.58868      0.27804        0.272   1000
5590         1    1981909    2116834    142       5  351827     -0.35825      0.63992        0.634   1000
100506504    1    2113250    2115812    111       3  351827     -0.31424      0.62333        0.625   1000
199990       1    2115899    2144159     56      11  351827       -1.396      0.91864        0.918   1000
79906        1    2251719    2323190     53       7  351827     -0.60501      0.72741        0.739   1000
9651         1    2407754    2436964     62      16  351827      -1.1044      0.86529        0.878   1000
55229        1    2439975    2458061     69       6  351827   -0.0052734       0.5021        0.496   1000
8764         1    2487291    2495268    100       4  351827     -0.23174      0.59163        0.577   1000
127281       1    2517899    2522908    292      10  351827     -0.18719      0.57424        0.579   1000
79258        1    2522078    2564499    260       8  351827      0.20759      0.41777        0.422   1000
100287898    1    2572807    2706230    211       8  351827    -0.060013      0.52393        0.525   1000
1953         1    3404506    3528059     32       5  351827     -0.63629      0.73771         0.71   1000
49856        1    3547331    3566671     81      10  351827     -0.59717       0.7248        0.729   1000
7161         1    3569129    3652765      8       1  351827      0.53558      0.29612        0.302   1000
388588       1    3689352    3692546    158       7  351827      0.76538      0.22202        0.241   1000
57470        1    3696784    3713068    146       6  351827      0.80298      0.21099        0.218   1000
9731         1    3728645    3773797    321      14  351827      0.44748      0.32726        0.327   1000
339448       1    3805697    3816857    119       7  351827      0.74662      0.22765        0.219   1000
261734       1    5922870    6052618    164      10  351827       2.2242     0.013069        0.015   1000
8514         1    6052358    6161253    230       8  351827       1.8176     0.034559        0.028   1000
388591       1    6266189    6281359     21       4  351827    -0.028012      0.51117        0.532   1000
23463        1    6281253    6296044     52       6  351827      -0.3637      0.64196        0.653   1000
11332        1    6324332    6453826     14       3  351827      0.21771      0.41383        0.415   1000
83715        1    6484836    6521004    207      13  351827    0.0059876      0.49761         0.49   1000
8718         1    6520787    6527432     25       3  351827      0.77353       0.2196        0.217   1000
57449        1    6526152    6580121    179       8  351827       1.1517      0.12471        0.128   1000
79707        1    6581407    6614658    121       2  351827       1.2597       0.1039        0.107   1000
3104         1    6640051    6649340     33       4  351827     -0.29123      0.61456        0.627   1000
148479       1    6673756    6684093    189      10  351827     -0.28611       0.6126        0.645   1000
90326        1    6684925    6695646     83       8  351827    -0.043105      0.51719         0.54   1000
9341         1    7831329    7841492    167      18  351827       0.4367      0.33116        0.307   1000
8863         1    7844413    7905241    123      13  351827      0.76028      0.22354        0.199   1000
10911        1    7907672    7913551    149       9  351827     -0.71849      0.76377        0.761   1000
3604         1    7975931    8003225      2       1  351827     -0.71156      0.76163        0.775   1000
11315        1    8021714    8045342    251      12  351827      0.19962      0.42089        0.401   1000
54206        1    8071779    8086393      2       1  351827     -0.23331      0.59224        0.582   1000
473          1    8412464    8877699    611      18  351827       1.0936      0.13706        0.157   1000
765          1    9005893    9035151     24       5  351827      0.77485      0.21922        0.224   1000
6518         1    9097005    9131763    128      10  351827     -0.95169      0.82937         0.84   1000
80045        1    9163472    9189229      3       1  351827      0.30553      0.37998        0.374   1000
9563         1    9294822    9331396     74       8  351827     -0.40615      0.65768        0.673   1000
80176        1    9335202    9429591     63      11  351827       1.4211     0.077645        0.083   1000
5293         1    9711789    9789172      1       1  351827     -0.61211      0.72977        0.713   1000
22883        1    9789079    9884550     15       4  351827      0.29791      0.38289        0.377   1000
64802        1   10003486   10045556      7       2  351827      0.70871      0.23925        0.258   1000
116362       1   10057255   10076078    348       3  351827     -0.39782      0.65462        0.663   1000
23095        1   10270606   10441664    128      10  351827       2.2905     0.010995        0.011   1000
1325         1   10509776   10512060     57       4  351827      0.67796       0.2489        0.253   1000
5195         1   10535003   10690815    183       8  351827       2.8815    0.0019792       0.0018  10000
2475         1   11166588   11322614    218       6  351827      -0.3294      0.62908        0.636   1000
57540        1   11539295   11597640     69       5  351827     -0.62912      0.73537         0.72   1000
26232        1   11707924   11714888     29       8  351827      0.22451      0.41118        0.368   1000
93611        1   11714432   11723384     20       4  351827     -0.42113      0.66317        0.665   1000
26270        1   11724150   11734411     26       4  351827      0.48948      0.31225        0.301   1000
374946       1   11751781   11780336     28       7  351827     -0.62905      0.73534        0.745   1000
57085        1   11796142   11810828     12       3  351827    0.0087499      0.49651        0.513   1000
4524         1   11845787   11866160    296      16  351827      0.61213      0.27022        0.274   1000
1185         1   11866153   11903201    262      13  351827      0.60827       0.2715        0.265   1000
4878         1   11905766   11907840     25       3  351827       0.6993      0.24218        0.254   1000
90231        1   11979645   11986485    192      12  351827     -0.65543      0.74391         0.73   1000
5351         1   11994724   12035599    264      15  351827      -0.4418      0.67068        0.652   1000
9927         1   12040238   12073572    270      16  351827     -0.41123      0.65955        0.655   1000
60672        1   12079299   12092106    234      17  351827     -0.32603       0.6278        0.625   1000
55092        1   15479028   15546974    127      12  351827     -0.38487      0.64983        0.661   1000
114827       1   15573730   15724767     67       1  351827      -2.2432      0.98756        0.987   1000
79180        1   15736391   15756839      4       2  351827       1.3409     0.089978        0.097   1000
11330        1   15764938   15773153     24       3  351827       0.7067      0.23988        0.236   1000
842          1   15817896   15851407    156       4  351827     -0.36475      0.64235        0.646   1000
84301        1   15943953   15995539    329       4  351827      0.74344      0.22861        0.212   1000
23207        1   16010632   16061264    424       6  351827      0.51513      0.30323        0.269   1000
284723       1   16062721   16067884     86       7  351827      0.31233      0.37739        0.372   1000
23013        1   16174359   16266951     59       1  351827       1.3517     0.088242        0.097   1000
128272       1   16524599   16539104    388      16  351827      0.42013      0.33719        0.339   1000
79363        1   16558182   16563659    135       7  351827      0.51707      0.30255         0.29   1000
54455        1   16573339   16678965     28       1  351827      -1.2296      0.89058        0.893   1000
55707        1   16767167   16786585     96       8  351827      -1.0476       0.8526        0.853   1000
9696         1   17248445   17299474    353      15  351827     -0.63105      0.73599        0.741   1000
23400        1   17312453   17338467     74       5  351827     0.017813      0.49289        0.509   1000
11240        1   17393256   17445948    377      15  351827     -0.65778      0.74466        0.741   1000
23569        1   17634690   17690495    128      11  351827     -0.05708      0.52276        0.499   1000
353238       1   17698741   17728195    299      13  351827      -0.8527      0.80309        0.802   1000
55920        1   17733251   17766250    147       7  351827     -0.37102      0.64469        0.643   1000
8659         1   19197924   19229293     78       5  351827     -0.65465      0.74365        0.737   1000
23352        1   19401000   19536812      7       1  351827     0.055436       0.4779        0.489   1000
23065        1   19542158   19578053    218      10  351827     0.097327      0.46123        0.459   1000
51154        1   19578075   19586622     99       6  351827       1.4936     0.067637        0.052   1000
22977        1   19609057   19615280      6       1  351827      0.38181       0.3513         0.35   1000
8574         1   19629202   19638640     11       3  351827     -0.45709       0.6762        0.665   1000
54896        1   19638740   19658925    240      11  351827      0.60517      0.27253        0.291   1000
440574       1   19923471   19956315     90       6  351827      -1.4935      0.93235         0.93   1000
4681         1   19969723   19984949    111       9  351827       -1.224      0.88952        0.876   1000
3362         1   19991780   20006055    127      10  351827       1.7808     0.037476        0.035   1000
255104       1   20008706   20126424     78       9  351827     0.029697      0.48815        0.495   1000
23252        1   20208356   20239438    150      18  351827       -1.429      0.92349        0.929   1000
391013       1   20490484   20501687     15       3  351827       1.9763     0.024063        0.024   1000
127733       1   20512578   20522540     17       3  351827       1.5502     0.060545        0.061   1000
79594        1   20825941   20834674     81      10  351827      -1.4006      0.91933        0.922   1000
978          1   20915444   20945401    198      23  351827      0.23421      0.40741        0.418   1000
1650         1   20978260   20988037     95       7  351827      0.41092      0.34057        0.348   1000
50809        1   21069170   21113808    529      14  351827       1.1889      0.11725        0.115   1000
8672         1   21132785   21503381     23       1  351827       1.0561      0.14546        0.143   1000
1889         1   21543740   21672034     21       3  351827      -1.0813      0.86022        0.859   1000
84224        1   21766583   21811393    237      24  351827      -2.0108      0.97782        0.979   1000
249          1   21835475   21904905      1       1  351827     -0.75468      0.77478        0.775   1000
5909         1   21922708   21996010    254      18  351827      0.95872      0.16885        0.155   1000
84196        1   22004791   22109688     19       1  351827       0.2448      0.40331        0.408   1000
998          1   22379120   22419439    172       7  351827       1.3965     0.081287        0.092   1000
9923         1   22778344   22857650     72       6  351827     -0.26763      0.60551        0.608   1000
712          1   22963118   22966175     28       3  351827       0.4092       0.3412        0.349   1000
713          1   22979682   22988130      1       1  351827      0.12683      0.44954        0.451   1000
2048         1   23037263   23241823     30       6  351827     -0.25413       0.6003        0.615   1000
7798         1   23410516   23504301    113       7  351827       1.4061     0.079851        0.073   1000
6920         1   23707555   23751269     75       6  351827       1.5401     0.061768        0.055   1000
55616        1   23755056   23810750     28       2  351827       1.5603     0.059345        0.055   1000
6924         1   24069856   24088549    158       5  351827       1.7692     0.038426        0.043   1000
57095        1   24104876   24114722     13       1  351827       2.0461     0.020374        0.017   1000
11313        1   24117275   24122029     39       2  351827       2.0495     0.020205        0.017   1000
2582         1   24122089   24127294      1       1  351827    -0.024607      0.50982        0.515   1000
3155         1   24128367   24165110    116       2  351827       1.8288     0.033714        0.039   1000
2517         1   24171567   24194859    291      13  351827       1.2735      0.10141        0.072   1000
1269         1   24197005   24285549     68       2  351827     -0.15535      0.56173        0.564   1000
10772        1   24292935   24306953     54       4  351827      0.38622      0.34967        0.365   1000
163702       1   24480647   24513765      4       2  351827     -0.70029      0.75813        0.744   1000
90529        1   24683489   24741587    135      10  351827     -0.18705      0.57419        0.591   1000
57185        1   24742245   24799473     33       4  351827      0.20354      0.41936        0.453   1000
10250        1   24969594   24999772      6       1  351827      -1.6011      0.94532        0.941   1000
25932        1   25071760   25170815     97       4  351827      0.61567      0.26906        0.267   1000
25949        1   25548767   25559013      1       1  351827      0.22132      0.41242        0.388   1000
6007         1   25598884   25656936    213       7  351827     -0.41231      0.65994        0.652   1000
23585        1   25664789   25688852    200       6  351827     -0.44101       0.6704        0.672   1000
6006         1   25687853   25747363    150       2  351827      -0.7592      0.77613        0.797   1000
26119        1   25870071   25895377     44       5  351827     -0.62564      0.73423        0.761   1000
57134        1   25943959   26111258      2       1  351827       1.7413     0.040815        0.033   1000
57190        1   26126667   26144713      3       1  351827      0.58359      0.27975        0.299   1000
10256        1   26503981   26516375     11       3  351827      -1.1421      0.87328         0.88   1000
64793        1   26560644   26605529    189      13  351827      -1.4706       0.9293         0.93   1000
83442        1   26606213   26608013    148       5  351827      -1.4805      0.93064        0.916   1000
91544        1   26608773   26644756    151       6  351827     -0.56771      0.71488        0.711   1000
1043         1   26644411   26647014    483      21  351827      -1.0014      0.84168        0.825   1000
55057        1   26648350   26680621     28       3  351827      -0.8131      0.79192        0.794   1000
257101       1   26688125   26701023     67       5  351827     -0.73054      0.76747        0.764   1000
79947        1   26758773   26797797     97       4  351827     -0.09781      0.53896        0.519   1000
3151         1   26798902   26803133     11       4  351827      -1.4386      0.92486        0.934   1000
101928728    1   27018623   27022896    148       2  351827       0.8451      0.19903        0.188   1000
8289         1   27022522   27108601     98       1  351827      0.77346      0.21963        0.196   1000
55650        1   27113739   27124894    222       5  351827      0.87357      0.19118        0.192   1000
84243        1   27153201   27184092    311       9  351827      0.56822      0.28494        0.271   1000
54707        1   27205872   27216869     12       1  351827       0.5628      0.28679        0.297   1000
388610       1   27320189   27327377      5       1  351827       1.3804     0.083732        0.093   1000
6548         1   27425300   27481621    122       2  351827     -0.66705      0.74763         0.76   1000
23038        1   27561007   27635124     73       2  351827      -1.0714      0.85799        0.865   1000
84065        1   27648636   27662891     11       2  351827       -1.466      0.92868         0.93   1000
84958        1   27668483   27680423     24       6  351827      -1.1317      0.87112        0.861   1000
9064         1   27681670   27693558     29       8  351827     -0.70874      0.76076        0.763   1000
