GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679      3       1  351827      0.75227      0.22594        0.199   1000
54991        1    1017198    1051736     54       4  351827     -0.34388      0.63453        0.654   1000
126792       1    1167629    1170421    101       3  351827      -2.1093      0.98254        0.984   1000
441869       1    1353800    1356824    104       4  351827      0.24766       0.4022        0.416   1000
219293       1    1378152    1405538     17       3  351827       1.1254      0.13021        0.115   1000
83858        1    1407139    1444852     40       3  351827       1.6646     0.047995        0.046   1000
29101        1    1477053    1510262     25       1  351827     -0.24968      0.59858        0.604   1000
728661       1    1591486    1624243     20       2  351827       1.2044      0.11422        0.096   1000
85452        1    1853390    1935276     63       4  351827       1.1049       0.1346        0.136   1000
199990       1    2115899    2144159      1       1  351827     -0.72667      0.76629        0.771   1000
5192         1    2336241    2344010      5       1  351827      0.39652      0.34586        0.343   1000
127262       1    3541556    3546695      4       1  351827    -0.031261      0.51247        0.498   1000
57470        1    3696784    3713068      2       1  351827    -0.080534      0.53209        0.554   1000
1677         1    3773845    3801993     10       2  351827       1.3598     0.086941         0.09   1000
339448       1    3805697    3816857      8       1  351827    -0.099165       0.5395         0.54   1000
261734       1    5922870    6052618     68       5  351827       0.9138      0.18041        0.184   1000
23463        1    6281253    6296044     20       2  351827     0.015741      0.49372        0.504   1000
1325         1   10509776   10512060      1       1  351827      -1.6232      0.94772        0.958   1000
5394         1   11126675   11159961     43       1  351827     -0.22833      0.59031        0.599   1000
93611        1   11714432   11723384      2       1  351827     -0.50052      0.69165        0.696   1000
842          1   15817896   15851407     50       1  351827      0.41397      0.33945         0.32   1000
284723       1   16062721   16067884     14       1  351827     -0.13608      0.55412        0.588   1000
1187         1   16348486   16360548      2       1  351827      0.54106      0.29423        0.307   1000
348487       1   16384264   16400127      4       1  351827     -0.12334      0.54908         0.54   1000
128272       1   16524599   16539104     74       2  351827     -0.28733      0.61307        0.611   1000
4237         1   17300997   17308081      3       1  351827      -1.3108      0.90504        0.901   1000
