PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000224387.1.wgt.RDat	ENSG00000224387.1	1	2493257	2493258	0.1866	rs34241773	10.5	rs2477702	0.0536	5.26	-0.123	357	43	enet	0.11	9.7e-14	-4.839631	1.3e-6
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000054523.17.wgt.RDat	ENSG00000054523.17	1	10210804	10210805	0.1863	rs12402967	-9.03	rs4240911	0.259	11.57	-4.22	351	31	enet	0.27	3.2e-35	-4.95741	7.14e-7
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1218	rs12402967	-9.03	rs1536262	0.0816	6.48	-6.44	377	17	enet	0.074	7.3e-10	-5.976741	2.28e-9
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000121753.12.wgt.RDat	ENSG00000121753.12	1	31764892	31764893	0.4815	rs2050256	12.51	rs1889571	0.375	13.47	8.13	338	37	enet	0.35	8.599999999999999e-48	7.203824	5.85e-13
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4073	rs573744	9.24	rs4653329	0.306	12.18	7.36	461	13	enet	0.36	2.4e-49	5.274779	1.33e-7
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.0719	rs12739065	-9.81	rs7529802	0.0398	-4.67	-9.37	385	20	enet	0.031	5.6e-5	6.080527	1.2e-9
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000261168.1.wgt.RDat	ENSG00000261168.1	1	151131609	151131610	0.0384	rs6676190	-5.99	rs2091219	0.0135	4.66	-4.89	312	7	enet	0.012	0.0097	-5.213651	1.85e-7
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.3018	rs4845681	13.15	rs3811448	0.294	-11.92	4.17	403	22	enet	0.28	3.7e-36	-4.858977	1.18e-6
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.0637	rs4845681	13.15	rs6699043	0.0341	-5.1	7.44	417	18	enet	0.038	8.8e-6	-5.976955	2.27e-9
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.1435	rs4845681	13.15	rs10908452	0.143	-8.41	8.41	378	7	enet	0.14	2.3e-17	-7.636666	2.23e-14
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.0407	rs4845681	13.15	rs11264297	0.0115	-4.21	8.28	378	5	enet	9.6e-5	0.31	-5.590301	2.27e-8
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.2601	rs7536102	12.55	rs1951626	0.16	8.87	5.77	275	32	enet	0.2	3.6e-25	7.19272	6.35e-13
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.131	rs7536102	12.55	rs17350991	0.209	10.33	11.9	275	27	enet	0.2	6e-26	10.636809	2.01e-26
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000120333.4.wgt.RDat	ENSG00000120333.4	1	175023424	175023425	0.0487	rs12077529	12.47	rs1058741	0.0616	-6.22	5.01	439	7	enet	0.066	5.7e-9	-5.500899	3.78e-8
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000117595.10.wgt.RDat	ENSG00000117595.10	1	209806174	209806175	0.0686	rs2743891	11.1	rs2076153	0.0291	-4.55	0.402	515	21	enet	0.017	0.0027	-5.635404	1.75e-8
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000123684.12.wgt.RDat	ENSG00000123684.12	1	211830771	211830772	0.3227	rs17017569	-7.48	rs2298095	0.232	10.82	5.28	436	29	enet	0.3	5.4e-40	4.677647	2.9e-6
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000143801.16.wgt.RDat	ENSG00000143801.16	1	226870183	226870184	0.1283	rs7534366	7.93	rs6759	0.0945	-6.87	7.44	493	11	enet	0.081	1.3e-10	-6.702313	2.05e-11
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.0779	rs713587	10.96	rs1172294	0.0454	-5.56	10.276547	323	11	enet	0.034	2.6e-5	-8.32537	8.41e-17
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000115392.11.wgt.RDat	ENSG00000115392.11	2	58241347	58241348	0.0998	rs17049683	12.14	rs2192690	0.0228	-4.34	-3.57263	340	17	enet	0.029	1e-4	5.257623	1.46e-7
GTExv8.EUR.Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000235724.8.wgt.RDat	ENSG00000235724.8	2	161270682	161270683	0.3747	rs1114338	10.14	rs10930013	0.186	-9.61	5.848034	379	3	enet	0.18	1.9e-22	-5.57707	2.45e-8
