GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     26       1  351827       1.7463     0.040379        0.036   1000
339451       1     895967     901099     22       3  351827     -0.71698      0.76331         0.75   1000
84808        1     910579     917473     66       9  351827      0.47198      0.31847        0.318   1000
375790       1     955503     991499     70       5  351827      0.40822      0.34156        0.338   1000
54991        1    1017198    1051736    133      12  351827     0.066477       0.4735        0.481   1000
8784         1    1138888    1142163     31       1  351827     -0.18379      0.57291        0.581   1000
126792       1    1167629    1170421    134       5  351827      -1.1607      0.87711        0.878   1000
388581       1    1177826    1182102     26       3  351827      -1.1862      0.88223         0.88   1000
6339         1    1215816    1227409     45       2  351827      0.47581       0.3171        0.301   1000
116983       1    1227764    1243304     21       3  351827     -0.24367      0.59626        0.575   1000
126789       1    1243962    1247057      5       1  351827      0.83093      0.20301        0.186   1000
54973        1    1246965    1260067     53       4  351827      0.26185      0.39672        0.372   1000
54587        1    1288071    1297183     11       1  351827     -0.38613       0.6503        0.659   1000
54998        1    1309110    1310818      2       1  351827       1.2478      0.10606        0.103   1000
55052        1    1337276    1342693     42       2  351827      0.46557      0.32076        0.327   1000
441869       1    1353800    1356824    338      16  351827    -0.031702      0.51265        0.487   1000
219293       1    1378152    1405538     26       2  351827     -0.24166      0.59548          0.6   1000
83858        1    1407139    1444852     35       2  351827       1.9846     0.023595        0.022   1000
55210        1    1447523    1470067     27       4  351827      0.78894      0.21507        0.215   1000
29101        1    1477053    1510262     43       2  351827     0.029511      0.48823        0.502   1000
643988       1    1533388    1535476     24       3  351827       1.0865      0.13862        0.139   1000
142678       1    1550795    1565990     32       4  351827    -0.023013      0.50918          0.5   1000
984          1    1571100    1590473     31       5  351827      0.21208      0.41602        0.409   1000
728661       1    1591486    1624243     58       9  351827      0.83701      0.20129        0.207   1000
728642       1    1633822    1655999      4       2  351827     -0.91296      0.81937        0.804   1000
9906         1    1656277    1677438      4       2  351827      0.96542      0.16717        0.178   1000
65220        1    1682671    1711508     82       2  351827      0.22055      0.41272        0.398   1000
339456       1    1849029    1850740     54       4  351827      0.22744      0.41004        0.427   1000
100506504    1    2113250    2115812     89       4  351827     -0.50069      0.69171        0.666   1000
199990       1    2115899    2144159     17       4  351827      0.17388      0.43098        0.431   1000
79906        1    2251719    2323190     33       4  351827     -0.69852      0.75757        0.754   1000
5192         1    2336241    2344010      7       2  351827      0.16028      0.43633        0.445   1000
127281       1    2517899    2522908      3       1  351827      -0.2301      0.59099        0.592   1000
100287898    1    2572807    2706230     48       1  351827      0.15573      0.43812        0.404   1000
1953         1    3404506    3528059     17       3  351827     -0.66438      0.74678        0.747   1000
49856        1    3547331    3566671     40       4  351827      0.18858      0.42521        0.435   1000
9731         1    3728645    3773797    198       9  351827      0.31774      0.37534        0.374   1000
1677         1    3773845    3801993     71       5  351827      0.73786       0.2303        0.243   1000
339448       1    3805697    3816857    129      12  351827       1.1898      0.11707        0.122   1000
261734       1    5922870    6052618    181       5  351827       1.5364     0.062222         0.05   1000
8514         1    6052358    6161253     45       3  351827       1.6929     0.045235        0.049   1000
6146         1    6245080    6259679      2       1  351827     -0.70034      0.75814        0.752   1000
388591       1    6266189    6281359      4       2  351827      -1.7696       0.9616        0.966   1000
23463        1    6281253    6296044      9       1  351827     0.063813      0.47456        0.458   1000
11332        1    6324332    6453826     29       2  351827      0.21902      0.41332        0.411   1000
9903         1    6650784    6662958     69       4  351827      0.29382      0.38445         0.38   1000
148479       1    6673756    6684093      1       1  351827       1.8993     0.028761        0.026   1000
90326        1    6684925    6695646    122       9  351827     -0.35033      0.63695        0.625   1000
9341         1    7831329    7841492     70       6  351827      0.53577      0.29606        0.288   1000
8863         1    7844413    7905241      1       1  351827     -0.55314      0.70992        0.706   1000
11315        1    8021714    8045342    190       9  351827      0.21245      0.41588         0.43   1000
50651        1    8378171    8404227    354      10  351827      0.30365       0.3807        0.387   1000
473          1    8412464    8877699     35       2  351827       2.1498     0.015784        0.017   1000
2023         1    8921059    8939151    383      14  351827      0.46423      0.32124        0.312   1000
6518         1    9097005    9131763     44       3  351827       1.1795      0.11911        0.113   1000
80045        1    9163472    9189229     70       6  351827     -0.68648      0.75379        0.753   1000
9563         1    9294822    9331396     47       5  351827      0.22571      0.41071        0.419   1000
199953       1    9648932    9674935      2       1  351827       0.6613      0.25421        0.275   1000
5293         1    9711789    9789172     14       1  351827       2.3123     0.010381        0.011   1000
22883        1    9789079    9884550      6       1  351827    -0.015888      0.50634        0.475   1000
56998        1    9908334    9970316      9       2  351827     -0.52557      0.70041          0.7   1000
64802        1   10003486   10045556     11       3  351827      0.92016      0.17874        0.168   1000
378708       1   10489944   10510239    159       9  351827       2.1089     0.017475        0.019   1000
1676         1   10520588   10532613     75       3  351827       1.9316     0.026703        0.028   1000
148345       1   11006530   11042094      8       2  351827    -0.051867      0.52068        0.525   1000
23435        1   11072462   11085549      1       1  351827      0.31388      0.37681        0.393   1000
10218        1   11249346   11256038     47       1  351827      0.24944      0.40151        0.409   1000
26232        1   11707924   11714888      2       1  351827        1.352     0.088181        0.075   1000
26270        1   11724150   11734411     36       4  351827       0.2341      0.40745        0.417   1000
10459        1   11734537   11751678      3       1  351827      0.18739      0.42568        0.436   1000
57085        1   11796142   11810828     15       3  351827      -1.0336      0.84933        0.854   1000
1185         1   11866153   11903201     97       2  351827      0.97569      0.16461        0.169   1000
4878         1   11905766   11907840     43       3  351827       1.2427      0.10699        0.096   1000
9927         1   12040238   12073572      2       1  351827    -0.072777      0.52901        0.526   1000
60672        1   12079299   12092106     20       3  351827      -1.1764      0.88028         0.89   1000
126755       1   13801445   13840242     36       1  351827     -0.24896      0.59831        0.578   1000
10630        1   13910252   13944452      5       1  351827       -1.069      0.85746         0.85   1000
842          1   15817896   15851407    293       9  351827     -0.06949       0.5277        0.521   1000
23341        1   15853343   15898228    172       4  351827     -0.32199      0.62627        0.623   1000
79814        1   15898194   15911605    164       4  351827     -0.27537      0.60848          0.6   1000
23207        1   16010632   16061264      3       1  351827      0.91992      0.17881        0.165   1000
284723       1   16062721   16067884      4       1  351827     -0.52694      0.70088        0.673   1000
1187         1   16348486   16360548    185       8  351827       1.2353      0.10837        0.118   1000
1188         1   16370231   16383821    119       8  351827     -0.21816      0.58635        0.575   1000
348487       1   16384264   16400127     36       3  351827      0.33498      0.36882        0.362   1000
128272       1   16524599   16539104    286      11  351827      0.57313      0.28328        0.265   1000
79363        1   16558182   16563659    190      11  351827      0.16479      0.43455        0.438   1000
54455        1   16573339   16678965     52       3  351827      0.67053      0.25126        0.255   1000
9696         1   17248445   17299474    283       8  351827     -0.32963      0.62916        0.647   1000
4237         1   17300997   17308081    238      11  351827     -0.47661      0.68318        0.699   1000
