PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000054523.17.wgt.RDat	ENSG00000054523.17	1	10210804	10210805	0.13	rs12402967	-9.03	rs17400510	0.0828	4.16	-5.084773	349	12	enet	0.04	0.0084	-4.46325	8.07e-6
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000130940.14.wgt.RDat	ENSG00000130940.14	1	10796649	10796650	0.295	rs12402967	-9.03	rs12402967	0.00121	-3.95	-9.030213	390	16	enet	0.06	0.0015	5.07909	3.79e-7
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.527	rs573744	9.24	rs4653329	0.24	6.24	7.359191	462	22	enet	0.19	2.2e-8	5.63168	1.78e-8
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.237	rs4845681	13.15	rs16836320	0.0531	4.47	-0.555542	417	15	enet	0.16	2.9e-7	-5.19887	2.01e-7
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.143	rs4845681	13.15	rs11264298	0.119	-4.7	8.570739	378	11	enet	0.085	1.7e-4	-8.2768	1.27e-16
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000225855.6.wgt.RDat	ENSG00000225855.6	1	155321686	155321687	0.154	rs4845681	13.15	rs4971072	0.0876	4.64	0.319533	261	15	enet	0.057	0.0018	-4.46337	8.07e-6
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.658	rs1196366	6.6	rs2291426	0.5	-8.97	6.291535	463	42	enet	0.46	9.500000000000001e-22	-5.38993	7.05e-8
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000119787.13.wgt.RDat	ENSG00000119787.13	2	38377284	38377285	0.2388	rs6724418	6.76	rs4670861	0.198497	-5.75	5.61628	476	8	enet	0.2	6.8e-9	-4.68996	2.73e-6
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000188848.15.wgt.RDat	ENSG00000188848.15	4	42152877	42152878	0.256	rs6447132	-9.57	rs6447133	0.03124	4.11	-7.06375	445	11	enet	0.067	8.3e-4	-4.96563	6.85e-7
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.204	rs1038432	6.04	rs4860853	0.14668900000000001	-5.1	5.4303	402	15	enet	0.036	0.011	-5.00153	5.69e-7
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000170571.11.wgt.RDat	ENSG00000170571.11	5	50443247	50443248	0.1205	rs8188088	8.34	rs13173678	0.040306	-3.95	7.71867	182	23	enet	0.02	0.045	-4.75455	1.99e-6
GTExv8.EUR.Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000273841.4.wgt.RDat	ENSG00000273841.4	5	69369641	69369642	0.0786	rs2010352	-10.1	rs12187268	0.087952	-4.42	-6.54974	227	4	enet	0.029	0.02	5.43762	5.4e-8
