PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.158	rs12402967	-9.03	rs7546368	0.148	8.31	-6.28	374	19	enet	0.13	4.3e-15	-5.401467	6.61e-8
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000157330.9.wgt.RDat	ENSG00000157330.9	1	12746214	12746215	0.1266	rs1008477	-7.12	rs6541059	0.128	7.57	-5.29	209	21	enet	0.11	3.8e-13	-5.455738	4.88e-8
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000117298.14.wgt.RDat	ENSG00000117298.14	1	21345503	21345504	0.0558	rs3026886	7.03	rs3026886	0.00422	-4.14	7.03	374	13	enet	0.013	0.0094	-5.010044	5.44e-7
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000066135.12.wgt.RDat	ENSG00000066135.12	1	43650157	43650158	0.0525	rs11590627	-10.18	rs11590627	0.014	4.01	-10.2	451	9	enet	0.0032	0.13	-6.95521	3.52e-12
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1293	rs4845681	13.15	rs10796933	0.0206	-4.5	-0.697	417	22	enet	0.037	3.9e-5	-4.635131	3.57e-6
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.1117	rs4845681	13.15	rs705094	0.0821	-6.68	7.41	397	12	enet	0.051	1.5e-6	-9.408282	5.040000000000001e-21
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.1604	rs4845681	13.15	rs11264300	0.158	-8.38	8.88	378	15	enet	0.15	1.5e-16	-5.140885	2.73e-7
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.2832	rs7536102	12.55	rs7548540	0.171	8.97	5.84	275	35	enet	0.21	1.4000000000000002e-23	4.869662	1.12e-6
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000143799.12.wgt.RDat	ENSG00000143799.12	1	226408078	226408079	0.1408	rs7534366	7.93	rs3219090	0.0474	-5.82	-1.41	384	22	enet	0.073	8.1e-9	4.59623	4.3e-6
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2107	rs1196366	6.6	rs2291426	0.221	-9.99	6.29	463	24	enet	0.21	2.7999999999999998e-24	-5.980896	2.22e-9
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.0681	rs713587	10.96	rs1982200	0.042354	-5.53	9.555276	320	19	enet	0.056	4.1e-7	-6.79049	1.12e-11
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.0805	rs713587	10.96	rs1077492	0.048457	-5.32	9.027829	323	7	enet	0.038	2.8e-5	-7.574046	3.62e-14
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000084710.13.wgt.RDat	ENSG00000084710.13	2	25042129	25042130	0.0354	rs713587	10.96	rs6749526	0.004708	-3.66	6.707388	332	15	enet	-6.5e-4	0.4	-5.875056	4.23e-9
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000273302.1.wgt.RDat	ENSG00000273302.1	2	61199978	61199979	0.0792	rs7591402	9.81	rs11897723	0.034367	4.48	7.326566	303	11	enet	0.023	0.001	5.452737	4.96e-8
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000115464.14.wgt.RDat	ENSG00000115464.14	2	61470768	61470769	0.1142	rs7591402	9.81	rs10496091	0.039738	5.23	7.119085	299	16	enet	0.041	1.3e-5	4.911805	9.02e-7
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.2822	rs2138913	-6.53	rs6704784	0.160274	-8.53	-5.013804	384	35	enet	0.14	4.6e-16	4.789518	1.67e-6
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.1103	rs2952769	-7.69	rs2551923	0.079903	-6.69	-6.976286	405	13	enet	0.051	1.3e-6	6.915606	4.66e-12
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.1595	rs13023540	14.75	rs526897	0.160514	8.48	-8.259468	364	55	enet	0.15	1.6e-17	-5.120963	3.04e-7
GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.0724	rs13023540	15.05	rs7607369	0.008904	3.3	-5.657232	367	4	enet	0.0014	0.21	-5.777512	7.58e-9
