GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     25       1  351827        1.751     0.039975        0.041   1000
339451       1     895967     901099     16       3  351827       1.3987     0.080947        0.077   1000
84069        1     901872     910488      7       1  351827      0.16557      0.43425        0.458   1000
84808        1     910579     917473     29       3  351827     -0.31326      0.62296        0.614   1000
57801        1     934342     936608     13       2  351827     0.051157       0.4796        0.492   1000
375790       1     955503     991499     86      10  351827     -0.10619      0.54229        0.553   1000
54991        1    1017198    1051736     24       4  351827      0.17355      0.43111        0.422   1000
8784         1    1138888    1142163     32       1  351827     -0.23357      0.59234        0.568   1000
51150        1    1152288    1167447      4       1  351827      -0.1314      0.55227        0.553   1000
126792       1    1167629    1170421    148       6  351827     -0.92421      0.82231        0.833   1000
388581       1    1177826    1182102      1       1  351827     -0.49528       0.6898        0.683   1000
6339         1    1215816    1227409     71       6  351827      0.19682      0.42198        0.429   1000
116983       1    1227764    1243304      7       1  351827      -0.6526      0.74299        0.761   1000
126789       1    1243962    1247057     70       4  351827      0.54492       0.2929        0.291   1000
54973        1    1246965    1260067    183       9  351827      0.25709      0.39855        0.383   1000
80772        1    1260136    1264276    116       6  351827      0.18845      0.42526        0.421   1000
1855         1    1270658    1284509      3       1  351827      -1.0412      0.85111        0.841   1000
54587        1    1288071    1297183     21       4  351827      0.57689      0.28201        0.258   1000
54998        1    1309110    1310818     84      11  351827     -0.22494      0.58899        0.584   1000
81669        1    1321091    1334718      1       1  351827       1.1338      0.12843        0.141   1000
55052        1    1337276    1342693    193       9  351827     -0.35357      0.63817        0.626   1000
441869       1    1353800    1356824    343      18  351827     0.071267      0.47159        0.451   1000
219293       1    1378152    1405538     26       2  351827    -0.085026      0.53388        0.549   1000
83858        1    1407139    1444852    195      14  351827       1.0433      0.14841        0.142   1000
55210        1    1447523    1470067     39       5  351827       1.0249       0.1527        0.172   1000
29101        1    1477053    1510262     44       2  351827      0.07483      0.47018        0.491   1000
643988       1    1533388    1535476      6       1  351827       0.3799      0.35201        0.368   1000
142678       1    1550795    1565990     33       4  351827    -0.045671      0.51821        0.528   1000
984          1    1571100    1590473     23       4  351827      0.85838      0.19534        0.169   1000
728661       1    1591486    1624243     65      10  351827      0.73205      0.23207        0.226   1000
728642       1    1633822    1655999      7       3  351827      -1.8173      0.96542        0.972   1000
9906         1    1656277    1677438     35       6  351827      0.64101      0.26076        0.257   1000
65220        1    1682671    1711508    116       4  351827      0.12254      0.45123        0.428   1000
2782         1    1716725    1822552     24       4  351827       -1.283      0.90026        0.893   1000
163688       1    1846266    1848733    254      11  351827      0.25668      0.39871        0.387   1000
339456       1    1849029    1850740    259      12  351827      0.31169      0.37764        0.395   1000
100506504    1    2113250    2115812    128       7  351827     -0.77256      0.78011        0.773   1000
199990       1    2115899    2144159     46      13  351827      0.36442      0.35777        0.371   1000
79906        1    2251719    2323190     60       6  351827    -0.032645      0.51302        0.501   1000
11079        1    2323214    2336883     18       3  351827     -0.47931      0.68414        0.717   1000
5192         1    2336241    2344010     16       3  351827      0.02046      0.49184        0.467   1000
63976        1    2985565    3355185      5       1  351827     0.012669      0.49495          0.5   1000
1953         1    3404506    3528059      1       1  351827    -0.086993      0.53466        0.528   1000
127262       1    3541556    3546695      1       1  351827      0.15458      0.43858        0.447   1000
49856        1    3547331    3566671    113      15  351827      -1.2242      0.88956        0.892   1000
7161         1    3569129    3652765      4       1  351827      0.32069      0.37422        0.384   1000
148870       1    3668965    3688209     38       4  351827      0.32874      0.37117        0.383   1000
388588       1    3689352    3692546      5       1  351827      0.84285      0.19966        0.182   1000
57470        1    3696784    3713068     88       5  351827      0.47172      0.31856        0.316   1000
9731         1    3728645    3773797    161      12  351827      0.65985      0.25468        0.258   1000
1677         1    3773845    3801993    250      16  351827      0.76849       0.2211        0.215   1000
339448       1    3805697    3816857     73       6  351827      0.97499      0.16478        0.166   1000
261734       1    5922870    6052618     80       9  351827       1.4537     0.073013        0.073   1000
8514         1    6052358    6161253     36       3  351827       1.3805     0.083723        0.085   1000
26038        1    6161847    6240194     39       3  351827     -0.49715      0.69046        0.677   1000
388591       1    6266189    6281359     57       9  351827     0.029227      0.48834          0.5   1000
23463        1    6281253    6296044     19       4  351827     -0.45442      0.67524        0.652   1000
387509       1    6307406    6321035      6       2  351827      0.29604       0.3836        0.403   1000
11332        1    6324332    6453826    200      11  351827     -0.61798       0.7317        0.744   1000
90326        1    6684925    6695646    213      19  351827     -0.64287      0.73984        0.747   1000
23261        1    6845384    7829766     12       1  351827     0.027337       0.4891         0.49   1000
9341         1    7831329    7841492    157      14  351827       1.1837      0.11827        0.113   1000
11315        1    8021714    8045342    463      19  351827       1.0654      0.14335        0.155   1000
50651        1    8378171    8404227    270      10  351827      0.37454        0.354        0.348   1000
473          1    8412464    8877699     96       5  351827      0.87361      0.19117        0.179   1000
2023         1    8921059    8939151     41       6  351827      0.39082      0.34796        0.358   1000
6518         1    9097005    9131763     73       7  351827       1.0873      0.13845        0.152   1000
80045        1    9163472    9189229    121       8  351827     -0.67846      0.75126         0.73   1000
9563         1    9294822    9331396     36       4  351827      0.44255      0.32905        0.312   1000
56998        1    9908334    9970316      1       1  351827      0.37732      0.35297        0.345   1000
64802        1   10003486   10045556     34       6  351827    -0.029299      0.51169        0.496   1000
116362       1   10057255   10076078     46       5  351827        1.539     0.061902         0.06   1000
23095        1   10270606   10441664    338       7  351827       3.0374    0.0011933       0.0015  10000
5226         1   10458884   10480565    618      17  351827       3.0065    0.0013212       0.0018  10000
378708       1   10489944   10510239    453      23  351827       3.1476   0.00082308       0.0012  10000
1325         1   10509776   10512060      2       1  351827      0.77821      0.21822        0.217   1000
1676         1   10520588   10532613     79       3  351827       1.7406     0.040876         0.04   1000
5195         1   10535003   10690815     56       2  351827       2.5608    0.0052217       0.0046   5000
54897        1   10696661   10856733      1       1  351827      0.11968      0.45237        0.463   1000
148345       1   11006530   11042094     88      11  351827      0.97521      0.16473        0.141   1000
10747        1   11086580   11107296     16       1  351827     -0.13687      0.55443        0.554   1000
2475         1   11166588   11322614    119       2  351827      0.11539      0.45407        0.477   1000
29914        1   11333255   11348491      1       1  351827      0.73991      0.22968         0.25   1000
