GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     26       1  351827       1.7463     0.040379         0.04   1000
339451       1     895967     901099      4       1  351827       0.5548      0.28952         0.29   1000
84069        1     901872     910488     48       4  351827      0.76613       0.2218        0.231   1000
84808        1     910579     917473      9       1  351827      0.20917      0.41716        0.426   1000
54991        1    1017198    1051736     46       5  351827    -0.030082        0.512        0.521   1000
55052        1    1337276    1342693    155       8  351827     -0.19497      0.57729        0.587   1000
441869       1    1353800    1356824     50       2  351827      0.39532      0.34631        0.336   1000
219293       1    1378152    1405538    165      17  351827       0.9575      0.16916        0.161   1000
83858        1    1407139    1444852    152      12  351827       1.3252     0.092544        0.075   1000
728661       1    1591486    1624243     46       7  351827      0.90347      0.18314        0.181   1000
728642       1    1633822    1655999     15       2  351827      0.40105      0.34419        0.332   1000
9906         1    1656277    1677438     45       2  351827      0.30718      0.37935        0.368   1000
163688       1    1846266    1848733     24       1  351827     -0.37928      0.64776        0.644   1000
100506504    1    2113250    2115812      5       1  351827     -0.35186      0.63753        0.631   1000
199990       1    2115899    2144159      3       1  351827      -1.3588      0.91289        0.908   1000
79906        1    2251719    2323190     37       4  351827     -0.67228       0.7493        0.745   1000
100287898    1    2572807    2706230     78       1  351827      0.15091      0.44002        0.448   1000
49856        1    3547331    3566671     38       5  351827     -0.77939      0.78213        0.778   1000
9731         1    3728645    3773797    227      10  351827      0.24708      0.40242        0.411   1000
1677         1    3773845    3801993    168       9  351827      0.77192      0.22008        0.212   1000
339448       1    3805697    3816857     30       3  351827       1.2755      0.10107        0.103   1000
261734       1    5922870    6052618     24       2  351827       0.5085      0.30555        0.311   1000
388591       1    6266189    6281359     39       4  351827     -0.20384      0.58076        0.576   1000
23463        1    6281253    6296044      4       1  351827     -0.33348      0.63061        0.624   1000
3104         1    6640051    6649340      2       1  351827     -0.49343      0.68914        0.693   1000
55735        1    6694228    6761966      1       1  351827      0.21296      0.41568        0.409   1000
9341         1    7831329    7841492     30       2  351827      0.16419      0.43479        0.493   1000
10911        1    7907672    7913551      4       1  351827      -1.1329      0.87138        0.879   1000
11315        1    8021714    8045342     39       1  351827      0.22489      0.41103        0.431   1000
6518         1    9097005    9131763     12       2  351827      -2.0521      0.97992        0.975   1000
9563         1    9294822    9331396     38       5  351827      0.73056      0.23252         0.22   1000
64802        1   10003486   10045556      4       1  351827      0.98847      0.16146        0.191   1000
378708       1   10489944   10510239     72       4  351827     -0.33985      0.63302         0.65   1000
26232        1   11707924   11714888      2       1  351827        1.352     0.088181         0.08   1000
26270        1   11724150   11734411      3       1  351827     -0.19757      0.57831        0.567   1000
842          1   15817896   15851407    313       6  351827      0.55813      0.28838        0.308   1000
284723       1   16062721   16067884     92       4  351827      0.52935      0.29828        0.325   1000
1187         1   16348486   16360548     53       5  351827      0.87233      0.19152        0.216   1000
1188         1   16370231   16383821      9       1  351827     -0.29878      0.61745        0.628   1000
128272       1   16524599   16539104     18       2  351827     -0.80625      0.78995        0.772   1000
79363        1   16558182   16563659    121       6  351827      0.44754      0.32724        0.338   1000
9696         1   17248445   17299474     25       2  351827      -1.1546      0.87587        0.865   1000
11240        1   17393256   17445948      6       1  351827     -0.11192      0.54455        0.547   1000
127707       1   18807424   18812540     32       3  351827     -0.34855      0.63629        0.635   1000
23352        1   19401000   19536812     39       3  351827      0.22699      0.41022        0.391   1000
23065        1   19542158   19578053    157       7  351827      0.20221      0.41988        0.431   1000
22977        1   19609057   19615280      6       3  351827      -1.6497       0.9505        0.958   1000
8574         1   19629202   19638640      1       1  351827      -1.4965      0.93273        0.928   1000
54896        1   19638740   19658925     57       2  351827      0.54917      0.29145         0.29   1000
832          1   19665267   19812066     53       2  351827       0.9327      0.17549        0.168   1000
23252        1   20208356   20239438     45       2  351827      -1.4168      0.92173        0.925   1000
5320         1   20301924   20306932     23       3  351827     0.042344      0.48311        0.465   1000
5322         1   20386157   20418394      1       1  351827      0.35776      0.36026        0.355   1000
79594        1   20825941   20834674     11       1  351827     -0.86648      0.80689        0.792   1000
163933       1   20878932   20881513      5       2  351827     -0.28074      0.61054        0.619   1000
978          1   20915444   20945401     59       5  351827      0.57071       0.2841        0.283   1000
57576        1   20990475   21044317      1       1  351827      0.31391      0.37679         0.39   1000
50809        1   21069170   21113808     19       1  351827      0.46657       0.3204        0.314   1000
84224        1   21766583   21811393    120       7  351827       -1.107      0.86586        0.864   1000
3339         1   22148737   22263750     42       1  351827      -1.0108      0.84395        0.849   1000
9923         1   22778344   22857650     23       1  351827      0.17367      0.43106        0.428   1000
712          1   22963118   22966175      1       1  351827    -0.029452      0.51175        0.497   1000
714          1   22969969   22974603      1       1  351827    -0.029452      0.51175        0.497   1000
713          1   22979682   22988130      1       1  351827    -0.029452      0.51175        0.497   1000
80818        1   23685941   23696357     94       9  351827      0.25261      0.40028        0.385   1000
57095        1   24104876   24114722      5       1  351827     -0.27462       0.6082        0.597   1000
3155         1   24128367   24165110     64       1  351827       1.5495     0.060633         0.06   1000
55629        1   24286301   24289952      8       2  351827       -4.125      0.99998        0.999   1000
10772        1   24292935   24306953      1       1  351827      -1.7208      0.95736        0.965   1000
58985        1   24446261   24469783     10       2  351827      -2.3022      0.98934        0.987   1000
90529        1   24683489   24741587      4       1  351827      0.43791      0.33073        0.325   1000
864          1   25226002   25291648      1       1  351827     0.031821      0.48731        0.487   1000
6007         1   25598884   25656936    172       3  351827     -0.32625      0.62788        0.635   1000
6006         1   25687853   25747363    157       2  351827     -0.53055      0.70213         0.71   1000
26119        1   25870071   25895377     27       2  351827     -0.61694      0.73136        0.726   1000
56181        1   26146397   26159433    112       7  351827      -1.3654      0.91393        0.899   1000
79927        1   26485511   26489119     24       3  351827      -1.3394      0.90978        0.904   1000
64793        1   26560644   26605529    108       7  351827     -0.93906      0.82615        0.816   1000
83442        1   26606213   26608013      7       1  351827      -2.3259      0.98999        0.985   1000
257101       1   26688125   26701023      4       1  351827      0.11037      0.45606        0.442   1000
79947        1   26758773   26797797     14       1  351827      0.24561      0.40299        0.376   1000
101928728    1   27018623   27022896      2       1  351827      -1.2451      0.89346        0.888   1000
55650        1   27113739   27124894    102       1  351827      0.72028      0.23568        0.231   1000
388610       1   27320189   27327377      2       1  351827       0.2291       0.4094        0.392   1000
84065        1   27648636   27662891      6       1  351827      0.11381      0.45469        0.464   1000
6118         1   28218035   28241255     30       6  351827     -0.91917        0.821        0.808   1000
55113        1   28286504   28294604      4       2  351827      0.62812      0.26496        0.274   1000
2140         1   28296855   28415173     63       1  351827       1.3062     0.095734        0.106   1000
