GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     26       1  351827       1.7463     0.040379        0.042   1000
339451       1     895967     901099     33       3  351827       1.5999      0.05481        0.052   1000
84069        1     901872     910488     14       1  351827       1.7796      0.03757        0.038   1000
84808        1     910579     917473     85       7  351827      0.99029      0.16102        0.146   1000
57801        1     934342     936608     40       6  351827       1.7518     0.039907        0.039   1000
375790       1     955503     991499     58       6  351827     -0.23573      0.59318        0.583   1000
54991        1    1017198    1051736    119      11  351827      0.13077      0.44798        0.444   1000
8784         1    1138888    1142163      6       1  351827      -1.9459      0.97416        0.969   1000
51150        1    1152288    1167447     49       5  351827     -0.37114      0.64473        0.647   1000
126792       1    1167629    1170421     86       2  351827      -1.6723      0.95277         0.96   1000
6339         1    1215816    1227409     71       5  351827      0.22032      0.41281        0.405   1000
116983       1    1227764    1243304    120       7  351827     0.016382      0.49346        0.505   1000
126789       1    1243962    1247057      3       1  351827      0.52899      0.29841        0.291   1000
54973        1    1246965    1260067     96       5  351827      0.28833      0.38655         0.39   1000
80772        1    1260136    1264276      9       1  351827     0.024235      0.49033        0.463   1000
83756        1    1266726    1269844     75       3  351827     -0.63392      0.73693        0.748   1000
55052        1    1337276    1342693     62       3  351827      0.54652      0.29235        0.311   1000
441869       1    1353800    1356824    304      14  351827      0.10514      0.45813        0.442   1000
64856        1    1370903    1378262     18       2  351827      0.35912      0.35975        0.346   1000
219293       1    1378152    1405538     18       2  351827      0.20967      0.41696        0.427   1000
83858        1    1407139    1444852    107       9  351827       1.3572     0.087365        0.071   1000
29101        1    1477053    1510262     24       1  351827     -0.24988      0.59866          0.6   1000
643988       1    1533388    1535476      5       1  351827      0.19032      0.42453        0.448   1000
142678       1    1550795    1565990     13       2  351827      0.40397      0.34312        0.319   1000
984          1    1571100    1590473     20       2  351827       1.2044      0.11422        0.116   1000
728661       1    1591486    1624243     66      10  351827      0.73164      0.23219        0.218   1000
728642       1    1633822    1655999     10       2  351827       0.2693      0.39385        0.394   1000
9906         1    1656277    1677438     19       4  351827      0.75269      0.22582        0.234   1000
65220        1    1682671    1711508    171      10  351827     -0.42778      0.66559        0.676   1000
2782         1    1716725    1822552     15       1  351827       -1.497       0.9328        0.944   1000
163688       1    1846266    1848733     86       6  351827     -0.66133       0.7458        0.762   1000
339456       1    1849029    1850740     27       1  351827     0.080913      0.46776        0.479   1000
100506504    1    2113250    2115812    129       8  351827     -0.59689      0.72471        0.708   1000
199990       1    2115899    2144159     14       3  351827     -0.31857      0.62497        0.623   1000
79906        1    2251719    2323190     80       9  351827    -0.079351      0.53162        0.515   1000
5192         1    2336241    2344010      6       1  351827      0.35487      0.36134        0.333   1000
9651         1    2407754    2436964      6       1  351827      0.73453      0.23131        0.235   1000
8764         1    2487291    2495268    221       9  351827      0.11374      0.45472        0.473   1000
127281       1    2517899    2522908    121       3  351827     0.007711      0.49692        0.513   1000
100287898    1    2572807    2706230    186       6  351827     0.058876      0.47653        0.499   1000
127262       1    3541556    3546695     14       3  351827      -0.7565      0.77533        0.772   1000
49856        1    3547331    3566671     98      13  351827      -1.2423      0.89293        0.888   1000
9731         1    3728645    3773797    181       7  351827      0.56123      0.28732        0.295   1000
1677         1    3773845    3801993    162       9  351827      0.77832      0.21819        0.212   1000
339448       1    3805697    3816857     53       7  351827       1.2901       0.0985        0.105   1000
261734       1    5922870    6052618    246       9  351827       1.7901     0.036722        0.032   1000
388591       1    6266189    6281359     23       5  351827     -0.44311      0.67116        0.683   1000
23463        1    6281253    6296044     36       4  351827      0.52623      0.29936        0.288   1000
387509       1    6307406    6321035      3       1  351827      0.14248      0.44335        0.437   1000
11332        1    6324332    6453826     52       5  351827      -0.2962      0.61646        0.636   1000
57449        1    6526152    6580121     16       2  351827     -0.45777      0.67644        0.648   1000
90326        1    6684925    6695646    134      10  351827     -0.22931      0.59068         0.61   1000
9341         1    7831329    7841492    143      17  351827       1.0548      0.14576        0.157   1000
11315        1    8021714    8045342      3       1  351827      0.32335      0.37321        0.366   1000
54206        1    8071779    8086393      1       1  351827      -1.3657      0.91398        0.917   1000
50651        1    8378171    8404227    207       9  351827    -0.027133      0.51082        0.517   1000
2023         1    8921059    8939151     34       3  351827     -0.19778      0.57839        0.601   1000
6518         1    9097005    9131763     90       9  351827       1.2002      0.11504        0.119   1000
80045        1    9163472    9189229     18       2  351827       -0.647      0.74118         0.75   1000
9563         1    9294822    9331396     66       9  351827      0.41169      0.34028        0.331   1000
5293         1    9711789    9789172     29       3  351827       1.6841     0.046085         0.05   1000
116362       1   10057255   10076078      8       2  351827       1.4468     0.073979        0.079   1000
23095        1   10270606   10441664      4       1  351827      0.59835       0.2748        0.284   1000
5226         1   10458884   10480565     45       1  351827       2.8628    0.0020993       0.0028   5000
378708       1   10489944   10510239     95       7  351827     -0.46719      0.67982        0.677   1000
1676         1   10520588   10532613     62       3  351827       1.7909     0.036651        0.039   1000
5195         1   10535003   10690815      1       1  351827      0.34033      0.36681        0.397   1000
5394         1   11126675   11159961    213       1  351827    -0.044233      0.51764        0.524   1000
26232        1   11707924   11714888     10       2  351827      0.29268      0.38488        0.379   1000
93611        1   11714432   11723384     18       3  351827    -0.071471      0.52849        0.549   1000
26270        1   11724150   11734411     39       5  351827      0.33901       0.3673        0.378   1000
57085        1   11796142   11810828     44       7  351827      -1.1886      0.88269        0.888   1000
4524         1   11845787   11866160     26       2  351827      -1.3001      0.90322        0.904   1000
1185         1   11866153   11903201    183       7  351827      0.58099      0.28062         0.27   1000
5351         1   11994724   12035599     14       2  351827    -0.029921      0.51193        0.506   1000
9927         1   12040238   12073572      9       2  351827       0.4768      0.31675        0.345   1000
60672        1   12079299   12092106     11       3  351827      -1.6365      0.94913        0.932   1000
10630        1   13910252   13944452     28       4  351827      -1.3706      0.91474        0.902   1000
55092        1   15479028   15546974     43       6  351827       1.0777      0.14059        0.134   1000
114827       1   15573730   15724767     93       2  351827      -1.4877      0.93158        0.926   1000
79180        1   15736391   15756839     31       2  351827      0.30411      0.38052        0.369   1000
842          1   15817896   15851407    161       4  351827     -0.27931         0.61        0.606   1000
23341        1   15853343   15898228     43       1  351827       -1.527      0.93662        0.936   1000
84301        1   15943953   15995539    221       3  351827      0.86089      0.19465        0.203   1000
23207        1   16010632   16061264      5       1  351827      0.82417      0.20492        0.206   1000
284723       1   16062721   16067884    152       8  351827       0.6248      0.26605         0.27   1000
388595       1   16068987   16074292     20       2  351827     -0.92128      0.82155        0.824   1000
