PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000237973.1.wgt.RDat	ENSG00000237973.1	1	631073	631074	0.04	rs1891910	-4.64	rs17160824	0.000956	-3.32	0.286	80	14	enet	0.0068	0.048	0.02016	0.984
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.3047	rs1891910	-4.64	rs3094315	0.0577	5.24	-0.146	137	33	enet	0.11	3e-13	0.916738	0.359
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.1063	rs1891910	-4.64	rs3094315	0.0641	5.52	-0.146	153	30	enet	0.06	1.5e-07	0.142734	0.887
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.1108	rs1891910	-4.64	rs3094315	0.0599	5.23	-0.146	156	27	enet	0.05	1.5e-06	0.582357	0.56
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000223764.2.wgt.RDat	ENSG00000223764.2	1	919691	919692	0.0906	rs1891910	-4.64	rs7537756	0.0178	-4.45	0.127	176	8	enet	0.029	0.00021	-1.317258	0.188
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2285	rs1891910	-4.64	rs3748592	0.149	8.21	-3.11	180	8	enet	0.14	7e-16	-3.157889	0.00159
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1596	rs1891910	-4.64	rs13303010	0.105	-6.92	-1.06	180	11	enet	0.094	5.2e-11	1.379822	0.168
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.0741	rs1891910	-4.64	rs6696281	0.00777	3.63	0.0258	180	14	enet	0.0058	0.061	-1.608225	0.108
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.411	rs1891910	-4.64	rs3128117	0.356	-12.42	-0.84	183	24	enet	0.37	8.7e-45	0.483011	0.629
Skin_Not_Sun_Exposed_Suprapubic	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Not_Sun_Exposed_Suprapubic/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.0556	rs1891910	-4.64	rs6668667	0.00731	4	2.82	183	9	enet	0.025	0.00059	-0.551426	0.581
