GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
84808        1     910579     917473     20       3  351827       1.1345       0.1283        0.118   1000
126792       1    1167629    1170421      1       1  351827     -0.58262      0.71993        0.734   1000
54973        1    1246965    1260067     35       3  351827      0.60414      0.27288        0.289   1000
441869       1    1353800    1356824    134       7  351827      0.40921      0.34119        0.356   1000
219293       1    1378152    1405538      5       1  351827      0.68502      0.24666        0.273   1000
83858        1    1407139    1444852     75       6  351827       1.6056     0.054177        0.055   1000
728661       1    1591486    1624243     22       2  351827       1.2043      0.11423        0.116   1000
85452        1    1853390    1935276      3       1  351827      0.64207      0.26041        0.275   1000
100506504    1    2113250    2115812      7       1  351827     -0.56492      0.71394        0.725   1000
79906        1    2251719    2323190     12       2  351827      0.23872      0.40566        0.433   1000
49856        1    3547331    3566671     16       3  351827      -1.0619      0.85585        0.863   1000
339448       1    3805697    3816857     13       2  351827      0.10076      0.45987        0.458   1000
261734       1    5922870    6052618      9       2  351827       1.2142      0.11233        0.109   1000
388591       1    6266189    6281359      2       1  351827       0.7831      0.21678        0.222   1000
23095        1   10270606   10441664      4       1  351827      -1.9434      0.97402         0.97   1000
6723         1   11114649   11120091      2       1  351827     -0.35868      0.64008        0.613   1000
126755       1   13801445   13840242      4       1  351827     -0.68379      0.75295        0.768   1000
842          1   15817896   15851407     54       1  351827      0.41409       0.3394        0.333   1000
284723       1   16062721   16067884     11       1  351827     -0.41642      0.66145        0.646   1000
128272       1   16524599   16539104      5       1  351827     -0.45101      0.67401        0.692   1000
79363        1   16558182   16563659      4       1  351827      -2.2197      0.98678         0.99   1000
54455        1   16573339   16678965      5       1  351827     -0.76008       0.7764        0.761   1000
9696         1   17248445   17299474      2       1  351827      -2.3465      0.99052        0.994   1000
23065        1   19542158   19578053     50       4  351827      0.26696      0.39475        0.394   1000
23252        1   20208356   20239438      4       1  351827     -0.99111      0.83918        0.835   1000
79594        1   20825941   20834674     10       1  351827     -0.73793      0.76972        0.762   1000
84224        1   21766583   21811393     86       4  351827     -0.58357      0.72024        0.737   1000
401944       1   22138758   22151714      1       1  351827     -0.23868      0.59432        0.613   1000
80818        1   23685941   23696357      9       1  351827      0.83179      0.20276        0.181   1000
163702       1   24480647   24513765     17       1  351827       -2.658      0.99607        0.998   1000
6007         1   25598884   25656936    157       2  351827     -0.62063      0.73258        0.752   1000
26119        1   25870071   25895377     22       1  351827     -0.46246      0.67812        0.668   1000
84676        1   26377792   26394142     12       2  351827     -0.33564      0.63143        0.626   1000
10256        1   26503981   26516375     33       4  351827      -2.1648       0.9848        0.985   1000
91544        1   26608773   26644756     25       2  351827      -2.3972      0.99174        0.987   1000
1043         1   26644411   26647014    151       4  351827     -0.89215      0.81384        0.806   1000
388610       1   27320189   27327377      8       1  351827   -0.0084989      0.50339        0.496   1000
388611       1   27705596   27709823    109       2  351827       -1.226      0.88991        0.894   1000
23673        1   28099694   28150963      1       1  351827     -0.38566      0.65012        0.638   1000
6118         1   28218035   28241255      4       2  351827       1.7044     0.044151        0.042   1000
2140         1   28296855   28415173     50       1  351827       1.2892     0.098663        0.098   1000
93974        1   28562602   28564616    112       3  351827       1.2183      0.11155         0.11   1000
65979        1   28696093   28826881    198       3  351827      0.63012      0.26431        0.253   1000
113451       1   33546711   33586132      1       1  351827      -1.8987       0.9712        0.968   1000
127550       1   33772367   33786699     76       1  351827      0.22927      0.40933        0.394   1000
113444       1   35315963   35325417      1       1  351827      -1.4917      0.93211         0.92   1000
64960        1   36921362   36930040      1       1  351827     0.087766      0.46503        0.461   1000
7802         1   38022520   38032458      1       1  351827    -0.010352      0.50413        0.509   1000
3633         1   38326369   38412729     30       2  351827        3.115   0.00091962       0.0009  10000
10946        1   38422647   38456019     45       3  351827       1.4165     0.078321        0.071   1000
2275         1   38462439   38471199     17       1  351827       1.6448     0.050003        0.061   1000
51118        1   38478384   38490497     43       2  351827       1.7647     0.038808        0.035   1000
4725         1   39491967   39500308    103       4  351827      -1.0365      0.85001        0.851   1000
10450        1   40204517   40229586     44       4  351827       1.2844     0.099497        0.105   1000
54802        1   40306703   40349177     20       2  351827      -1.1008       0.8645        0.857   1000
5538         1   40538382   40563142      3       1  351827     -0.51311      0.69606        0.682   1000
1298         1   40766162   40782939     35       2  351827     -0.48593      0.68649         0.67   1000
64789        1   40974391   40982228     24       1  351827     -0.37109      0.64472        0.666   1000
84217        1   42896000   42921938     10       1  351827      0.58032      0.28085        0.303   1000
79078        1   43232916   43241413     19       1  351827       0.2856      0.38759         0.39   1000
343521       1   45271580   45273378      1       1  351827     -0.54657      0.70766        0.724   1000
7389         1   45477805   45481341    123       4  351827      0.16464      0.43461        0.431   1000
23139        1   46269269   46501796    640       6  351827      0.85042      0.19755        0.183   1000
541468       1   46669006   46686928     13       1  351827       1.3105     0.095013        0.111   1000
200010       1   48688339   48714316     26       2  351827      -0.8455      0.80109        0.801   1000
23318        1   52888947   53018764    221       3  351827     -0.57005      0.71568        0.701   1000
2882         1   53068043   53074723     64       5  351827     -0.22962      0.59081         0.62   1000
54987        1   53679771   53686289     44       3  351827       1.8031     0.035687        0.035   1000
55706        1   54231133   54304225      5       2  351827       1.0491      0.14707        0.152   1000
7268         1   55181495   55208330    123       1  351827     -0.24394      0.59636        0.597   1000
23358        1   55532032   55681039     68       1  351827       1.3497     0.088561        0.092   1000
115209       1   58881052   59012469     79       1  351827     -0.12699      0.55052        0.575   1000
55277        1   59762625   60228402      2       1  351827       0.6238      0.26638        0.266   1000
54596        1   62660474   62678000     10       1  351827     -0.97305      0.83474        0.818   1000
23421        1   63906441   63988944    194       6  351827      -0.6838      0.75295        0.758   1000
23169        1   67465015   67520080     34       2  351827       1.8498     0.032172        0.031   1000
11147        1   70820493   70833706     23       1  351827   -0.0042906      0.50171        0.509   1000
127255       1   74491699   74663871    102       3  351827      -1.5507      0.93952        0.937   1000
8790         1   74663896   74674533     59       1  351827      -1.1969      0.88432         0.89   1000
51086        1   74701071   75010116    101       3  351827      -1.6152      0.94687        0.946   1000
1429         1   75171170   75199092      4       1  351827      0.71679      0.23675        0.243   1000
4438         1   76262556   76379581     38       3  351827     -0.10612      0.54226        0.527   1000
255231       1   85391266   85462796    142       3  351827     -0.15733      0.56251        0.568   1000
54680        1   86115106   86174116     88       2  351827      0.24524      0.40313        0.401   1000
255631       1   86194916   86622121     49       2  351827      0.71358      0.23774        0.224   1000
2635         1   89472360   89488556    161       4  351827     -0.55231      0.70963          0.7   1000
388646       1   89597434   89641723    247       8  351827     -0.20743      0.58216        0.554   1000
164045       1   91726323   91870426     66       2  351827      0.14593      0.44199        0.426   1000
7813         1   92974253   93257961    108       1  351827       1.5796     0.057099         0.06   1000
6125         1   93297594   93307481      1       1  351827     -0.25179       0.5994        0.565   1000
50999        1   93615299   93646246     10       1  351827      0.62647       0.2655        0.257   1000
5825         1   94883933   94984219      9       1  351827       1.5935     0.055519        0.061   1000
25950        1   95699711   95712781     21       2  351827     -0.33274      0.63033        0.627   1000
127495       1  100614004  100643829     79       1  351827       1.3066     0.095682        0.106   1000
279          1  104159999  104168400     15       1  351827     -0.17742      0.57041        0.557   1000
22854        1  107682540  108024477     20       4  351827       1.1273       0.1298        0.131   1000
57535        1  109656585  109749403      2       1  351827      0.96985      0.16606        0.172   1000
84722        1  109822176  109825790      1       1  351827       1.2759      0.10099        0.113   1000
284612       1  110009100  110024764     72       1  351827       1.3922     0.081937        0.083   1000
2948         1  110198698  110208123      3       1  351827     0.027995      0.48883        0.495   1000
2944         1  110230418  110240828      2       1  351827     -0.89361      0.81423        0.801   1000
2949         1  110254406  110260890     17       2  351827      0.15385      0.43886        0.446   1000
2947         1  110276554  110283660     20       2  351827     -0.78942      0.78507        0.768   1000
9122         1  110905473  110933704     13       1  351827       1.0663      0.14313        0.127   1000
128338       1  111659954  111682838     49       3  351827       -0.034      0.51356        0.507   1000
5016         1  111956937  111970399     14       1  351827     -0.67723      0.75087        0.768   1000
55917        1  112938800  113003786      2       1  351827       0.1238      0.45074         0.42   1000
54879        1  113066140  113162040     57       4  351827      0.50808       0.3057         0.29   1000
55356        1  116519119  116612675     35       1  351827      0.87467      0.19088         0.22   1000
476          1  116914802  116948069      1       1  351827       1.0591      0.14478        0.151   1000
914          1  117297057  117311851      1       1  351827      0.27996      0.38975        0.371   1000
10352        1  119573839  119683404     51       1  351827       -1.211      0.88705        0.887   1000
51205        1  147119168  147142634     22       3  351827     0.090471      0.46396        0.469   1000
2702         1  147228332  147253165      5       1  351827     -0.42016      0.66281        0.678   1000
9900         1  149874870  149889434     56       2  351827     -0.17981      0.57135        0.567   1000
54460        1  150266262  150281414    101       4  351827        1.047      0.14755        0.144   1000
405          1  150782181  150849244      7       2  351827      -1.3916      0.91798        0.922   1000
29956        1  150937649  150947479    240       2  351827       0.4001      0.34454         0.34   1000
10500        1  151104161  151119146     27       2  351827       2.6574    0.0039376       0.0038   5000
100534012    1  151129105  151142773      4       1  351827      -1.7205      0.95733        0.967   1000
79005        1  151138482  151142773      4       1  351827      -1.7205      0.95733        0.967   1000
23126        1  151375200  151445753     59       2  351827     -0.38253      0.64897        0.654   1000
117145       1  151843342  151882361     44       2  351827      -0.3764      0.64669         0.65   1000
388697       1  152184552  152196672     19       4  351827     -0.15371      0.56108        0.563   1000
2312         1  152274651  152297679     26       5  351827     -0.20697      0.58198        0.596   1000
6271         1  153600873  153604513     33       1  351827      -2.4869      0.99356        0.992   1000
91181        1  153965166  154127592      7       1  351827     -0.87554      0.80936        0.785   1000
127579       1  154991003  155006257      1       1  351827     -0.32946       0.6291        0.637   1000
64218        1  156117145  156147542      5       1  351827      -0.2207      0.58734        0.589   1000
10485        1  156374048  156426441      3       1  351827       1.4754     0.070047        0.071   1000
164118       1  156549519  156556562      5       1  351827    -0.028123      0.51122        0.513   1000
128240       1  156561554  156564091      3       1  351827       1.6435     0.050143         0.05   1000
4332         1  158801168  158819270      2       1  351827      0.25142      0.40075        0.403   1000
9447         1  159028790  159046685      4       1  351827     -0.60494      0.72739        0.715   1000
391123       1  159824106  159832447      7       1  351827      -1.8847      0.97026        0.972   1000
100131187    1  161007418  161008887     38       3  351827      0.14154      0.44372        0.445   1000
2215         1  161592986  161601753      3       1  351827      -3.3027      0.99952        0.999   1000
8490         1  163112089  163291581     50       2  351827     -0.92815      0.82333        0.816   1000
223          1  165631449  165667900     14       3  351827       1.0048      0.15749        0.145   1000
