PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000181817.5.wgt.RDat	ENSG00000181817.5	1	36397891	36397892	0.2196	rs537958	15.31	rs7170	0.203	6.17	-6.817812	368	20	enet	0.14	8.4e-8	-5.77992	7.47e-9
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4779	rs573744	9.24	rs4653329	0.321	7.79	7.359191	457	14	enet	0.35	4.5e-19	5.17768	2.25e-7
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1812	rs4845681	13.15	rs7526293	0.0446	-4.38	4.591305	403	10	enet	-0.0027	0.48	-4.8412	1.29e-6
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1455	rs4845681	13.15	rs10908445	0.0658	-4.27	9.153098	417	11	enet	0.038	0.0045	-10.20478	1.8899999999999998e-24
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.3999	rs4845681	13.15	rs11264297	0.338	-8.09	8.278265	378	11	enet	0.29	3.4e-15	-8.36701	5.91e-17
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000231064.7.wgt.RDat	ENSG00000231064.7	1	155195003	155195004	0.2438	rs4845681	13.15	rs1218598	0.0229	-3.9	-2.677516	338	16	enet	0.046	0.0022	4.49595	6.93e-6
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.1135	rs7536102	12.55	rs12060460	0.0824	4.81	8.456583	276	45	enet	0.072	1.5e-4	9.22864	2.74e-20
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000134376.15.wgt.RDat	ENSG00000134376.15	1	197268203	197268204	0.0934	rs4026514	10.31	rs1135810	0.0855	4.3	9.57714	256	13	enet	0.025	0.018	8.30388	1.01e-16
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6082	rs1196366	6.6	rs2291426	0.486	-9.48	6.291535	464	20	enet	0.48	2.1e-27	-4.98634	6.15e-7
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000119771.14.wgt.RDat	ENSG00000119771.14	2	23385216	23385217	0.1827	rs13023745	16.67	rs12997821	0.12	5.55	15.661631	535	15	enet	0.065	3e-4	14.41537	4.14e-47
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.171	rs713587	10.96	rs6737082	0.16	-5.95	5.205422	319	11	enet	0.15	3.5e-8	-6.51035	7.5e-11
GTExv8.EUR.Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.1363	rs2952769	-7.69	rs2551641	0.067	-4.2	-6.555115	405	6	enet	0.035	0.0066	6.79032	1.12e-11
