PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000069424.14.wgt.RDat	ENSG00000069424.14	1	5991465	5991466	0.2061	rs11588889	-6.71	rs11588889	4.38e-4	3.01	-6.70832	507	5	enet	-0.0041	1	-5.648955	1.61e-8
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.5087	rs573744	9.24	rs2306627	0.401676	9.9	7.349307	458	6	enet	0.41	4.8000000000000004e-30	6.140617	8.22e-10
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000178028.13.wgt.RDat	ENSG00000178028.13	1	44213454	44213455	0.2089	rs2286243	-6.4	rs17414912	0.02963	4.54	-6.013618	427	41	enet	0.065	3.6e-5	-4.476612	7.58e-6
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000117569.18.wgt.RDat	ENSG00000117569.18	1	96721664	96721665	0.0903	rs273883	-6.85	rs273885	0.102325	-5.29	-6.352047	419	16	enet	0.056	1.2e-4	5.432374	5.56e-8
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000143409.15.wgt.RDat	ENSG00000143409.15	1	151008374	151008375	0.1164	rs6676190	-5.99	rs4970941	-0.002361	3.28	-5.789334	298	10	enet	-7.1e-4	0.36	-4.524058	6.07e-6
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1294	rs4845681	13.15	rs10908445	0.087035	-5.11	9.153098	417	6	enet	0.036	0.0018	-9.91323	3.6499999999999994e-23
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000213062.4.wgt.RDat	ENSG00000213062.4	1	169486075	169486076	0.1999	rs2038024	4.2	rs2038024	0.085042	-5.96	4.203684	552	23	enet	0.1	1.7e-7	-4.94693	7.54e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000135870.11.wgt.RDat	ENSG00000135870.11	1	174022296	174022297	0.0752	rs7536102	12.55	rs6658315	0.016865	4.02	12.450429	272	24	enet	0.027	0.006	8.803996	1.32e-18
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.2384	rs7536102	12.55	rs4652234	0.242378	8.16	5.365977	276	18	enet	0.23	9.4e-16	5.042961	4.58e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000203706.8.wgt.RDat	ENSG00000203706.8	1	210234046	210234047	0.1059	rs2743891	11.1	rs4844997	0.047696	4.54	-2.69115	540	14	enet	0.036	0.0016	-6.338024	2.33e-10
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000143799.12.wgt.RDat	ENSG00000143799.12	1	226408078	226408079	0.1407	rs7534366	7.93	rs2570367	0.098642	-5.66	-5.201671	385	12	enet	0.072	1.4e-5	4.571255	4.85e-6
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2599	rs1196366	6.6	rs2291426	0.231271	-7.62	6.291535	463	24	enet	0.17	1e-11	-5.732235	9.91e-9
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.0557	rs713587	10.96	rs713586	0.0449	-4.03	10.8	323	4	enet	0.032	0.0031	-10.90411	1.1000000000000001e-27
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000235724.8.wgt.RDat	ENSG00000235724.8	2	161270682	161270683	0.2684	rs1114338	10.14	rs10930013	0.164	-6.46	5.85	378	17	enet	0.15	2.7e-10	-4.73679	2.17e-6
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.2073	rs2138913	-6.53	rs13013390	0.18	-6.79	-4.27	384	8	enet	0.17	2.5e-11	4.96785	6.77e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1292	rs2138913	-6.53	rs7574570	0.11	-5.51	-5.5	384	18	enet	0.12	2.6e-8	4.92048	8.63e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.2052	rs13023540	14.82	rs2241527	0.136	6.14	-8.25	363	31	enet	0.093	7.4e-7	-7.39587	1.4e-13
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.1493	rs7626117	-8.58	rs7626117	0.129519	5.9	-8.582811	521	29	enet	0.094	6.3e-7	-7.57309	3.64e-14
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000206567.9.wgt.RDat	ENSG00000206567.9	3	10011208	10011209	0.0682	rs7626117	-8.58	rs7626117	0.002067	-3.83	-8.582811	522	19	enet	-0.004	0.86	6.58392	4.58e-11
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.0717	rs7626117	-8.58	rs279545	0.019198	3.86	-7.579079	524	15	enet	0.0093	0.072	-7.44388	9.78e-14
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.1828	rs7626117	-8.58	rs41464050	0.210327	-7.4	-5.667271	564	17	enet	0.17	6.2e-12	5.26957	1.37e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000168779.19.wgt.RDat	ENSG00000168779.19	3	158106502	158106503	0.1442	rs6779266	8.9	rs1399757	0.112157	5.54	5.327954	319	26	enet	0.12	2.5e-8	5.62407	1.87e-8
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000164366.3.wgt.RDat	ENSG00000164366.3	5	218214	218215	0.1333	rs2115275	6.92	rs9763161	0.062671	4.14	6.834446	289	18	enet	0.031	0.0036	6.41439	1.41e-10
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.1764	rs10514933	16.41	rs889192	0.04824	4.77	10.951384	383	44	enet	0.056	1.2e-4	5.2791	1.3e-7
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000213347.10.wgt.RDat	ENSG00000213347.10	5	177312756	177312757	0.2867	rs11952102	-8.19	rs11949767	0.124121	5.74	-7.967964	310	23	enet	0.12	2.3e-8	-5.81412	6.1e-9
GTExv8.EUR.Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000124541.6.wgt.RDat	ENSG00000124541.6	6	43021644	43021645	0.0966	rs3823423	5.79	rs6926418	0.03145	4.19	4.565343	366	21	enet	0.053	1.7e-4	4.85088	1.23e-6
