PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2143	rs1891910	-4.64	rs3094315	0.0174	3.89	-0.146306	157	23	enet	0.024	0.02	-1.07885	0.281
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4197	rs1891910	-4.64	rs3128117	0.324	-7.7	-0.839866	185	18	enet	0.29	5.3e-15	0.69014	0.49
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.2968	rs1891910	-4.64	rs11586188	-0.00558	3.46	3.836347	185	31	enet	0.0019	0.25	1.5798	0.114
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1357	rs1891910	-4.64	rs1891906	0.00812	-3.81	-0.657189	188	21	enet	0.017	0.043	2.81275	0.00491
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.4932	rs1891910	-4.64	rs6687776	0.315	-7.76	0.08773	217	14	enet	0.31	3e-16	0.07774	0.938
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1643	rs1891910	-4.64	rs6675798	0.0083	-4.01	-0.021835	229	4	enet	0.017	0.046	0.02226	0.982
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2759	rs1891910	-4.64	rs6697886	0.178	-6.34	0.046223	230	19	enet	0.19	3.3e-10	0.14582	0.884
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1851	rs1891910	-4.64	rs307380	0.106	5.19	0.72396	254	10	enet	0.066	0.00028	-0.12532	0.9
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.2447	rs1891910	-4.64	rs1810745	0.153	-5.49	-0.132053	263	11	enet	0.15	5.6e-08	0.18656	0.852
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.3909	rs1891910	-4.64	rs2765023	0.204	6.48	-0.969071	277	21	enet	0.2	2.2e-10	-0.95304	0.341
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.4537	rs1891910	-4.64	rs12089560	0.387	-8.42	0.791504	284	33	enet	0.35	1.6e-18	-0.23471	0.814
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.1509	rs1891910	-4.64	rs12089560	0.0275	-4.17	0.791504	286	24	enet	0.091	2.1e-05	-2.08338	0.0372
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.3829	rs1891910	-4.64	rs873927	0.281	-7.28	-2.110946	289	11	enet	0.27	6e-14	0.77736	0.437
Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5872	rs1891910	-4.64	rs6669795	0.241	-6.79	2.27603	285	29	enet	0.21	6e-11	-3.03483	0.00241
