PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.222	rs1891910	-4.64	rs3094315	0.103993	4.58	-0.14631	148	6	enet	0.086	0.0013	-0.280683	0.779
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.529	rs1891910	-4.64	rs3094315	0.259858	5.55	-0.14631	154	39	enet	0.27	7.1e-09	0.187235	0.851
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.372	rs1891910	-4.64	rs13303118	0.234161	-5.19	-0.59933	179	22	enet	0.16	1.2e-05	1.017185	0.309
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.447	rs1891910	-4.64	rs3128117	0.288028	-5.69	-0.83987	181	19	enet	0.18	3.7e-06	0.88084	0.378
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.236	rs1891910	-4.64	rs182532	-0.006765	-2.66	0.3453	181	30	enet	-0.00029	0.33	-0.071636	0.943
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.286	rs1891910	-4.64	rs12142199	0.057308	3.94	-1.03914	250	21	enet	0.043	0.018	-0.217621	0.828
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.345	rs1891910	-4.64	rs12089560	0.20393	-5.78	0.7915	280	24	enet	0.28	2.4e-09	-0.001777	0.999
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.216	rs1891910	-4.64	rs1240707	0.126102	-4.54	0.80767	282	12	enet	0.055	0.0087	-0.262661	0.793
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.253	rs1891910	-4.64	rs12142199	0.033146	-3.47	-1.03914	285	21	enet	-0.0089	0.81	-0.203925	0.838
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.662	rs1891910	-4.64	rs2031709	0.080878	-4.92	2.14919	282	80	enet	0.098	6e-04	-1.535153	0.125
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.221	rs3128317	-4.81	rs4074196	0.051377	-4.01	0.97239	279	11	enet	0.041	0.02	-0.739514	0.46
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.269	rs3128317	-4.81	rs9970652	0.093473	-4.59	-0.5447	315	13	enet	0.072	0.0031	0.866231	0.386
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.305	rs34241773	10.5	rs2503706	0.009758	3.9	0.35257	373	33	enet	0.12	0.00014	1.778855	0.0753
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.345	rs2651927	-4.27	rs4364818	0.031206	4.22	-0.54966	535	14	enet	0.079	0.002	-0.731176	0.465
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.363	rs10915459	4.37	rs17403773	0.051146	-4.11	0.29799	570	13	enet	0.028	0.048	-1.876256	0.0606
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.488	rs10915459	4.37	rs7530189	-0.002135	-3.52	1.80742	570	19	enet	0.036	0.029	-0.003256	0.997
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.267	rs11588889	-6.71	rs806111	0.001379	-4.07	-2.76036	503	4	enet	-0.0086	0.76	1.933755	0.0531
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.328	rs1148471	6.54	rs198405	0.249848	-5.37	-1.94598	474	17	enet	0.21	4.6e-07	1.452616	0.146
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000162494.5.wgt.RDat	ENSG00000162494.5	1	13514047	13514048	0.383	rs3013047	4.47	rs164868	0.12861	3.83	-0.07179	375	34	enet	0.086	0.0013	-0.57429	0.566
Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000132881.11.wgt.RDat	ENSG00000132881.11	1	16237161	16237162	0.189	rs11801060	-4.15	rs6700888	0.07898	-4.08	0.40881	317	8	enet	0.033	0.035	0.739407	0.46
