PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000235790.7.wgt.RDat	ENSG00000235790.7	1	31644048	31644049	0.099	rs2050256	12.51	rs3766823	0.0576	-5.53	11.698675	351	16	enet	0.038	9.2e-6	-10.97942	4.7999999999999995e-28
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000084636.17.wgt.RDat	ENSG00000084636.17	1	31704318	31704319	0.1367	rs2050256	12.51	rs10493049	0.0601	-6.12	8.905253	351	18	enet	0.064	1.1e-8	-9.67032	4.03e-22
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000117395.12.wgt.RDat	ENSG00000117395.12	1	43270935	43270936	0.0711	rs11590627	-10.18	rs596522	0.00623	3.9	-9.50161	452	10	enet	0.021	9.5e-4	-7.33861	2.16e-13
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.055	rs12739065	-9.81	rs7529802	0.039	-4.55	-9.365272	385	9	enet	0.015	0.0039	6.39606	1.59e-10
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000143409.15.wgt.RDat	ENSG00000143409.15	1	151008374	151008375	0.0776	rs6676190	-5.99	rs2067606	0.00505	4.09	-3.918302	310	3	enet	-0.0014	0.55	-4.56825	4.92e-6
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1129	rs4845681	13.15	rs7528532	0.0633	-5.9	7.398772	417	16	enet	0.066	7.2e-9	-6.35795	2.04e-10
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.1393	rs4845681	13.15	rs10908445	0.0857	-7.14	9.153098	397	20	enet	0.091	8.9e-12	-8.05788	7.76e-16
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.1197	rs4845681	13.15	rs11264298	0.0664	-6	8.570739	378	10	enet	0.066	7.5e-9	-6.87587	6.16e-12
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.1434	rs4845681	13.15	rs11264298	0.0827	-6.78	8.570739	378	11	enet	0.067	4.7e-9	-5.98225	2.2e-9
GTExv8.EUR.Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000198892.6.wgt.RDat	ENSG00000198892.6	1	201888679	201888680	0.1032	rs12562614	9.18	rs2047264	0.0582	5.86	5.730487	508	26	enet	0.058	6.4e-8	5.95289	2.63e-9
