PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000054523.17.wgt.RDat	ENSG00000054523.17	1	10210804	10210805	0.1869	rs12402967	-9.03	rs4348727	0.099030000000000007	4.7	-5.850147	349	22	enet	0.074	1.4e-4	-5.21788	1.81e-7
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.2655	rs573744	9.24	rs28411352	0.126615	5.29	5.358661	456	9	enet	0.14	1.5e-7	5.8262	5.67e-9
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000183386.9.wgt.RDat	ENSG00000183386.9	1	38005605	38005606	0.1567	rs573744	9.24	rs2247965	0.009773	3.83	-1.44418	460	15	enet	0.036	0.0062	4.39748	1.1e-5
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000142949.16.wgt.RDat	ENSG00000142949.16	1	43525186	43525187	0.1727	rs11590627	-10.18	rs596522	0.10843	5.12	-9.50161	444	7	enet	0.11	5e-6	-6.91026	4.84e-12
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.1374	rs7536102	12.55	rs17350991	0.085002	4.83	11.856719	275	112	enet	0.071	2e-4	10.26008	1.07e-24
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000119787.13.wgt.RDat	ENSG00000119787.13	2	38377284	38377285	0.1831	rs6724418	6.76	rs2305245	0.074488	-4.76	6.319473	479	13	enet	0.032	0.01	-4.5807	4.63e-6
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000227403.1.wgt.RDat	ENSG00000227403.1	2	161244738	161244739	0.4162	rs1114338	10.14	rs10930013	0.271972	-7.07	5.848034	384	18	enet	0.28	1.2e-14	-4.4989	6.83e-6
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.1825	rs2952769	-7.69	rs2709370	0.019954	-4.27	-6.907041	402	35	enet	0.031	0.011	6.1956	5.81e-10
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.1887	rs13023540	14.82	rs2710246	0.039305	4.48	-8.245182	363	18	enet	0.042	0.0036	-6.6074	3.91e-11
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.1935	rs13023540	15.13	rs634590	0.20863	6.49	-8.024836	366	49	enet	0.19	7.5e-10	-7.1414	9.24e-13
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000135929.8.wgt.RDat	ENSG00000135929.8	2	218781755	218781756	0.1297	rs13023540	16.74	rs933994	0.092395	-4.57	-7.064738	378	26	enet	0.07	2e-4	6.7256	1.75e-11
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000073711.10.wgt.RDat	ENSG00000073711.10	3	135965672	135965673	0.1277	rs6771997	-8.31	rs9875948	0.050669	4.19	-6.048983	296	24	enet	0.037	0.0058	-4.50784	6.55e-6
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000272416.1.wgt.RDat	ENSG00000272416.1	5	53881050	53881051	0.2977	rs271210	-6.47	rs255758	-0.00228	3.15	1.92334	409	12	enet	-0.004	0.58	4.82332	1.41e-6
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.1138	rs10514933	16.41	rs4700475	0.04896	4.17	8.95845	387	7	enet	-0.003	0.5	7.78543	6.95e-15
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000263432.2.wgt.RDat	ENSG00000263432.2	5	123022782	123022783	0.2366	rs3776181	-8.22	rs982926	0.08319	4.67	-2.50606	443	42	enet	0.064	3.8e-4	-4.90754	9.22e-7
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.4442	rs9375683	8.34	rs6569648	0.313	7.71	-6.29873	561	8	enet	0.31	3.9e-16	-6.8138	9.51e-12
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000196683.10.wgt.RDat	ENSG00000196683.10	7	22822851	22822852	0.2447	rs11770879	6.99	rs2240727	0.121607	-5.68	4.593745	496	11	enet	0.17	8e-9	-4.578692	4.68e-6
GTExv8.EUR.Liver	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Liver/ENSG00000279419.1.wgt.RDat	ENSG00000279419.1	7	124745016	124745017	0.3015	rs11978415	-5.3	rs6973149	0.174385	-5.8	4.646769	371	7	enet	0.16	2.8e-8	-4.519114	6.21e-6
