PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.52	rs34241773	10.5	rs4443836	0.281885	-6	9.28584	340	14	enet	0.12	1e-4	-9.54482	1.3600000000000001e-21
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.368	rs34241773	10.5	rs4443836	0.038298	-3.97	9.28584	352	34	enet	0.039	0.019	-6.35083	2.14e-10
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000134222.16.wgt.RDat	ENSG00000134222.16	1	109283185	109283186	0.582	rs3820667	6.23	rs464218	0.54015	-7.91	6.04445	440	35	enet	0.49	1.2e-18	-5.82752	5.63e-9
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000221986.6.wgt.RDat	ENSG00000221986.6	1	109307040	109307041	0.397	rs3820667	6.23	rs464218	0.347585	-6.46	6.04445	444	20	enet	0.31	8.6e-11	-5.85058	4.9e-9
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.255	rs4845681	13.15	rs4845681	0.066772	-4.38	13.1543	416	27	enet	0.05	0.0095	-9.2656	1.94e-20
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.498	rs1196366	6.6	rs2291426	0.421918	-7.02	6.29154	463	20	enet	0.34	3.4e-12	-5.99928	1.98e-9
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.619	rs1196366	6.6	rs2291426	0.361593	6.58	6.29154	472	30	enet	0.32	2.1e-11	4.31085	1.63e-5
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.31	rs713587	10.96	rs6545800	0.128847	-5.05	8.33875	319	26	enet	0.13	3.4e-5	-10.38689	2.8399999999999998e-25
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000115339.13.wgt.RDat	ENSG00000115339.13	2	165794681	165794682	0.139	rs17187636	-6.89	rs17187636	0.039061	-3.86	-6.88598	432	15	enet	0.024	0.055	5.05671	4.27e-7
GTExv8.EUR.Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.206	rs4674332	-8.43	rs6720403	0.082423	3.98	-7.36372	361	40	enet	0.062	0.0041	-4.87504	1.09e-6
