GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     26       2  351827       1.7402     0.040916        0.032   1000
339451       1     895967     901099      4       1  351827      0.77855      0.21812        0.236   1000
84069        1     901872     910488      3       1  351827       1.7052     0.044076         0.04   1000
84808        1     910579     917473     37       6  351827      0.18339      0.42725        0.397   1000
9636         1     948847     949920     35       1  351827     0.064484      0.47429        0.482   1000
375790       1     955503     991499     30       3  351827      0.18757      0.42561        0.395   1000
401934       1    1007126    1009687      2       1  351827      0.51373      0.30372        0.321   1000
54991        1    1017198    1051736    101       9  351827       0.4188      0.33768        0.324   1000
126792       1    1167629    1170421     93       2  351827      -1.8689      0.96918        0.968   1000
6339         1    1215816    1227409     43       2  351827      0.48492      0.31387          0.3   1000
116983       1    1227764    1243304     12       2  351827     -0.53377      0.70325        0.689   1000
126789       1    1243962    1247057      1       1  351827     0.025075         0.49        0.477   1000
54973        1    1246965    1260067     86       4  351827      0.39848      0.34514        0.319   1000
54587        1    1288071    1297183     45       5  351827     -0.14265      0.55672        0.566   1000
54998        1    1309110    1310818      4       1  351827      0.98836      0.16149        0.152   1000
55052        1    1337276    1342693    190       8  351827      -0.4442      0.67155        0.679   1000
441869       1    1353800    1356824    326      16  351827    -0.031278      0.51248        0.467   1000
219293       1    1378152    1405538     22       3  351827       1.1609      0.12284        0.124   1000
83858        1    1407139    1444852    153      13  351827       1.2381      0.10783        0.115   1000
55210        1    1447523    1470067      1       1  351827      0.93448      0.17503        0.168   1000
29101        1    1477053    1510262     38       2  351827    -0.045318      0.51807        0.537   1000
643988       1    1533388    1535476     10       1  351827       1.0927      0.13727        0.153   1000
142678       1    1550795    1565990     22       3  351827      0.16082      0.43612         0.42   1000
984          1    1571100    1590473    101       8  351827    -0.089428      0.53563        0.521   1000
728661       1    1591486    1624243     54       8  351827      0.74214        0.229        0.206   1000
728642       1    1633822    1655999     13       2  351827      0.31008      0.37825        0.356   1000
9906         1    1656277    1677438     18       4  351827      0.86756      0.19282        0.193   1000
65220        1    1682671    1711508     30       2  351827      -2.1794      0.98535        0.989   1000
2782         1    1716725    1822552      1       1  351827        1.027       0.1522        0.163   1000
163688       1    1846266    1848733     84       6  351827     -0.50187      0.69212        0.693   1000
5590         1    1981909    2116834      1       1  351827     -0.77495      0.78082        0.778   1000
100506504    1    2113250    2115812      2       1  351827     -0.36971       0.6442         0.66   1000
199990       1    2115899    2144159     28       8  351827      0.71402      0.23761        0.253   1000
79906        1    2251719    2323190     81       9  351827     -0.11995      0.54774        0.565   1000
9651         1    2407754    2436964     23       5  351827     -0.26915      0.60609        0.626   1000
8764         1    2487291    2495268      4       1  351827       -1.207      0.88628        0.891   1000
127281       1    2517899    2522908     65       1  351827      0.02195      0.49124        0.493   1000
79258        1    2522078    2564499    119       3  351827      0.12312      0.45101         0.48   1000
100287898    1    2572807    2706230     90       1  351827      0.18627      0.42612        0.432   1000
27237        1    3371147    3397677     21       2  351827     -0.13023      0.55181         0.53   1000
49856        1    3547331    3566671     82      11  351827     -0.72547      0.76592        0.772   1000
9731         1    3728645    3773797    256      10  351827      0.31083      0.37796        0.381   1000
1677         1    3773845    3801993    106       6  351827        1.021      0.15362        0.148   1000
339448       1    3805697    3816857     46       6  351827       1.2821     0.099911        0.098   1000
261734       1    5922870    6052618     10       2  351827       1.7136     0.043299        0.043   1000
8514         1    6052358    6161253      3       1  351827      0.63979      0.26115        0.262   1000
388591       1    6266189    6281359     50       6  351827     -0.52889      0.70156        0.705   1000
23463        1    6281253    6296044     43       4  351827      0.19811      0.42148        0.428   1000
387509       1    6307406    6321035     69       3  351827      -1.0373      0.85021        0.845   1000
54626        1    6475292    6484724      2       1  351827      -1.1637      0.87772        0.879   1000
9903         1    6650784    6662958      1       1  351827      0.21296      0.41568        0.425   1000
90326        1    6684925    6695646     35       5  351827     -0.13081      0.55204        0.586   1000
9341         1    7831329    7841492     78       8  351827      0.15739      0.43747        0.433   1000
10911        1    7907672    7913551    117       6  351827       -0.429      0.66604        0.681   1000
11315        1    8021714    8045342    199      10  351827     -0.66755      0.74779        0.738   1000
6518         1    9097005    9131763      9       1  351827      0.80065      0.21167        0.224   1000
80045        1    9163472    9189229      2       1  351827      0.48428      0.31409        0.313   1000
9563         1    9294822    9331396     38       4  351827      0.20725      0.41791        0.465   1000
84275        1    9599528    9642831      1       1  351827       1.5721     0.057961        0.056   1000
5293         1    9711789    9789172     14       1  351827       2.3123     0.010381        0.011   5000
64802        1   10003486   10045556      7       2  351827       1.0591      0.14478        0.137   1000
116362       1   10057255   10076078     25       3  351827       1.4053     0.079962        0.072   1000
5226         1   10458884   10480565     39       1  351827        2.854    0.0021587       0.0026   5000
378708       1   10489944   10510239     29       2  351827      0.15541      0.43825         0.45   1000
1325         1   10509776   10512060     10       1  351827       1.2226      0.11073         0.12   1000
1676         1   10520588   10532613     64       2  351827        1.519     0.064384        0.067   1000
5394         1   11126675   11159961    229       6  351827     -0.39827      0.65478        0.662   1000
2475         1   11166588   11322614      8       1  351827      -0.3496      0.63668        0.614   1000
26232        1   11707924   11714888      4       2  351827      0.81929      0.20631        0.207   1000
93611        1   11714432   11723384      2       1  351827        1.352     0.088181        0.078   1000
26270        1   11724150   11734411     12       2  351827      0.90236      0.18343        0.189   1000
4524         1   11845787   11866160    118       5  351827      -1.7639      0.96113        0.963   1000
1185         1   11866153   11903201     85       2  351827      0.93098      0.17593        0.179   1000
5351         1   11994724   12035599     24       3  351827     -0.56404      0.71364        0.714   1000
9927         1   12040238   12073572    100       9  351827       -0.296      0.61638        0.629   1000
60672        1   12079299   12092106      2       1  351827       -1.102      0.86477        0.865   1000
943          1   12123434   12204264     15       2  351827     -0.79379      0.78634        0.793   1000
10630        1   13910252   13944452     16       2  351827       -2.237      0.98736        0.983   1000
7799         1   14026714   14151574      6       1  351827     -0.29085      0.61442        0.634   1000
23254        1   14219646   15444544      2       1  351827       1.1185      0.13167        0.129   1000
55092        1   15479028   15546974     64       6  351827       1.3049     0.095962        0.096   1000
114827       1   15573730   15724767    109       3  351827      -2.0815       0.9813         0.98   1000
79180        1   15736391   15756839      2       1  351827      0.31381      0.37683        0.393   1000
51032        1   15802596   15817895      2       1  351827      -1.4941      0.93243        0.933   1000
842          1   15817896   15851407    354      10  351827      0.17199      0.43172        0.426   1000
23341        1   15853343   15898228      2       1  351827     -0.02341      0.50934        0.524   1000
284723       1   16062721   16067884     16       2  351827     -0.33027       0.6294        0.623   1000
27129        1   16340523   16346084     59       2  351827      0.77543      0.21904        0.211   1000
1187         1   16348486   16360548    212      10  351827       1.1243      0.13045        0.121   1000
1188         1   16370231   16383821    222      15  351827      0.75262      0.22584        0.231   1000
128272       1   16524599   16539104    366      13  351827      0.35819       0.3601        0.367   1000
79363        1   16558182   16563659    150       8  351827      0.40152      0.34402         0.35   1000
55707        1   16767167   16786585     28       3  351827      -1.9894      0.97667        0.969   1000
9696         1   17248445   17299474    249       9  351827     -0.38887      0.65131        0.635   1000
4237         1   17300997   17308081    108       5  351827     -0.28011       0.6103        0.596   1000
55920        1   17733251   17766250     55       2  351827     -0.43239      0.66727        0.679   1000
55160        1   17846693   18024370      5       1  351827    -0.031496      0.51256        0.476   1000
81569        1   18081808   18153558      4       1  351827      0.37566      0.35359        0.366   1000
127707       1   18807424   18812540     89      12  351827     -0.59506       0.7241        0.735   1000
23352        1   19401000   19536812     79       6  351827     -0.53392       0.7033        0.695   1000
23065        1   19542158   19578053    415      18  351827      0.50423      0.30705        0.296   1000
51154        1   19578075   19586622     11       2  351827     -0.28587      0.61251        0.615   1000
8574         1   19629202   19638640      3       2  351827     0.063108      0.47484        0.452   1000
54896        1   19638740   19658925      5       1  351827       1.5155     0.064829        0.075   1000
255104       1   20008706   20126424      1       1  351827     -0.50947      0.69479        0.714   1000
23252        1   20208356   20239438     85       7  351827      -2.6359       0.9958        0.995   1000
5322         1   20386157   20418394     30       4  351827     -0.60574      0.72766        0.711   1000
391013       1   20490484   20501687     22       4  351827       1.6115     0.053539        0.075   1000
127731       1   20617412   20681662     23       1  351827      -2.2038      0.98623        0.992   1000
79594        1   20825941   20834674     70       5  351827      -2.2408      0.98748         0.99   1000
163933       1   20878932   20881513     14       2  351827      0.80747       0.2097        0.206   1000
978          1   20915444   20945401    129      10  351827      0.51864      0.30201         0.29   1000
1650         1   20978260   20988037      1       1  351827       1.7143     0.043241        0.049   1000
57576        1   20990475   21044317      4       1  351827     -0.34554      0.63515        0.669   1000
84224        1   21766583   21811393    143      10  351827      -1.4859      0.93135        0.931   1000
5909         1   21922708   21996010      9       1  351827     -0.13729       0.5546        0.541   1000
84196        1   22004791   22109688    125       6  351827        1.256      0.10457        0.097   1000
3339         1   22148737   22263750     34       1  351827      -1.1446      0.87382        0.887   1000
998          1   22379120   22419439     11       2  351827       1.2904     0.098458        0.106   1000
9923         1   22778344   22857650     26       2  351827       0.3002      0.38201        0.379   1000
23028        1   23345937   23410184     14       3  351827     -0.11724      0.54667        0.537   1000
7798         1   23410516   23504301     92       5  351827       1.0877      0.13837         0.12   1000
3352         1   23518388   23521222     41       2  351827      0.41729      0.33823        0.319   1000
80818        1   23685941   23696357    159      14  351827      0.38903      0.34863        0.338   1000
1269         1   24197005   24285549      3       1  351827      -1.0779      0.85946        0.857   1000
55629        1   24286301   24289952     10       3  351827     -0.38265      0.64901        0.635   1000
127294       1   24382531   24438665      6       2  351827     -0.42566      0.66482        0.643   1000
57185        1   24742245   24799473     70       5  351827    -0.054759      0.52183         0.49   1000
6007         1   25598884   25656936    190       5  351827     -0.56068      0.71249        0.721   1000
23585        1   25664789   25688852     30       2  351827      0.16291      0.43529        0.447   1000
6006         1   25687853   25747363    157       2  351827      -0.5578      0.71151        0.704   1000
55219        1   25757388   25826700    132       2  351827     -0.56412      0.71366        0.704   1000
26119        1   25870071   25895377     30       2  351827     -0.49084      0.68823        0.689   1000
56181        1   26146397   26159433    435      17  351827     0.042135       0.4832         0.46   1000
3925         1   26210670   26233368      1       1  351827      -0.6247      0.73392         0.73   1000
5051         1   26286258   26326366     40       1  351827    -0.026544      0.51059        0.497   1000
79927        1   26485511   26489119     48       5  351827      -2.1032      0.98227        0.982   1000
10256        1   26503981   26516375    105       5  351827      -1.2716      0.89825        0.901   1000
64793        1   26560644   26605529    120       8  351827      -1.7675      0.96143        0.961   1000
83442        1   26606213   26608013    164       5  351827     -0.54317      0.70649        0.696   1000
79947        1   26758773   26797797     73       4  351827      0.19743      0.42175        0.413   1000
101928728    1   27018623   27022896    125       1  351827      0.77561      0.21899        0.214   1000
55650        1   27113739   27124894    212       4  351827      0.90426      0.18293        0.182   1000
84243        1   27153201   27184092      2       1  351827      -0.5814      0.71952        0.742   1000
2810         1   27189633   27190947      7       1  351827       0.5028      0.30755        0.308   1000
54707        1   27205872   27216869      5       1  351827     -0.12703      0.55054        0.535   1000
10726        1   27248187   27273362     45       2  351827      0.21963      0.41308        0.402   1000
126695       1   27276047   27286901     11       1  351827      -1.2168      0.88816        0.894   1000
84065        1   27648636   27662891     64       2  351827     -0.24148      0.59541         0.58   1000
9064         1   27681670   27693558     20       5  351827      -1.1713      0.87926        0.878   1000
9473         1   28199055   28213196      6       1  351827      -1.6606      0.95161        0.956   1000
6118         1   28218035   28241255    150      10  351827      0.23043      0.40888        0.419   1000
27293        1   28261456   28285663     46       3  351827      0.33306      0.36955        0.375   1000
2140         1   28296855   28415173     69       2  351827       1.2647      0.10299        0.104   1000
5724         1   28473677   28520447     23       3  351827      -1.0108      0.84394        0.865   1000
83667        1   28585963   28609002      2       1  351827     -0.80947      0.79088        0.801   1000
54797        1   28655513   28662478      1       1  351827      0.19282      0.42355        0.416   1000
65979        1   28696093   28826881    371      11  351827      0.57901      0.28129        0.302   1000
1104         1   28832455   28865708      5       2  351827     0.091241      0.46365        0.466   1000
51441        1   29063133   29096287     93       2  351827      0.65638      0.25579         0.24   1000
6429         1   29474250   29508637      1       1  351827       1.5274     0.063337        0.067   1000
51102        1   29519385   29557460    112       1  351827      -1.7269       0.9579        0.959   1000
10076        1   29563028   29653325      5       1  351827      -0.7334      0.76834        0.787   1000
9410         1   31732415   31769644      1       1  351827      0.12004      0.45222        0.452   1000
51538        1   31769832   31838569    313       6  351827      0.57162      0.28379        0.248   1000
347735       1   31882412   31907527    125       4  351827      -1.0289      0.84824         0.82   1000
553115       1   32095463   32110838     81       3  351827      0.87408      0.19104        0.194   1000
8073         1   32372022   32403988      3       1  351827     -0.25137      0.59923        0.578   1000
84734        1   32712818   32714461      5       1  351827    -0.073545      0.52931        0.528   1000
81629        1   32818365   32830098     38       2  351827    -0.010564      0.50421        0.489   1000
113451       1   33546711   33586132      3       1  351827       1.1621      0.12259        0.119   1000
149076       1   33721908   33766321      7       1  351827       1.0107      0.15609         0.15   1000
127550       1   33772367   33786699    188       7  351827      0.76796      0.22126        0.228   1000
1912         1   33789224   33841194     30       1  351827     0.054446      0.47829        0.474   1000
114784       1   33979609   34631443      1       1  351827      0.79047      0.21463        0.176   1000
2709         1   35220648   35224113     25       3  351827      0.95637      0.16944        0.181   1000
2707         1   35246790   35251967     14       2  351827        1.324     0.092748        0.096   1000
113444       1   35315963   35325417     10       3  351827     -0.93128      0.82414        0.829   1000
100506144    1   35447127   35450948      2       1  351827     -0.95121      0.82925        0.831   1000
79830        1   35525387   35581460     53       2  351827       2.1802     0.014621         0.01   1000
127703       1   36179477   36184790      4       2  351827      0.38382      0.35056        0.347   1000
