PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.4277	rs1891910	-4.644	rs3094315	0.258675	6.95	-0.14631	156	70	enet	0.2	1.2e-10	0.92765	0.354
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2552	rs1891910	-4.644	rs3748595	0.086625	4.32	-3.44662	181	28	enet	0.03	0.011	-1.9448	0.0518
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.2793	rs1891910	-4.644	rs13303118	0.240972	-6.69	-0.59933	181	17	enet	0.22	1.6e-11	-0.11576	0.908
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.2579	rs1891910	-4.644	rs6694632	0.118352	-5.02	-0.41242	182	16	enet	0.089	2.6e-05	1.45878	0.145
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3573	rs1891910	-4.644	rs3128117	0.261481	-6.93	-0.83987	184	7	enet	0.25	4.6e-13	0.57632	0.564
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000224969.1.wgt.RDat	ENSG00000224969.1	1	1013192	1013193	0.2504	rs1891910	-4.644	rs3128117	0.075181	-3.94	-0.83987	185	55	enet	0.022	0.027	0.86827	0.385
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.3271	rs11586188	4.772	rs4075116	0.262835	7.02	-1.13982	203	6	enet	0.23	3.9e-12	-1.23692	0.216
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.34	rs1891910	-4.644	rs3766192	0.156281	-5.64	0.27472	216	23	enet	0.13	4.8e-07	0.1899	0.849
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.3406	rs1891910	-4.644	rs35242196	0.238209	6.95	-0.58331	276	19	enet	0.18	1e-09	-1.05669	0.291
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2627	rs1891910	-4.644	rs1240707	0.110684	-5.14	0.80767	283	8	enet	0.062	0.00042	-0.76614	0.444
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.3435	rs1891910	-4.644	rs1695824	0.202754	-7.23	-1.89131	288	30	enet	0.27	2.9e-14	0.67157	0.502
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.6535	rs1891910	-4.644	rs2031709	0.414088	-8.85	2.14919	285	13	enet	0.42	4e-23	-1.93848	0.0526
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.8635	rs3128317	-4.814	rs4648786	0.198903	-6.14	0.12334	306	45	enet	0.35	9.5e-19	-0.60852	0.543
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.1398	rs3128317	-4.814	rs601141	0.006362	-3.77	0.72631	302	29	enet	0.05	0.0014	-0.07602	0.939
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.2303	rs3128317	-4.814	rs7407	0.050321	4.44	-1.16507	293	9	enet	0.063	4e-04	-0.37254	0.709
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.535	rs3128317	-4.814	rs4648786	0.120761	4.96	0.08679	294	40	enet	0.23	5.5e-12	0.68012	0.496
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.1715	rs3128317	-4.814	rs1014988	0.053895	-4.47	0.55304	290	33	enet	0.062	0.00043	-0.56277	0.574
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.1547	rs3128317	-4.814	rs2250833	0.080267	-4.66	-0.09106	317	6	enet	0.028	0.014	0.22136	0.825
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.1442	rs34241773	10.504	rs2503706	0.113919	-4.77	0.35257	379	8	enet	0.099	9.4e-06	-0.88069	0.378
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.4129	rs34241773	10.504	rs2055204	0.128139	-5.7	0.33081	350	29	enet	0.11	3.3e-06	0.00865	0.993
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.4217	rs34241773	10.504	rs3795272	0.221287	-6.5	-0.25469	347	10	enet	0.21	3.8e-11	0.56666	0.571
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000224387.1.wgt.RDat	ENSG00000224387.1	1	2493257	2493258	0.2056	rs34241773	10.504	rs2173049	0.000142	-3.69	-0.02651	357	21	enet	-0.0021	0.43	-0.74882	0.454
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.2331	rs34241773	10.504	rs2477702	0.031459	4.1	-0.12315	357	26	enet	0.012	0.072	-0.44458	0.657
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000272449.1.wgt.RDat	ENSG00000272449.1	1	2546464	2546465	0.1219	rs34241773	10.504	rs2260976	0.041358	-4.38	-0.56726	368	20	enet	0.077	8.9e-05	1.18464	0.236
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000238164.6.wgt.RDat	ENSG00000238164.6	1	2557030	2557031	0.1581	rs34241773	10.504	rs1886730	0.022392	-3.94	1.05995	368	18	enet	0.038	0.0049	2.4652	0.0137
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000157870.14.wgt.RDat	ENSG00000157870.14	1	2586490	2586491	0.1121	rs34241773	10.504	rs1123571	0.024871	-3.72	-0.08785	368	12	enet	0.01	0.092	0.62717	0.531
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000142606.15.wgt.RDat	ENSG00000142606.15	1	2632989	2632990	0.2322	rs34241773	10.504	rs1123571	0.032199	-4.58	-0.08785	358	19	enet	0.061	0.00048	0.12636	0.899
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.4038	rs2651927	-4.267	rs4364818	0.086211	4.99	-0.54966	542	31	enet	0.1	5.3e-06	-0.26597	0.79
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.4129	rs10915459	4.37	rs4648347	0.268237	-7.25	1.32337	572	19	enet	0.27	2.2e-14	-1.29121	0.197
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.446	rs10915459	4.37	rs10752721	0.043045	5.13	-1.35135	572	31	enet	0.16	8.6e-09	-0.65619	0.512
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.428	rs10915459	4.37	rs7367066	0.443475	-8.97	-0.62658	584	38	enet	0.45	5.4e-25	0.80612	0.42
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000233304.6.wgt.RDat	ENSG00000233304.6	1	3940564	3940565	0.4202	rs10915459	4.37	rs4654480	0.035826	-4.8	-0.1282	599	29	enet	0.047	0.002	-0.32552	0.745
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000226374.2.wgt.RDat	ENSG00000226374.2	1	3948979	3948980	0.4643	rs10915459	4.37	rs10799181	0.110862	-6	-0.10879	606	29	enet	0.28	1.3e-14	-0.04251	0.966
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.3294	rs11588889	-6.708	rs7519953	0.01982	-3.93	0.95594	505	21	enet	0.068	0.00023	0.232	0.817
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000158286.12.wgt.RDat	ENSG00000158286.12	1	6206175	6206176	0.315	rs11588889	-6.708	rs4908864	0.141712	-5.35	0.11279	443	18	enet	0.1	6.9e-06	0.39374	0.694
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000204859.12.wgt.RDat	ENSG00000204859.12	1	6580000	6580001	0.213	rs6701312	-5.399	rs14708	0.044851	3.8	0.22046	433	8	enet	0.0033	0.21	0.59657	0.551
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000237436.1.wgt.RDat	ENSG00000237436.1	1	6784842	6784843	0.1886	rs11120837	6.809	rs4908446	0.007061	-4.06	-0.0205	439	3	enet	0.027	0.016	0.0232	0.981
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000171735.18.wgt.RDat	ENSG00000171735.18	1	6785323	6785324	0.1494	rs11120837	6.809	rs546126	0.013514	-3.42	0.38904	438	15	enet	0.0084	0.11	0.24503	0.806
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.4026	rs9434618	-5.833	rs12756299	0.299713	-7.56	-1.00351	464	26	enet	0.3	8e-16	-0.09567	0.924
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.2299	rs9434618	-5.833	rs10864316	0.089371	5.29	0.15871	459	13	enet	0.084	4.5e-05	-0.54508	0.586
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000116288.12.wgt.RDat	ENSG00000116288.12	1	7954290	7954291	0.197	rs9434618	-5.833	rs225100	0.119918	-5.03	0.56589	425	7	enet	0.085	4.2e-05	-0.4749	0.635
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1284	rs9434618	-5.833	rs6695867	0.014503	-4.59	1.32291	303	13	enet	0.027	0.016	-1.34428	0.179
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000142583.17.wgt.RDat	ENSG00000142583.17	1	9088477	9088478	0.3957	rs12565639	-5.136	rs17389948	0.161134	-5.56	0.07828	415	3	enet	0.12	1.6e-06	-0.03933	0.969
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000049239.12.wgt.RDat	ENSG00000049239.12	1	9234774	9234775	0.3137	rs6669846	-5.546	rs4908830	0.136915	-5.08	1.59548	431	38	enet	0.18	1.6e-09	0.15387	0.878
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1387	rs12402967	-9.03	rs11121557	0.016773	4.17	-6.4937	374	18	enet	0.029	0.013	-3.55947	0.000372
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000175279.21.wgt.RDat	ENSG00000175279.21	1	10430782	10430783	0.3191	rs12402967	-9.03	rs2847337	0.077981	6.01	0.45381	382	26	enet	0.0025	0.23	0.38287	0.702
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000226849.1.wgt.RDat	ENSG00000226849.1	1	11068470	11068471	0.1546	rs12741973	-3.564	rs1010447	0.011948	-3.64	0.69468	360	34	enet	-0.0012	0.38	-0.84316	0.399
Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.3577	rs1148471	6.541	rs5067	0.095533	-5.9	-2.04993	476	25	enet	0.17	6.4e-09	1.89541	0.058
