GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961      2       1  351827     0.036662      0.48538        0.513   1000
26155        1     879583     894679      2       1  351827       1.4493     0.073624        0.078   1000
54991        1    1017198    1051736     48       2  351827     -0.79163      0.78571        0.766   1000
54587        1    1288071    1297183     89       3  351827     0.065245      0.47399        0.472   1000
55052        1    1337276    1342693     62       3  351827      0.56584      0.28575        0.273   1000
441869       1    1353800    1356824    148       9  351827    -0.028432      0.51134        0.504   1000
219293       1    1378152    1405538     95       7  351827      0.47511      0.31735        0.298   1000
83858        1    1407139    1444852     90       7  351827       1.4155     0.078454        0.076   1000
29101        1    1477053    1510262     32       1  351827     0.027184      0.48916        0.464   1000
728661       1    1591486    1624243     29       4  351827       1.0349      0.15036        0.139   1000
163688       1    1846266    1848733     22       2  351827     -0.87853      0.81017        0.829   1000
100506504    1    2113250    2115812      6       1  351827     -0.14038      0.55582        0.555   1000
199990       1    2115899    2144159      3       1  351827      -1.3588      0.91289        0.898   1000
79906        1    2251719    2323190     14       1  351827     -0.49812       0.6908        0.668   1000
5192         1    2336241    2344010      5       1  351827      0.39652      0.34586        0.374   1000
9651         1    2407754    2436964     15       1  351827       1.0604      0.14447        0.132   1000
127281       1    2517899    2522908     62       1  351827     0.026917      0.48926        0.503   1000
1677         1    3773845    3801993     24       3  351827       1.2094      0.11326        0.115   1000
339448       1    3805697    3816857     12       2  351827      0.56425      0.28629        0.281   1000
261734       1    5922870    6052618    205       6  351827       1.6042     0.054333        0.059   1000
23463        1    6281253    6296044     32       2  351827     -0.22618      0.58947        0.591   1000
9341         1    7831329    7841492     34       2  351827    -0.023326       0.5093        0.527   1000
473          1    8412464    8877699     49       3  351827       1.9193     0.027471        0.028   1000
9563         1    9294822    9331396     36       4  351827       0.7347      0.23126        0.238   1000
374946       1   11751781   11780336      2       1  351827      0.23483      0.40717        0.414   1000
4524         1   11845787   11866160      4       1  351827      -1.1523      0.87539        0.874   1000
4878         1   11905766   11907840      2       1  351827     -0.47247      0.68171        0.659   1000
5351         1   11994724   12035599      4       1  351827      -1.1645      0.87788         0.87   1000
9927         1   12040238   12073572     36       2  351827     -0.59399      0.72374        0.711   1000
284723       1   16062721   16067884     26       3  351827      0.14763      0.44132         0.42   1000
1187         1   16348486   16360548     47       2  351827       0.9404      0.17351        0.174   1000
348487       1   16384264   16400127     56       4  351827     -0.64342      0.74003        0.767   1000
128272       1   16524599   16539104     86       3  351827    -0.029834       0.5119        0.497   1000
79363        1   16558182   16563659     17       1  351827       0.6482      0.25843        0.243   1000
54455        1   16573339   16678965     25       1  351827      -1.1177      0.86815        0.865   1000
9696         1   17248445   17299474     10       1  351827     -0.43725      0.66904        0.673   1000
4237         1   17300997   17308081     17       1  351827     -0.21124      0.58365        0.575   1000
8659         1   19197924   19229293     51       1  351827     -0.26019      0.60264        0.607   1000
23065        1   19542158   19578053    156       6  351827      0.21739      0.41395        0.425   1000
51154        1   19578075   19586622     21       2  351827       1.0797      0.14014        0.141   1000
8574         1   19629202   19638640      4       2  351827      0.25799      0.39821        0.411   1000
54896        1   19638740   19658925      2       1  351827     -0.48303      0.68546        0.685   1000
4681         1   19969723   19984949      2       1  351827       2.3501    0.0093844       0.0098   5000
23252        1   20208356   20239438     66       5  351827       -2.186      0.98559        0.982   1000
79594        1   20825941   20834674     40       4  351827      -1.9454      0.97414        0.979   1000
978          1   20915444   20945401      7       2  351827       1.1573      0.12358        0.114   1000
57576        1   20990475   21044317     24       2  351827       1.5006     0.066729        0.056   1000
84224        1   21766583   21811393    100       5  351827     -0.61993      0.73235        0.749   1000
9923         1   22778344   22857650      2       1  351827     -0.20983       0.5831        0.582   1000
6920         1   23707555   23751269     71       7  351827        1.992     0.023185        0.019   1000
55616        1   23755056   23810750      5       1  351827     -0.39214      0.65252        0.634   1000
3155         1   24128367   24165110     85       2  351827       1.7221     0.042523        0.036   1000
90529        1   24683489   24741587     37       1  351827       1.1295      0.12935        0.125   1000
6007         1   25598884   25656936    161       2  351827     -0.62448      0.73384        0.747   1000
6006         1   25687853   25747363    157       2  351827      -0.5727      0.71658        0.732   1000
26119        1   25870071   25895377     29       2  351827     -0.82607      0.79562          0.8   1000
164091       1   26187975   26202461      1       1  351827      0.78221      0.21705        0.226   1000
79927        1   26485511   26489119     10       1  351827     -0.57926      0.71879        0.725   1000
10256        1   26503981   26516375    319      18  351827     -0.59016      0.72246        0.708   1000
10726        1   27248187   27273362     59       2  351827       1.1097      0.13357        0.139   1000
23038        1   27561007   27635124      8       1  351827     -0.12962      0.55157        0.549   1000
388611       1   27705596   27709823    138       3  351827      -2.0092      0.97774        0.975   1000
27245        1   27860756   27930463      4       1  351827        -0.66      0.74537        0.754   1000
2537         1   27992572   27998724      5       2  351827      -2.4732       0.9933        0.994   1000
6118         1   28218035   28241255     40       3  351827     0.098545      0.46075        0.463   1000
55113        1   28286504   28294604      1       1  351827      0.47153      0.31863        0.349   1000
2140         1   28296855   28415173     30       1  351827       1.3658     0.086005        0.095   1000
