PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.318	rs1891910	-4.64	rs2710888	-0.004691	-4.06	-1.48935	185	26	enet	0.033	0.028	1.98982	0.0466
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000160087.20.wgt.RDat	ENSG00000160087.20	1	1273884	1273885	0.358	rs1891910	-4.64	rs1749951	-0.008584	-3.96	0.22605	239	13	enet	0.021	0.066	-0.46443	0.642
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000107404.19.wgt.RDat	ENSG00000107404.19	1	1349349	1349350	0.204	rs1891910	-4.64	rs12089560	0.073016	-3.67	0.7915	257	2	enet	-0.005	0.51	-0.46177	0.644
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.413	rs1891910	-4.64	rs12410087	0.177763	5.02	-1.83853	274	18	enet	0.11	0.00021	-1.49203	0.136
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.206	rs1891910	-4.64	rs12089560	0.217379	-5.3	0.7915	281	12	enet	0.17	3.7e-06	-0.5193	0.604
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.541	rs1891910	-4.64	rs873927	0.430173	-7.25	-2.11095	286	21	enet	0.5	8.9e-19	0.95183	0.341
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.513	rs1891910	-4.64	rs2031709	0.088373	-4.65	2.14919	283	48	enet	NA	NA	-2.70337	0.00686
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.635	rs3128317	-4.81	rs4648611	0.032784	4.35	-0.87513	305	44	enet	0.14	3.1e-05	-0.54349	0.587
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.308	rs3128317	-4.81	rs9970652	0.131937	-5.16	-0.5447	315	18	enet	0.13	3.3e-05	0.39904	0.69
Brain_Spinal_cord_cervical_c-1	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Spinal_cord_cervical_c-1/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.52	rs34241773	10.5	rs4443836	0.281885	-6	9.28584	340	14	enet	0.12	1e-04	-9.54482	1.36e-21
