GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
339451       1     895967     901099      3       1  351827      0.52266      0.30061          0.3   1000
54973        1    1246965    1260067     27       2  351827     -0.58311      0.72009        0.694   1000
55052        1    1337276    1342693      3       1  351827     -0.40905      0.65875        0.687   1000
83858        1    1407139    1444852     74       7  351827       1.4346     0.075695         0.07   1000
55210        1    1447523    1470067      2       1  351827      0.40353      0.34328        0.337   1000
643988       1    1533388    1535476      2       1  351827      -0.6494      0.74196        0.733   1000
142678       1    1550795    1565990     10       1  351827      0.28031      0.38962         0.39   1000
728661       1    1591486    1624243     22       2  351827       1.2043      0.11423        0.129   1000
9906         1    1656277    1677438      2       1  351827      0.72875      0.23308        0.221   1000
8764         1    2487291    2495268     40       1  351827      0.26425      0.39579        0.398   1000
100287898    1    2572807    2706230    138       3  351827      0.11471      0.45434        0.473   1000
9731         1    3728645    3773797    113       4  351827       0.5176      0.30237        0.321   1000
261734       1    5922870    6052618     29       2  351827       1.8958     0.028991        0.022   1000
6146         1    6245080    6259679      5       2  351827      0.72715      0.23357        0.217   1000
23463        1    6281253    6296044     14       1  351827     0.073535      0.47069        0.459   1000
57449        1    6526152    6580121     30       3  351827       0.3972      0.34561        0.344   1000
54206        1    8071779    8086393      4       1  351827      0.92836      0.17661        0.175   1000
9563         1    9294822    9331396     22       2  351827      0.62247      0.26682        0.244   1000
84328        1    9982168   10003460     96       6  351827    -0.044135       0.5176        0.545   1000
64802        1   10003486   10045556     28       5  351827      0.33911      0.36726        0.373   1000
1325         1   10509776   10512060     12       2  351827       0.6164      0.26881        0.275   1000
57085        1   11796142   11810828      1       1  351827     0.066599      0.47345        0.469   1000
4524         1   11845787   11866160    137       3  351827       0.7584      0.22411        0.237   1000
55092        1   15479028   15546974      9       1  351827      -1.9846      0.97641        0.977   1000
114827       1   15573730   15724767     12       1  351827       2.0137      0.02202        0.024   1000
79814        1   15898194   15911605    129       3  351827     -0.14718      0.55851        0.528   1000
84301        1   15943953   15995539      1       1  351827        1.378     0.084102        0.079   1000
284723       1   16062721   16067884     12       1  351827     -0.36413      0.64212        0.662   1000
1187         1   16348486   16360548      1       1  351827      -1.4827      0.93093        0.939   1000
128272       1   16524599   16539104    203       7  351827      0.66729      0.25229        0.255   1000
79363        1   16558182   16563659      1       1  351827     -0.26862      0.60589        0.602   1000
11240        1   17393256   17445948     18       1  351827    -0.052941      0.52111        0.514   1000
8659         1   19197924   19229293      1       1  351827      0.24456       0.4034        0.412   1000
23065        1   19542158   19578053    127       5  351827      0.21883      0.41339        0.408   1000
51154        1   19578075   19586622      8       1  351827    -0.094352      0.53759        0.502   1000
8574         1   19629202   19638640      1       1  351827      0.44914      0.32666        0.338   1000
832          1   19665267   19812066      2       1  351827      0.49001      0.31206        0.312   1000
23252        1   20208356   20239438      4       1  351827      -1.7824      0.96266        0.961   1000
79594        1   20825941   20834674     10       1  351827     -0.73793      0.76972        0.757   1000
978          1   20915444   20945401     12       1  351827      -2.2013      0.98614        0.975   1000
84224        1   21766583   21811393    116       7  351827      -1.1005      0.86443        0.878   1000
84196        1   22004791   22109688    115       5  351827       1.2024       0.1146        0.101   1000
9923         1   22778344   22857650      1       1  351827      0.10936      0.45646        0.449   1000
6007         1   25598884   25656936    159       2  351827     -0.63209      0.73634        0.724   1000
6006         1   25687853   25747363    145       1  351827     -0.74493      0.77184        0.754   1000
26119        1   25870071   25895377     24       2  351827      0.76795      0.22126        0.208   1000
56181        1   26146397   26159433      4       1  351827      -1.5321      0.93725        0.944   1000
84676        1   26377792   26394142     55       1  351827       1.1389      0.12738        0.122   1000
8289         1   27022522   27108601      5       1  351827      0.23013        0.409        0.425   1000
84243        1   27153201   27184092     34       1  351827      0.78424      0.21645        0.224   1000
84958        1   27668483   27680423      5       2  351827     -0.24788      0.59789        0.605   1000
27245        1   27860756   27930463      4       1  351827     -0.99418      0.83993        0.837   1000
2140         1   28296855   28415173     49       1  351827       1.3063     0.095722        0.086   1000
65979        1   28696093   28826881    123       1  351827      0.64512      0.25943        0.253   1000
1104         1   28832455   28865708      1       1  351827     0.045458      0.48187        0.494   1000
51102        1   29519385   29557460      5       1  351827      -1.4213      0.92239         0.92   1000
9672         1   31342313   31381480      1       1  351827      0.90855      0.18179         0.18   1000
10657        1   32479295   32526460      8       3  351827       1.6479     0.049684        0.049   1000
23633        1   32573644   32642169     26       1  351827     -0.38275      0.64905         0.65   1000
55721        1   32671236   32674288      1       1  351827      -1.2265         0.89        0.902   1000
84734        1   32712818   32714461    104       2  351827     -0.62781      0.73494        0.728   1000
64766        1   33282368   33324480      1       1  351827     0.032913      0.48687        0.467   1000
113451       1   33546711   33586132    137       3  351827      -0.1494      0.55938        0.563   1000
1912         1   33789224   33841194     76       2  351827      0.62546      0.26583        0.278   1000
127703       1   36179477   36184790    190       5  351827      0.49109      0.31168        0.332   1000
64769        1   37955561   37980420    124       6  351827      0.31303      0.37713        0.402   1000
29889        1   38032413   38061586     36       2  351827     -0.31838       0.6249        0.615   1000
54955        1   38147242   38158007     13       1  351827       1.4522     0.073228        0.067   1000
3633         1   38326369   38412729     87       6  351827       1.2335      0.10869        0.108   1000
10946        1   38422647   38456019     65       4  351827       2.0251     0.021428        0.021   1000
79647        1   39456916   39471737     67       1  351827     -0.66863      0.74813        0.751   1000
4725         1   39491967   39500308    137       7  351827     -0.52069      0.69871        0.683   1000
51440        1   40144320   40157382      1       1  351827       1.1311        0.129        0.118   1000
10450        1   40204517   40229586     34       3  351827       0.9118      0.18094        0.171   1000
656          1   40223903   40254533     19       2  351827      0.54515      0.29283        0.292   1000
64064        1   40235197   40237020     12       2  351827       0.8029      0.21102        0.205   1000
101929536    1   40254654   40255843     10       2  351827      0.90905      0.18166        0.176   1000
54802        1   40306703   40349177     62       6  351827     -0.97892      0.83619        0.828   1000
5538         1   40538382   40563142    187       8  351827     -0.19583      0.57763        0.604   1000
1298         1   40766162   40782939      4       1  351827      0.57963      0.28108        0.273   1000
200172       1   41481269   41489116      3       1  351827     -0.36796      0.64355        0.657   1000
79078        1   43232916   43241413      4       1  351827       1.5869     0.056271         0.05   1000
374969       1   43272723   43283059     24       2  351827      0.39236      0.34739        0.336   1000
1802         1   44435653   44439043      1       1  351827       1.0244      0.15283         0.14   1000
79639        1   45118920   45140253     61       2  351827       1.3246     0.092658        0.105   1000
8891         1   45316194   45452394     42       1  351827     -0.50522       0.6933        0.695   1000
4595         1   45794914   45806142      4       1  351827     -0.53631      0.70413        0.713   1000
10420        1   45809555   45956840     82       5  351827     -0.37192      0.64502        0.621   1000
25974        1   45965856   45976739     51       2  351827     -0.21237      0.58409        0.576   1000
541468       1   46669006   46686928     20       3  351827     -0.66564      0.74718        0.739   1000
387338       1   46805849   46830824    205       2  351827     -0.14006      0.55569        0.557   1000
2166         1   46859939   46879520     55       8  351827      0.56939      0.28455        0.282   1000
374973       1   47137497   47139266      1       1  351827     -0.30689      0.62054        0.619   1000
6491         1   47715811   47779819    199       5  351827      0.28904      0.38628        0.397   1000
79656        1   49193538   49242547      3       1  351827    -0.057462      0.52291         0.54   1000
