PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.5114	rs573744	9.24	rs2306627	0.338	9.98	7.349307	462	13	enet	0.38	5.899999999999999e-32	4.96	7.23e-7
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000259943.1.wgt.RDat	ENSG00000259943.1	1	40257966	40257967	0.129	rs12730176	-6.61	rs10493090	0.118	-6.03	-4.227857	403	31	enet	0.1	1.6e-8	4.47	7.73e-6
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1452	rs4845681	13.15	rs6674171	0.108	-6.8	4.345823	403	10	enet	0.12	2.7e-10	-4.76	1.95e-6
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.1807	rs4845681	13.15	rs11264300	0.119	-6.26	8.875752	378	15	enet	0.11	4.8e-9	-7.99	1.39e-15
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.1425	rs7536102	12.55	rs6667267	0.0251	4.48	5.398675	276	75	enet	0.05	6.8e-5	7.47	8.07e-14
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.0704	rs7536102	12.55	rs6676161	0.0806	5.53	11.996676	276	24	enet	0.074	1.3e-6	8.59	8.99e-18
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000234476.1.wgt.RDat	ENSG00000234476.1	1	225465342	225465343	0.2257	rs16845098	7.76	rs16845098	0.137	-6.64	7.760562	405	14	enet	0.11	4.1e-9	-5.4	6.58e-8
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2678	rs1196366	6.6	rs2291426	0.277	-9.09	6.291535	464	19	enet	0.24	3.2e-19	-6.08	1.18e-9
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.4962	rs1196366	6.6	rs2291426	0.476	11.83	6.291535	473	28	enet	0.46	4.799999999999999e-41	4.7	2.57e-6
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.1084	rs713587	10.96	rs2384061	0.077116	5.27	9.065395	319	13	enet	0.069	3e-6	8.229974	1.87e-16
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000084710.13.wgt.RDat	ENSG00000084710.13	2	25042129	25042130	0.0564	rs713587	10.96	rs955855	-0.003142	3.41	7.6179500000000004	332	11	enet	-0.002	0.53	6.431968	1.26e-10
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.076	rs2138913	-6.53	rs1823913	0.052701	-4.39	-5.086748	384	9	enet	0.024	0.0045	4.573664	4.79e-6
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1864	rs2138913	-6.53	rs6704784	0.185795	-7.69	-5.013804	384	14	enet	0.18	1.3e-14	4.993738	5.92e-7
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.0777	rs2952769	-7.69	rs2551971	0.075234	-5.44	-7.501302	405	3	enet	0.055	2.7e-5	7.586954	3.28e-14
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000144451.18.wgt.RDat	ENSG00000144451.18	2	213284378	213284379	0.1203	rs2130057	-7.91	rs16850287	0.058401	-4.47	-5.492797	341	5	enet	0.011	0.039	5.507799	3.63e-8
GTExv8.EUR.Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.1129	rs13023540	14.75	rs6720403	0.095757	5.66	-7.363722	364	18	enet	0.066	5e-6	-6.324031	2.55e-10
