PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.401	rs1891910	-4.64	rs3094315	0.211207	6.2	-0.146306	155	4	enet	0.13	5.4e-07	-0.2425	0.808
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1333	rs1891910	-4.64	rs1815606	-0.002911	-3.63	0.064327	180	2	enet	-0.0051	0.73	0.33651	0.736
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3916	rs1891910	-4.64	rs3128117	0.319805	-7.57	-0.839866	183	31	enet	0.33	5.1e-17	1.63983	0.101
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1216	rs1891910	-4.64	rs2710888	0.100403	-4.47	-1.489351	186	21	enet	0.044	0.003	0.59541	0.552
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2482	rs1891910	-4.64	rs9442372	0.166647	-5.63	0.804079	215	16	enet	0.11	2.8e-06	-0.75881	0.448
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2772	rs1891910	-4.64	rs12089560	0.182101	-5.95	0.791504	282	5	enet	0.11	5e-06	-0.46539	0.642
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.7458	rs3128317	-4.81	rs6604981	0.38636	8.15	1.827854	306	38	enet	0.36	1.3e-18	2.17454	0.0297
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.8416	rs3128317	-4.81	rs4648786	0.102813	-5.36	0.123343	306	30	enet	0.41	5.7e-22	-0.69819	0.485
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.2805	rs3128317	-4.81	rs35511469	0.071143	-4.44	-0.607799	328	46	enet	0.0088	0.11	-0.37546	0.707
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.1542	rs34241773	10.5	rs2503701	0.101319	-4.4	0.721532	378	6	enet	0.077	0.00012	-0.52618	0.599
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.2997	rs34241773	10.5	rs2460002	0.130892	5.08	0.281704	375	23	enet	0.059	0.00073	0.38557	0.7
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000215912.12.wgt.RDat	ENSG00000215912.12	1	2801716	2801717	0.1652	rs34241773	10.5	rs10797437	0.003337	3.7	-0.885127	370	6	enet	-0.0058	1	-0.61332	0.54
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.4954	rs2651927	-4.27	rs12408890	0.192641	-6.28	0.081158	545	18	enet	0.23	1.3e-11	-0.34749	0.728
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.3707	rs10915459	4.37	rs6663840	0.194324	-6.58	1.746437	574	23	enet	0.26	2.2e-13	-1.45828	0.145
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.2222	rs10915459	4.37	rs1539649	0.010409	3.92	-0.769247	574	9	enet	0.0052	0.17	0.07527	0.94
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.3072	rs11588889	-6.71	rs12120967	0.078104	-5.13	-1.345545	507	30	enet	0.094	2.2e-05	0.15405	0.878
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000041988.15.wgt.RDat	ENSG00000041988.15	1	6624865	6624866	0.3726	rs11120837	6.81	rs6678681	0.198291	6.08	-0.066067	434	40	enet	0.21	1.4e-10	0.92956	0.353
Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.3353	rs9434618	-5.83	rs10864316	0.236023	6.51	0.15871	459	16	enet	0.2	2.1e-10	-0.42368	0.672
