PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1044	rs12402967	-9.03	rs4846221	0.0515	4.16	-6.236685	373	10	enet	0.033	0.0018	-6.29589	3.06e-10
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000198754.5.wgt.RDat	ENSG00000198754.5	1	39771347	39771348	0.222	rs12730176	-6.61	rs12045644	0.0281	-4.35	-5.388411	378	7	enet	0.036	0.0011	4.81929	1.44e-6
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000236200.5.wgt.RDat	ENSG00000236200.5	1	43708137	43708138	0.0636	rs11590627	-10.18	rs7528454	0.0495	-4.44	-3.845681	421	8	enet	0.017	0.018	5.16702	2.38e-7
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.29	rs4845681	13.15	rs7526293	0.182	-7.25	4.591305	403	10	enet	0.14	1.9e-10	-5.00563	5.57e-7
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.2668	rs4845681	13.15	rs11264300	0.0492	-5.13	8.875752	377	30	enet	0.034	0.0014	-5.9785	2.25e-9
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000257551.1.wgt.RDat	ENSG00000257551.1	1	220833191	220833192	0.318	rs2807857	6.98	rs2807857	0.174	7.51	6.984473	394	10	enet	0.22	7.4e-16	4.86643	1.14e-6
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000143815.14.wgt.RDat	ENSG00000143815.14	1	225428924	225428925	0.2184	rs16845098	7.83	rs16845098	0.0476	5	7.834525	405	41	enet	0.11	3.1e-8	5.46667	4.59e-8
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000234476.1.wgt.RDat	ENSG00000234476.1	1	225465342	225465343	0.5306	rs16845098	7.8	rs16845098	0.286	-8.78	7.796855	405	26	enet	0.29	1.2e-21	-5.96001	2.52e-9
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3269	rs1196366	6.6	rs2050632	0.357	-9.8	6.355119	463	24	enet	0.35	5.9000000000000005e-27	-6.12164	9.26e-10
GTExv8.EUR.Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.5028	rs1196366	6.6	rs672008	0.459	11.14	5.916276	472	22	enet	0.51	2.3e-43	4.53629	5.73e-6
