PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4964	rs573744	9.24	rs2306627	0.359	10.96	7.349307	462	16	enet	0.37	2.8999999999999997e-35	6.71907	1.83e-11
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000259943.1.wgt.RDat	ENSG00000259943.1	1	40257966	40257967	0.0751	rs12730176	-6.61	rs5029454	0.0142	-4.58	-6.396945	404	24	enet	0.016	0.012	6.31442	2.71e-10
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1276	rs4845681	13.15	rs3811448	0.128	-6.85	4.167512	403	9	enet	0.12	5.1e-11	-5.28378	1.27e-7
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3624	rs1196366	6.6	rs2291426	0.381	-11.54	6.291535	462	21	enet	0.35	3.5e-33	-5.72014	1.06e-8
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000173960.13.wgt.RDat	ENSG00000173960.13	2	23927284	23927285	0.0724	rs2081302	5.64	rs2081302	0.050315	4.92	5.635193	377	11	enet	0.048	3.9e-5	4.67566	2.93e-6
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000084676.15.wgt.RDat	ENSG00000084676.15	2	24491913	24491914	0.1645	rs713587	10.96	rs10177595	0.028136	-4.87	-1.478811	319	38	enet	0.096	6.1e-9	5.45285	4.96e-8
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.1756	rs2138913	-6.53	rs7574570	0.182746	-8.1	-5.501779	384	15	enet	0.17	2.5e-15	5.4409	5.3e-8
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.279	rs2138913	-6.53	rs7574570	0.22157	-8.78	-5.501779	384	7	enet	0.2	2e-17	5.08103	3.75e-7
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000230611.1.wgt.RDat	ENSG00000230611.1	2	191174232	191174233	0.1201	rs2138913	-6.53	rs13013390	0.120444	-6.67	-4.266614	390	7	enet	0.11	8.2e-10	4.94808	7.49e-7
GTExv8.EUR.Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000227542.1.wgt.RDat	ENSG00000227542.1	2	191246171	191246172	0.0937	rs2138913	-6.53	rs1823913	0.074319	-5.18	-5.086748	383	17	enet	0.034	4.5e-4	4.9849	6.2e-7
