PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000228327.3.wgt.RDat	ENSG00000228327.3	1	778625	778626	0.1326	rs1891910	-4.64	rs13302982	-0.001495	-3.42	-0.486	137	22	enet	0.0043	0.1	-0.451611	0.652
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3785	rs1891910	-4.64	rs3094315	0.157761	7.92	-0.146	156	33	enet	0.15	5.5e-15	0.590659	0.555
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000187634.11.wgt.RDat	ENSG00000187634.11	1	923927	923928	0.1288	rs1891910	-4.64	rs28576697	0.02477	-4.27	0.754	177	14	enet	0.016	0.0074	-0.684996	0.493
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1594	rs1891910	-4.64	rs2341365	0.03255	-5.4	-0.189	181	15	enet	0.083	4.8e-09	0.148521	0.882
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1815	rs1891910	-4.64	rs13303118	0.132036	-7.25	-0.599	182	14	enet	0.084	4.4e-09	0.224157	0.823
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4602	rs1891910	-4.64	rs3128117	0.346268	-11.6	-0.84	184	13	enet	0.37	6.5e-41	0.611034	0.541
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.1918	rs1891910	-4.64	rs1891910	0.083833	5.91	-4.64	184	19	enet	0.14	1.3e-14	-3.388246	0.000703
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.182	rs1891910	-4.64	rs2710888	0.099588	-6.86	-1.49	187	16	enet	0.083	5.2e-09	0.968042	0.333
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2429	rs1891910	-4.64	rs6687776	0.08618	-6.92	0.0877	216	24	enet	0.17	1e-17	-0.362494	0.717
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000078808.16.wgt.RDat	ENSG00000078808.16	1	1232030	1232031	0.0705	rs1891910	-4.64	rs7515488	0.038367	-4.97	0.0727	229	14	enet	0.042	3e-05	-1.210713	0.226
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1736	rs1891910	-4.64	rs12036216	0.105505	-7.19	-0.281	229	14	enet	0.11	9.9e-12	-0.354793	0.723
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000230415.1.wgt.RDat	ENSG00000230415.1	1	1275222	1275223	0.1162	rs1891910	-4.64	rs3737722	0.016887	4.16	-0.687	242	10	enet	0.029	0.00045	0.47571	0.634
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.268	rs1891910	-4.64	rs11466691	0.069609	6.79	0.3	245	17	enet	0.12	1.2e-12	0.498495	0.618
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.0957	rs1891910	-4.64	rs1240707	0.0114	3.66	0.808	253	25	enet	0.073	4.8e-08	1.185049	0.236
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2125	rs1891910	-4.64	rs1240707	0.059674	6.2	0.808	253	25	enet	0.13	2.5e-13	0.484214	0.628
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000224051.6.wgt.RDat	ENSG00000224051.6	1	1324755	1324756	0.0988	rs1891910	-4.64	rs604618	0.039953	4.87	0.0236	253	11	enet	0.021	0.0026	0.12311	0.902
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1963	rs1891910	-4.64	rs35242196	0.090071	6.63	-0.583	276	17	enet	0.11	2.3e-11	0.136191	0.892
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.0629	rs1891910	-4.64	rs11804831	0.007364	-3.87	-0.135	276	18	enet	-0.0017	0.55	0.484878	0.628
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.5902	rs1891910	-4.64	rs12089560	0.397754	-13.05	0.792	283	8	enet	0.45	5.2e-52	-0.559446	0.576
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.0723	rs1891910	-4.64	rs1240707	0.050129	-5.45	0.808	285	7	enet	0.035	0.00013	-1.142803	0.253
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.3526	rs1891910	-4.64	rs873927	0.194241	-8.85	-2.11	288	17	enet	0.19	5.1e-20	1.325823	0.185
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.7114	rs1891910	-4.64	rs2031709	0.29207	-10.59	2.15	285	45	enet	0.29	3.1e-30	-3.230838	0.00123
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.0812	rs11586188	4.1	rs3128342	0.028831	-4.43	-2.31	279	7	enet	0.044	1.9e-05	1.726765	0.0842
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.1367	rs3128317	-4.81	rs7519837	0.100339	6.34	0.218	281	8	enet	0.1	6.1e-11	0.378324	0.705
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.5696	rs3128317	-4.81	rs6604981	0.27682	10.83	1.83	306	4	enet	0.29	1.3e-30	1.47489	0.14
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7698	rs3128317	-4.81	rs4648786	0.119267	-7.24	0.123	306	20	enet	0.41	7e-46	-1.3508	0.177
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.2006	rs3128317	-4.81	rs7520934	0.101529	-6.53	0.828	302	22	enet	0.075	2.8e-08	-0.134873	0.893
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.2538	rs3128317	-4.81	rs4074197	0.036991	5.11	0.508	293	42	enet	0.068	1.3e-07	-0.071658	0.943
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.7209	rs3128317	-4.81	rs6699975	0.174284	-8.31	-1.1	294	35	enet	0.31	3e-33	0.899367	0.368
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.6592	rs3128317	-4.81	rs6699975	0.169834	8.25	-1.1	290	36	enet	0.23	3.2e-24	-1.132607	0.257
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.1166	rs3128317	-4.81	rs745910	0.019687	-4.89	-0.107	317	13	enet	0.029	0.00044	1.26343	0.206
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.1473	rs3128317	-4.81	rs2748987	0.016829	-4.79	-0.0755	328	12	enet	0.017	0.0055	0.091881	0.927
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.3037	rs34241773	10.5	rs2503701	0.111991	-7.89	0.747	378	13	enet	0.13	1.6e-13	-0.532939	0.594
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.4546	rs34241773	10.5	rs2503706	0.110761	7.5	0.353	375	47	enet	0.19	3.2e-19	0.866081	0.386
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.1258	rs34241773	10.5	rs4648831	0.076929	-5.69	-1.68	350	14	enet	0.035	0.00012	0.958462	0.338
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.126	rs34241773	10.5	rs3795272	0.063384	5.82	-0.255	349	7	enet	0.063	3.5e-07	-0.419869	0.675
Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.3657	rs34241773	10.5	rs7545940	0.181348	-8.47	-0.3	346	36	enet	0.19	5.4e-19	0.669099	0.503
