GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961      6       1  351827     -0.85999       0.8051        0.803   1000
84808        1     910579     917473    160      15  351827      0.48657      0.31328        0.301   1000
57801        1     934342     936608      6       2  351827      0.83773      0.20109        0.202   1000
375790       1     955503     991499     94       7  351827      0.24123      0.40469        0.401   1000
54991        1    1017198    1051736     56       6  351827     -0.25981       0.6025        0.589   1000
126792       1    1167629    1170421     91       2  351827      -1.5298      0.93696        0.945   1000
6339         1    1215816    1227409     83       5  351827      0.51414      0.30358        0.285   1000
54973        1    1246965    1260067     66       3  351827    -0.018489      0.50738        0.478   1000
55052        1    1337276    1342693    135       6  351827     -0.34914      0.63651        0.629   1000
441869       1    1353800    1356824    309      15  351827     0.038267      0.48474        0.454   1000
219293       1    1378152    1405538     82       7  351827      0.21813      0.41366        0.408   1000
83858        1    1407139    1444852     90       8  351827       1.4069     0.079731        0.084   1000
55210        1    1447523    1470067      1       1  351827      0.41382       0.3395        0.334   1000
29101        1    1477053    1510262     40       2  351827     0.055096      0.47803        0.457   1000
142678       1    1550795    1565990     22       3  351827      0.16082      0.43612        0.435   1000
984          1    1571100    1590473     14       1  351827       1.0868      0.13857        0.128   1000
728661       1    1591486    1624243     55       8  351827      0.67298      0.25048        0.267   1000
728642       1    1633822    1655999      3       2  351827     -0.71439      0.76251        0.755   1000
9906         1    1656277    1677438     19       3  351827      0.96464      0.16736        0.157   1000
65220        1    1682671    1711508     68       3  351827      0.35774      0.36027        0.386   1000
163688       1    1846266    1848733     24       5  351827     -0.96395      0.83246        0.828   1000
100506504    1    2113250    2115812     68       3  351827     -0.45722      0.67624        0.682   1000
199990       1    2115899    2144159     13       3  351827      -1.2125      0.88734        0.897   1000
79906        1    2251719    2323190     63       6  351827    -0.081641      0.53253        0.541   1000
5192         1    2336241    2344010     10       3  351827     -0.20067      0.57952        0.569   1000
127281       1    2517899    2522908    154       7  351827     0.046053      0.48163        0.475   1000
