GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     34       2  351827       1.6455     0.049928        0.055   1000
339451       1     895967     901099     33       3  351827       1.5828     0.056731        0.067   1000
9636         1     948847     949920      4       1  351827      -0.0403      0.51607        0.505   1000
375790       1     955503     991499     39       3  351827      0.56329      0.28662        0.277   1000
54991        1    1017198    1051736     37       3  351827      0.46294       0.3217        0.336   1000
126792       1    1167629    1170421     65       1  351827      -1.3107      0.90501        0.896   1000
6339         1    1215816    1227409     18       4  351827      0.15306      0.43918        0.442   1000
116983       1    1227764    1243304     12       1  351827      0.33536      0.36868        0.377   1000
54973        1    1246965    1260067    162       8  351827      0.24161      0.40454        0.391   1000
54587        1    1288071    1297183     74       3  351827     0.076157      0.46965        0.485   1000
55052        1    1337276    1342693     68       4  351827      0.37684      0.35315        0.344   1000
441869       1    1353800    1356824    106       4  351827      0.27349      0.39224        0.392   1000
219293       1    1378152    1405538     20       2  351827       2.1017     0.017791        0.017   1000
83858        1    1407139    1444852    134      10  351827       1.2686       0.1023        0.107   1000
55210        1    1447523    1470067     51       5  351827      0.56066      0.28752         0.28   1000
142678       1    1550795    1565990     28       3  351827      0.62515      0.26594        0.284   1000
984          1    1571100    1590473     22       2  351827       1.1571      0.12362        0.131   1000
728661       1    1591486    1624243     52       8  351827      0.91207      0.18087        0.179   1000
728642       1    1633822    1655999      4       2  351827     -0.27623      0.60882        0.582   1000
9906         1    1656277    1677438     16       2  351827       1.0882      0.13826        0.137   1000
65220        1    1682671    1711508     46       2  351827      -1.2859      0.90075        0.909   1000
2782         1    1716725    1822552     13       2  351827      0.04862      0.48061        0.468   1000
163688       1    1846266    1848733    105       5  351827    -0.030367      0.51211        0.531   1000
339456       1    1849029    1850740     59       1  351827      0.20562      0.41854        0.434   1000
5590         1    1981909    2116834      1       1  351827      0.75123      0.22626        0.246   1000
199990       1    2115899    2144159     14       4  351827      0.99872      0.15896        0.169   1000
79906        1    2251719    2323190     50       6  351827      -1.0873      0.86155         0.85   1000
5192         1    2336241    2344010      4       1  351827      0.60683      0.27198        0.272   1000
8764         1    2487291    2495268    272       9  351827      -0.1135      0.54518        0.562   1000
100287898    1    2572807    2706230    216       8  351827    -0.022871      0.50912        0.535   1000
63976        1    2985565    3355185      5       1  351827      -1.0443      0.85183         0.86   1000
27237        1    3371147    3397677      4       1  351827     -0.49989      0.69142        0.681   1000
1953         1    3404506    3528059      2       1  351827     -0.15997      0.56355        0.567   1000
49856        1    3547331    3566671     23       5  351827    -0.049361      0.51968        0.562   1000
7161         1    3569129    3652765     30       4  351827       1.6027     0.054502        0.051   1000
9731         1    3728645    3773797    224      10  351827      0.28646      0.38726        0.389   1000
1677         1    3773845    3801993     69       5  351827      0.34901      0.36354        0.371   1000
339448       1    3805697    3816857     66       6  351827       1.0134      0.15545        0.147   1000
55966        1    4715105    4843851      1       1  351827     -0.46322       0.6784        0.679   1000
261734       1    5922870    6052618     22       1  351827      0.49138      0.31158        0.301   1000
388591       1    6266189    6281359     14       3  351827      0.31359      0.37692        0.366   1000
23463        1    6281253    6296044     40       6  351827      0.65452      0.25639        0.237   1000
11332        1    6324332    6453826     14       1  351827     -0.11873      0.54726        0.557   1000
3104         1    6640051    6649340      1       1  351827       1.8965     0.028945        0.025   1000
23261        1    6845384    7829766      1       1  351827     -0.31693      0.62435        0.609   1000
9341         1    7831329    7841492     47       4  351827      0.11077       0.4559        0.453   1000
11315        1    8021714    8045342    167       6  351827     0.020387      0.49187        0.466   1000
473          1    8412464    8877699    311       9  351827      0.85365      0.19665        0.199   1000
9563         1    9294822    9331396     34       4  351827      0.36418      0.35786        0.359   1000
5293         1    9711789    9789172     12       1  351827       2.3946    0.0083182        0.007   5000
22883        1    9789079    9884550     73       3  351827      0.77745      0.21845          0.2   1000
