PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000084636.17.wgt.RDat	ENSG00000084636.17	1	31704318	31704319	0.096	rs2050256	12.51	rs12401511	0.0102	-3.93	8.21	347	23	enet	0.017	0.0034	-4.62	3.91e-6
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4614	rs573744	9.24	rs4653329	0.348	12.44	7.36	461	17	enet	0.38	1e-46	5.25	1.48e-7
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000259943.1.wgt.RDat	ENSG00000259943.1	1	40257966	40257967	0.0612	rs12730176	-6.61	rs12744808	0.0125	-4.42	-4.14	404	38	enet	0.046	3.4e-6	4.77	1.83e-6
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000117013.14.wgt.RDat	ENSG00000117013.14	1	40784011	40784012	0.112	rs11209075	-4.75	rs11209075	1.86e-6	3.87	-4.75	413	4	enet	0.0092	0.026	-4.55	5.36e-6
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000178028.13.wgt.RDat	ENSG00000178028.13	1	44213454	44213455	0.0937	rs2286243	-6.4	rs1636887	-0.00227	-3.2	0.265	427	20	enet	0.0017	0.19	-4.83	1.36e-6
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000151414.14.wgt.RDat	ENSG00000151414.14	1	198156962	198156963	0.0522	rs4412625	-10.63	rs10801664	0.00617	-4.03	-10.5	401	13	enet	0.018	0.003	6.4	1.56e-10
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000143801.16.wgt.RDat	ENSG00000143801.16	1	226870183	226870184	0.0981	rs7534366	7.93	rs6759	0.0807	-6.09	7.44	493	7	enet	0.044	6.6e-6	-7.47	8.12e-14
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.301	rs1196366	6.6	rs2291426	0.293	-11.76	6.29	462	13	enet	0.3	5.5999999999999995e-36	-4.84	1.33e-6
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000138092.10.wgt.RDat	ENSG00000138092.10	2	24793382	24793383	0.1138	rs713587	10.96	rs2384058	0.092783	6.92	7.313016	312	10	enet	0.082	6.5e-10	7.1016	1.23e-12
GTExv8.EUR.Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.083	rs713587	10.96	rs1541984	0.026297	4.7	8.110509	320	15	enet	0.033	8e-5	5.95334	2.63e-9
