PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2147	rs1891910	-4.64	rs3094315	0.0763	6.1	-0.146	135	31	enet	0.13	1.5e-15	-0.756	0.449
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.1963	rs1891910	-4.64	rs3094315	0.126	7.62	-0.146	154	19	enet	0.13	3.4e-15	0.221	0.825
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1551	rs1891910	-4.64	rs3748595	0.0792	6.34	-3.45	178	23	enet	0.054	5.2e-07	-4.11	3.95e-05
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.138	rs1891910	-4.64	rs13303010	0.0774	-6.19	-1.06	178	14	enet	0.058	2.4e-07	0.967	0.333
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.437	rs1891910	-4.64	rs3128117	0.363	-12.68	-0.84	181	18	enet	0.36	1e-44	0.575	0.565
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1097	rs1891910	-4.64	rs2710888	0.0768	-5.89	-1.49	184	8	enet	0.074	4.5e-09	1.18	0.24
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.104	rs11586188	4.81	rs7526076	0.0793	6.15	-1.49	200	11	enet	0.056	3.2e-07	-1.34	0.181
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2836	rs1891910	-4.64	rs3766192	0.125	-7.56	0.275	213	31	enet	0.16	8.8e-19	-1.2	0.23
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000223823.1.wgt.RDat	ENSG00000223823.1	1	1137016	1137017	0.0577	rs1891910	-4.64	rs6671356	0.0351	4.31	0.395	217	4	enet	0.0098	0.022	0.355	0.722
Lung	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Lung/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.0539	rs1891910	-4.64	rs12036216	-0.000761	-3.63	-0.281	219	10	enet	0.0079	0.036	-0.602	0.547
