PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000236137.1.wgt.RDat	ENSG00000236137.1	1	117059489	117059490	0.297	rs10801925	-7.76	rs1555793	0.156295	4.34	-5.301944	419	9	enet	0.08	0.0014	-5.14605	2.66e-7
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.181	rs7536102	12.55	rs1951626	0.042967	3.81	5.76931	276	52	enet	0.043	0.016	6.16716	6.95e-10
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000163050.16.wgt.RDat	ENSG00000163050.16	1	226897535	226897536	0.54	rs7534366	7.93	rs3768371	0.023849	4.1	-4.163365	491	23	enet	0.0014	0.28	-4.62402	3.76e-6
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.535	rs1196366	6.6	rs1196365	0.323243	-6.2	6.256635	461	54	enet	0.26	3.4e-9	-4.92256	8.54e-7
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.278	rs713587	10.96	rs6760328	0.097043	-4.68	8.00396	319	35	enet	0.17	4.7e-6	-6.77895	1.21e-11
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.424	rs2952769	-7.69	rs2952769	0.192554	-5.21	-7.68965	398	61	enet	0.15	1.5e-5	6.35696	2.06e-10
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000135912.10.wgt.RDat	ENSG00000135912.10	2	218710844	218710845	0.22	rs4674332	-8.43	rs10165754	0.059095	4.23	-4.59692	369	35	enet	0.011	0.14	-4.69977	2.6e-6
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000232901.1.wgt.RDat	ENSG00000232901.1	3	10000939	10000940	0.173	rs7626117	-8.58	rs4488814	0.054307	-4.04	-5.338439	528	14	enet	0.042	0.016	5.23948	1.61e-7
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.398	rs7626117	-8.58	rs41464050	0.096944	-4.86	-5.667271	562	23	enet	0.039	0.02	5.63808	1.72e-8
GTExv8.EUR.Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000224728.1.wgt.RDat	ENSG00000224728.1	3	15878046	15878047	0.124	rs2470550	-8.51	rs924753	0.094185	4.02	-7.780182	468	19	enet	0.093	5.9e-4	-5.57956	2.41e-8
