PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2901	rs1891910	-4.64	rs1891906	0.205	-5.43	-0.657189	183	7	enet	0.19	5.2e-08	0.713041	0.476
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.2968	rs11586188	4.8	rs9442372	0.2	5.31	0.804079	202	21	enet	0.17	5.3e-07	-0.30652	0.759
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000237330.2.wgt.RDat	ENSG00000237330.2	1	1074306	1074307	0.1315	rs1891910	-4.64	rs6697886	-0.00513	-3.51	0.046223	208	6	enet	-0.0068	0.76	-0.385461	0.7
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.4777	rs1891910	-4.64	rs6687776	0.288	-6.48	0.08773	215	19	enet	0.26	2.2e-10	-0.773014	0.44
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.2641	rs1891910	-4.64	rs4314833	0.177	5.51	0.482721	227	16	enet	0.1	9.4e-05	0.415168	0.678
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2304	rs1891910	-4.64	rs7515488	0.0437	-4.54	0.072682	228	38	enet	0.07	0.0011	1.407969	0.159
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1871	rs1891910	-4.64	rs34054191	0.0124	3.94	1.294305	252	20	enet	0.02	0.058	0.299528	0.765
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.416	rs1891910	-4.64	rs12089560	0.345	-7.25	0.791504	282	27	enet	0.33	3.1e-13	-0.049248	0.961
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.3243	rs1891910	-4.64	rs1312568	0.159	-5.63	-1.975529	287	21	enet	0.22	7.4e-09	0.883915	0.377
Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5524	rs1891910	-4.64	rs13306651	0.0608	-5.41	0.595541	284	25	enet	0.062	0.0021	-1.538748	0.124
