PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000158748.3.wgt.RDat	ENSG00000158748.3	1	19665286	19665287	0.1841	rs6693503	6.81	rs10917509	0.052987	4.06	6.77	533	16	enet	0.043	0.0052	4.98	6.3e-7
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4165	rs573744	9.24	rs4653329	0.191945	5.88	7.36	454	8	enet	0.16	1.1e-7	6.48	9.06e-11
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000066135.12.wgt.RDat	ENSG00000066135.12	1	43650157	43650158	0.1234	rs11590627	-10.18	rs11590088	0.001775	-3.65	-3.76	451	29	enet	0.016	0.06	4.87	1.13e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.217	rs4845681	13.15	rs10908445	0.08576	-4.97	9.15	415	10	enet	0.052	0.0023	-8.38	5.3e-17
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.2506	rs4845681	13.15	rs11264300	0.228873	-6.32	8.88	377	19	enet	0.23	1.4e-10	-9.41	5.08e-21
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.1131	rs7536102	12.55	rs6676161	0.077396	3.74	12	275	32	enet	0.06	0.0011	11.9	1.2299999999999999e-32
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6207	rs1196366	6.6	rs11590498	0.516596	-9.07	6.06	460	40	enet	0.53	1.7000000000000002e-27	-4.78	1.76e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000224521.1.wgt.RDat	ENSG00000224521.1	1	248548755	248548756	0.673	rs6604742	5.82	rs28583369	0.201088	6.01	4.05	248	19	enet	0.29	2.6e-13	4.67	3e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.155	rs713587	10.96	rs6737082	0.0789	-4.19	5.205422	319	27	enet	0.02	0.041	-6.68316	2.34e-11
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000144057.15.wgt.RDat	ENSG00000144057.15	2	106887107	106887108	0.163	rs2030676	-9.26	rs6742683	0.0495	4.07	6.72949	414	11	enet	0.029	0.019	5.19198	2.08e-7
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.142	rs2952769	-7.69	rs2551971	0.0896	-4.45	-7.501302	404	21	enet	0.046	0.0039	7.2452	4.32e-13
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.14	rs13023540	15.13	rs6720403	0.0786	-4.31	-7.363722	365	35	enet	0.075	3e-4	7.48872	6.95e-14
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000109163.6.wgt.RDat	ENSG00000109163.6	4	67754359	67754360	0.2644	rs1038432	6.04	rs4860853	0.079941	-4.74	5.4303	388	19	enet	0.08	1.9e-4	-4.73783	2.16e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000138769.10.wgt.RDat	ENSG00000138769.10	4	75630715	75630716	0.2288	rs6838240	7.79	rs6852678	0.1295	4.72	6.26205	439	26	enet	0.041	0.0061	4.55089	5.34e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000164100.8.wgt.RDat	ENSG00000164100.8	4	118034344	118034345	0.2804	rs4240320	-8.34	rs17636128	5.68e-4	-3.12	-3.51864	368	76	enet	0.0033	0.22	6.2482	4.15e-10
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000269893.6.wgt.RDat	ENSG00000269893.6	4	118278708	118278709	0.3337	rs4240320	-8.34	rs2892800	0.170545	-5.53	-6.45365	279	10	enet	0.14	1.1e-6	4.67667	2.92e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000164366.3.wgt.RDat	ENSG00000164366.3	5	218214	218215	0.3902	rs2115275	6.92	rs9763161	0.0801	5.2	6.83445	289	15	enet	0.15	4.1e-7	4.6741	2.95e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000273841.4.wgt.RDat	ENSG00000273841.4	5	69369641	69369642	0.2468	rs2010352	-10.102	rs299075	0.0656	-4.48	-8.41407	227	30	enet	0.1	3.3e-5	6.805	1.01e-11
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000271904.1.wgt.RDat	ENSG00000271904.1	5	88498696	88498697	0.2842	rs10044618	-9.738	rs6452788	0.168	6.07	0.02119	256	8	enet	0.21	6.7e-10	-4.51	6.48e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000164307.12.wgt.RDat	ENSG00000164307.12	5	96808099	96808100	0.6518	rs27038	7.013	rs27433	0.218	7.52	6.49925	497	19	enet	0.45	5e-22	4.7183	2.38e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000204909.7.wgt.RDat	ENSG00000204909.7	5	148321202	148321203	0.2869	rs13187585	-6.372	rs7734458	0.249	6.59	4.10436	441	22	enet	0.22	3.7e-10	4.6529	3.27e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000196670.13.wgt.RDat	ENSG00000196670.13	5	180861284	180861285	0.2732	rs2619758	-11.004	rs17141236	0.0856	4.64	-3.28635	346	18	enet	0.048	0.0033	-7.0035	2.5e-12
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000122687.17.wgt.RDat	ENSG00000122687.17	7	2242197	2242198	0.287	rs11773627	12.98	rs3757440	0.172129	5.52	5.75	412	44	enet	0.088	1e-4	4.835649	1.33e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000104332.11.wgt.RDat	ENSG00000104332.11	8	41309496	41309497	0.1556	rs2353240	-6.05	rs919033	0.015205	-3.76	2.43674	466	14	enet	0.046	0.0042	-4.9755	6.51e-7
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000167081.16.wgt.RDat	ENSG00000167081.16	9	125747344	125747345	0.1935	rs907500	10.23	rs484821	0.01852	-3.75	6.62435	376	16	enet	0.066	6.7e-4	-5.95262	2.64e-9
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000170959.14.wgt.RDat	ENSG00000170959.14	11	31369809	31369810	0.1626	rs566302	-8.6	rs2616821	0.02198	4.24	-5.867226	251	18	enet	0.048	0.0034	-4.77097	1.83e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000213593.9.wgt.RDat	ENSG00000213593.9	11	57712599	57712600	0.1695	rs7117205	16.44	rs12804093	0.01843	3.5	8.52132	386	26	enet	0.005	0.18	5.41273	6.21e-8
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000257464.1.wgt.RDat	ENSG00000257464.1	12	49442651	49442652	0.2522	rs11169058	8.05	rs7975712	0.21832	-6.02	7.467102	302	14	enet	0.18	1.8e-8	-6.45342	1.09e-10
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000139428.11.wgt.RDat	ENSG00000139428.11	12	109573873	109573874	0.1598	rs7313797	13.27	rs7956194	0.096094	-4.46	10.235956	439	10	enet	0.064	8.1e-4	-6.67123	2.54e-11
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000275759.1.wgt.RDat	ENSG00000275759.1	12	118428280	118428281	0.2663	rs17512609	11.58	rs17512609	0.076394	-5.36	11.581894	446	21	enet	0.11	9e-6	-8.92978	4.27e-19
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000275409.1.wgt.RDat	ENSG00000275409.1	12	118430146	118430147	0.3141	rs17512609	11.58	rs2062519	0.137982	-5.53	6.706673	447	81	enet	0.095	5.2e-5	-7.95359	1.81e-15
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000126790.11.wgt.RDat	ENSG00000126790.11	14	59484429	59484430	0.445	rs17834238	7.88	rs1253105	0.321883	-7.35	6.69601	453	16	enet	0.39	1.1e-18	-5.69386	1.24e-8
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000128944.13.wgt.RDat	ENSG00000128944.13	15	40382720	40382721	0.8296	rs17672041	4.75	rs7166991	0.557	9.52	4.723261	393	14	enet	0.56	6.5e-30	4.5376	5.69e-6
GTExv8.EUR.Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000188779.10.wgt.RDat	ENSG00000188779.10	15	67819703	67819704	0.2446	rs2286664	14.79	rs12905371	0.0356	-4.35	13.223587	338	23	enet	0.065	7.7e-4	-8.4145	3.95e-17
