GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
339451       1     895967     901099     10       2  351827     -0.57742      0.71817        0.705   1000
54991        1    1017198    1051736     15       2  351827     -0.51223      0.69575        0.711   1000
126792       1    1167629    1170421     60       1  351827       -1.173       0.8796        0.884   1000
54973        1    1246965    1260067    111       5  351827     -0.18161      0.57206         0.58   1000
55052        1    1337276    1342693     15       1  351827      0.47057      0.31897         0.34   1000
441869       1    1353800    1356824    212      14  351827      0.44607      0.32777        0.317   1000
83858        1    1407139    1444852     97       8  351827       1.4171     0.078233        0.077   1000
643988       1    1533388    1535476     13       2  351827      0.88069      0.18924        0.198   1000
728661       1    1591486    1624243     29       4  351827       1.1349      0.12821        0.125   1000
9906         1    1656277    1677438      1       1  351827      0.67073      0.25119        0.245   1000
5590         1    1981909    2116834      1       1  351827      0.58435      0.27949         0.26   1000
100506504    1    2113250    2115812      7       1  351827     -0.52192      0.69914        0.681   1000
199990       1    2115899    2144159      4       1  351827      -1.2886      0.90124          0.9   1000
27237        1    3371147    3397677     12       1  351827     -0.64839      0.74163        0.742   1000
49856        1    3547331    3566671     13       2  351827     -0.52061      0.69868        0.693   1000
9731         1    3728645    3773797    172       6  351827      0.47688      0.31673        0.326   1000
1677         1    3773845    3801993     10       2  351827       1.3598     0.086941        0.083   1000
339448       1    3805697    3816857     18       3  351827      0.48631      0.31337        0.304   1000
55966        1    4715105    4843851      6       2  351827     -0.98924      0.83873        0.827   1000
261734       1    5922870    6052618    165       3  351827       1.2431      0.10692        0.116   1000
11332        1    6324332    6453826     12       1  351827     -0.10197      0.54061        0.562   1000
11315        1    8021714    8045342     44       1  351827      0.46271      0.32178        0.329   1000
26232        1   11707924   11714888     13       2  351827      0.12215      0.45139        0.457   1000
26270        1   11724150   11734411      7       1  351827     -0.70717      0.76027        0.734   1000
57085        1   11796142   11810828    101       1  351827      0.93822      0.17406        0.177   1000
4524         1   11845787   11866160     89       1  351827      0.97767      0.16412        0.164   1000
55092        1   15479028   15546974      7       2  351827       1.7534     0.039768         0.04   1000
79180        1   15736391   15756839      3       1  351827     -0.33336      0.63057        0.619   1000
842          1   15817896   15851407    196       5  351827    -0.047436      0.51892        0.519   1000
284723       1   16062721   16067884     66       4  351827      0.28257      0.38875        0.389   1000
1187         1   16348486   16360548     37       2  351827       1.1847      0.11806        0.114   1000
1188         1   16370231   16383821     22       3  351827       1.5742     0.057719        0.044   1000
128272       1   16524599   16539104     56       3  351827      0.29347      0.38458        0.353   1000
9696         1   17248445   17299474    232       7  351827     -0.42502      0.66459        0.662   1000
4237         1   17300997   17308081      1       1  351827      -1.5879      0.94384        0.945   1000
23065        1   19542158   19578053     66       4  351827      0.09771      0.46108        0.462   1000
54896        1   19638740   19658925     58       2  351827      0.46707      0.32023        0.319   1000
54546        1   20140522   20141771      7       1  351827      0.34019      0.36686        0.373   1000
23252        1   20208356   20239438     13       2  351827      -1.9539      0.97464        0.974   1000
5320         1   20301924   20306932      3       1  351827      0.16728      0.43357        0.419   1000
5322         1   20386157   20418394      4       1  351827      0.60933      0.27115        0.283   1000
79594        1   20825941   20834674     10       1  351827     -0.85035      0.80243         0.82   1000
65018        1   20959948   20978004      2       1  351827     -0.37594      0.64652        0.654   1000
84224        1   21766583   21811393    105       5  351827      -0.9305      0.82394        0.838   1000
7798         1   23410516   23504301     31       2  351827      0.33725      0.36796        0.373   1000
80818        1   23685941   23696357    201      14  351827      0.52831      0.29864        0.296   1000
3155         1   24128367   24165110     87       2  351827       1.6743     0.047034         0.06   1000
58985        1   24446261   24469783     21       2  351827      0.34606      0.36465        0.363   1000
163702       1   24480647   24513765     24       2  351827      0.74921      0.22686         0.23   1000
90529        1   24683489   24741587    108       6  351827       1.2045       0.1142        0.103   1000
6007         1   25598884   25656936    164       2  351827     -0.56159       0.7128         0.71   1000
23585        1   25664789   25688852      8       2  351827      -1.1748      0.87995        0.886   1000
6006         1   25687853   25747363    155       2  351827     -0.56837      0.71511        0.728   1000
26119        1   25870071   25895377     25       1  351827     -0.58161      0.71958        0.717   1000
79927        1   26485511   26489119     36       4  351827       -1.965      0.97529        0.969   1000
10256        1   26503981   26516375    152       9  351827      -2.0283      0.97874        0.973   1000
91544        1   26608773   26644756     80       4  351827     -0.32904      0.62894         0.63   1000
84065        1   27648636   27662891     12       2  351827     -0.85167       0.8028          0.8   1000
6118         1   28218035   28241255     14       3  351827     -0.87176      0.80833        0.821   1000
2140         1   28296855   28415173     61       2  351827       1.1797      0.11906        0.104   1000
93974        1   28562602   28564616    134       5  351827       1.1663      0.12176        0.112   1000
65979        1   28696093   28826881    288       4  351827      0.46459      0.32111        0.288   1000
127550       1   33772367   33786699    102       2  351827      0.32867       0.3712        0.364   1000
79830        1   35525387   35581460     13       1  351827       2.2235      0.01309        0.017   1000
84967        1   36859031   36863493      1       1  351827      -1.8971       0.9711        0.976   1000
127700       1   36883507   36916086     54       1  351827      0.27171      0.39292        0.404   1000
7802         1   38022520   38032458     11       1  351827      -0.0558      0.52225        0.508   1000
3633         1   38326369   38412729    104      10  351827       2.3088     0.010478         0.01   1000
10946        1   38422647   38456019    111       4  351827       2.7514    0.0029669        0.002   5000
2275         1   38462439   38471199     21       1  351827       1.4332       0.0759         0.08   1000
4725         1   39491967   39500308    106       4  351827      -1.0285      0.84814         0.87   1000
51440        1   40144320   40157382     17       3  351827       2.0285     0.021253        0.021   1000
10450        1   40204517   40229586     65       6  351827       1.1077      0.13399        0.147   1000
656          1   40223903   40254533      2       1  351827      0.17783      0.42943        0.451   1000
64064        1   40235197   40237020     25       2  351827       1.0454      0.14793         0.16   1000
54802        1   40306703   40349177     22       2  351827      -1.1802      0.88103        0.892   1000
