PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.6426	rs12402967	-9.03	rs11121557	0.728	17.16	-6.4937	371	21	enet	0.72	2.7e-114	-6.29299	3.11e-10
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000160055.19.wgt.RDat	ENSG00000160055.19	1	32222356	32222357	0.0631	rs2050256	12.51	rs2273376	-0.00196	3.42	0.699307	208	8	enet	0.0018	0.19	7.15055	8.64e-13
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000142949.16.wgt.RDat	ENSG00000142949.16	1	43525186	43525187	0.0585	rs11590627	-10.18	rs12023161	0.0374	4.26	-7.76908	443	8	enet	4.4e-4	0.28	-6.669	2.58e-11
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000117411.16.wgt.RDat	ENSG00000117411.16	1	43978942	43978943	0.1919	rs11590627	-10.18	rs869896	0.102	6.7	-6.029277	411	19	enet	0.052	2.4e-6	-5.78462	7.27e-9
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000188641.12.wgt.RDat	ENSG00000188641.12	1	97921048	97921049	0.0919	rs12073650	7.15	rs9662365	-0.00224	-3.2	-0.388388	401	48	enet	0.0087	0.034	4.88571	1.03e-6
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.1026	rs4845681	13.15	rs6699043	0.0149	-4.24	7.439295	397	17	enet	0.012	0.015	-7.74989	9.2e-15
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.0482	rs4026514	10.31	rs4915564	0.0454	4.96	8.728937	335	4	enet	0.037	5.8e-5	8.26772	1.37e-16
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000143801.16.wgt.RDat	ENSG00000143801.16	1	226870183	226870184	0.558	rs7534366	7.93	rs6674701	0.485	-14.02	7.123723	493	16	enet	0.49	2.0000000000000002e-60	-5.9659	2.43e-9
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2248	rs1196366	6.6	rs2291426	0.249	-10.23	6.291535	460	16	enet	0.24	6e-26	-6.05297	1.42e-9
GTExv8.EUR.Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000115137.11.wgt.RDat	ENSG00000115137.11	2	24972093	24972094	0.1011	rs713587	10.96	rs6722260	0.0226	-4.94	5.89	323	49	enet	0.05	3.3e-6	-4.63714	3.53e-6
