GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     39       3  351827       1.6127     0.053406         0.06   1000
339451       1     895967     901099     32       2  351827       1.6597     0.048484        0.055   1000
84069        1     901872     910488     33       2  351827       1.6716     0.047303        0.053   1000
57801        1     934342     936608     13       2  351827       2.0624     0.019585        0.018   1000
9636         1     948847     949920     85       8  351827      0.91932      0.17896        0.164   1000
375790       1     955503     991499    108      10  351827     0.050299      0.47994        0.431   1000
54991        1    1017198    1051736    102       8  351827      0.50385      0.30719        0.282   1000
254173       1    1109286    1133315      8       2  351827       1.1151       0.1324        0.126   1000
8784         1    1138888    1142163    219      14  351827       0.1436      0.44291        0.466   1000
7293         1    1146706    1149703     41       3  351827      -1.7529      0.96019        0.961   1000
51150        1    1152288    1167447     28       3  351827      0.27369      0.39216        0.371   1000
126792       1    1167629    1170421    229      12  351827     -0.51771      0.69767        0.701   1000
6339         1    1215816    1227409     56       4  351827      0.40445      0.34294        0.335   1000
116983       1    1227764    1243304     40       2  351827     -0.23758       0.5939        0.571   1000
126789       1    1243962    1247057     70       4  351827      0.30819      0.37897        0.387   1000
54973        1    1246965    1260067    208      12  351827      0.34049      0.36674        0.361   1000
1855         1    1270658    1284509     44       2  351827     -0.27102      0.60681        0.626   1000
54998        1    1309110    1310818     32       3  351827     -0.58777      0.72166        0.692   1000
55052        1    1337276    1342693    229      13  351827      -0.4922      0.68871        0.676   1000
441869       1    1353800    1356824    598      30  351827      0.18823      0.42535        0.428   1000
219293       1    1378152    1405538    130      10  351827      0.48185      0.31496        0.335   1000
83858        1    1407139    1444852    125      10  351827       1.3849     0.083035        0.083   1000
55210        1    1447523    1470067     30       2  351827    -0.038293      0.51527        0.532   1000
29101        1    1477053    1510262     90       8  351827      0.18102      0.42817        0.447   1000
142678       1    1550795    1565990     18       2  351827      0.23448       0.4073        0.398   1000
984          1    1571100    1590473     67       6  351827    0.0054708      0.49782        0.495   1000
728661       1    1591486    1624243     83      13  351827      0.48664      0.31326        0.315   1000
728642       1    1633822    1655999     26       4  351827      0.29614      0.38356        0.386   1000
9906         1    1656277    1677438     94       6  351827      0.48441      0.31405        0.289   1000
65220        1    1682671    1711508     26       2  351827     -0.70968      0.76105        0.741   1000
163688       1    1846266    1848733     91       7  351827     -0.55003      0.70885        0.713   1000
339456       1    1849029    1850740     28       1  351827     0.088514      0.46473        0.456   1000
100506504    1    2113250    2115812    208      12  351827     -0.70623      0.75998        0.767   1000
199990       1    2115899    2144159     22       6  351827     -0.46685       0.6797        0.688   1000
79906        1    2251719    2323190     84      10  351827     -0.31911      0.62518         0.64   1000
5192         1    2336241    2344010     26       6  351827    -0.068573      0.52734         0.51   1000
9651         1    2407754    2436964      6       1  351827      0.73453      0.23131        0.217   1000
55229        1    2439975    2458061      1       1  351827     -0.34493      0.63492        0.647   1000
8764         1    2487291    2495268    120       4  351827    -0.023462      0.50936        0.501   1000
127281       1    2517899    2522908    101       2  351827     0.081861      0.46738        0.467   1000
79258        1    2522078    2564499    111       3  351827     0.093473      0.46276        0.458   1000
100287898    1    2572807    2706230    175       7  351827    -0.095961      0.53822        0.543   1000
27237        1    3371147    3397677     76       4  351827      -2.6469      0.99594        0.998   1000
1953         1    3404506    3528059      1       1  351827      -1.5249      0.93636        0.941   1000
127262       1    3541556    3546695      2       1  351827     -0.60231      0.72652        0.732   1000
49856        1    3547331    3566671    132      18  351827      -1.2952      0.90238          0.9   1000
388588       1    3689352    3692546     11       3  351827       1.3483     0.088777        0.093   1000
57470        1    3696784    3713068    152       6  351827      0.78831      0.21526        0.209   1000
