PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2335	rs1891910	-4.64	rs3094315	0.12631	4.3	-0.146306	153	9	enet	0.0067	0.18	-0.5363	0.592
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2447	rs1891910	-4.64	rs3128117	0.24812	-5.64	-0.839866	181	8	enet	0.21	6.6e-08	0.46698	0.641
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2551	rs1891910	-4.64	rs4970432	0.04618	4.32	0.148021	250	15	enet	0.027	0.041	0.65984	0.509
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2586	rs1891910	-4.64	rs12089560	0.09339	-3.97	0.791504	280	6	enet	0.028	0.037	-0.75793	0.448
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5556	rs1891910	-4.64	rs2031709	0.2505	-5.67	2.149189	282	31	enet	0.22	5.2e-08	-1.84669	0.0648
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.43	rs3128317	-4.81	rs909823	0.06758	-4.66	0.814472	292	26	enet	0.25	4.9e-09	-0.06807	0.946
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.1701	rs3128317	-4.81	rs16824526	0.08843	-4.18	-0.282145	317	9	enet	0.051	0.0075	0.68839	0.491
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.4355	rs2651927	-4.27	rs12408890	0.24083	-5.49	0.081158	539	39	enet	0.13	4.4e-05	-0.44896	0.653
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.4161	rs10915459	4.37	rs1181874	0.12826	4.63	-0.91444	572	39	enet	0.11	1e-04	-0.65557	0.512
Vagina	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Vagina/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.5834	rs10915459	4.37	rs7367066	0.44941	-7.45	-0.626579	584	30	enet	0.37	1.1e-13	0.61421	0.539
