PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2968	rs1891910	-4.64	rs3094315	0.0831	5.36	-0.146306	137	25	enet	0.12	1.3e-10	-0.01446	0.988
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1657	rs1891910	-4.64	rs13303010	0.0887	-5.73	-1.059608	180	2	enet	0.046	5.6e-05	1.05941	0.289
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3022	rs1891910	-4.64	rs3128117	0.202	-8.23	-0.839866	183	13	enet	0.22	1.2e-19	0.80088	0.423
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.0839	rs1891910	-4.64	rs3121567	0.0491	-4.45	-0.899627	183	10	enet	0.017	0.0099	0.28975	0.772
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1379	rs1891910	-4.64	rs9442372	0.0571	-5.91	0.804079	215	24	enet	0.12	5.8e-11	0.13574	0.892
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.126	rs1891910	-4.64	rs9777939	-0.00211	-3.1	-0.711166	221	38	enet	-0.0029	0.81	-1.75604	0.0791
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000205231.1.wgt.RDat	ENSG00000205231.1	1	1179554	1179555	0.0655	rs1891910	-4.64	rs9442387	-0.00135	3.76	-0.333971	221	4	enet	0.0061	0.083	-2.02185	0.0432
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1188	rs1891910	-4.64	rs7515488	0.0612	-5	0.072682	227	15	enet	0.049	3e-05	-0.46607	0.641
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1459	rs1891910	-4.64	rs12036216	0.0908	-6.45	-0.281037	228	11	enet	0.098	4e-09	0.03026	0.976
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.1104	rs1891910	-4.64	rs7524470	0.0181	4.47	-0.331856	244	5	enet	0.01	0.035	-0.38795	0.698
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.0791	rs1891910	-4.64	rs1810745	0.0493	4.31	-0.132053	252	8	enet	0.035	0.00041	-0.01809	0.986
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000169962.4.wgt.RDat	ENSG00000169962.4	1	1331313	1331314	0.0732	rs1891910	-4.64	rs12072310	0.00536	3.49	0.565777	254	18	enet	0.017	0.011	-0.11547	0.908
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.3385	rs1891910	-4.64	rs35242196	0.163	7.44	-0.583314	275	11	enet	0.14	3.3e-12	-0.49074	0.624
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.121	rs1891910	-4.64	rs12089560	0.149	-7.19	0.791504	282	6	enet	0.13	1.2e-11	-0.6849	0.493
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.0809	rs1891910	-4.64	rs12089560	0.0567	-5.03	0.791504	284	11	enet	0.029	0.0012	-0.49957	0.617
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.1645	rs1891910	-4.64	rs1695824	0.151	-7.2	-1.891308	287	8	enet	0.13	7.6e-12	1.70732	0.0878
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5374	rs1891910	-4.64	rs2031709	0.115	-7.78	2.149189	284	21	enet	0.029	0.0012	-3.27668	0.00105
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000228594.3.wgt.RDat	ENSG00000228594.3	1	1600095	1600096	0.0774	rs3128317	-4.81	rs7519837	0.00495	-3.66	0.217693	281	9	enet	0.011	0.03	0.24093	0.81
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.7331	rs3128317	-4.81	rs6604981	0.462	12.37	1.827854	305	18	enet	0.42	1.1e-40	1.75596	0.0791
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7325	rs3128317	-4.81	rs4648786	0.149	-7.06	0.123343	305	21	enet	0.38	6.8e-36	-0.97481	0.33
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.1214	rs3128317	-4.81	rs3737622	0.0766	-5.5	-0.094162	301	19	enet	0.068	1e-06	0.00506	0.996
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.8241	rs3128317	-4.81	rs6699975	0.173	-7.64	-1.099054	293	26	enet	0.31	2.9e-28	0.64107	0.521
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.4277	rs3128317	-4.81	rs6699975	0.11	6.2	-1.099054	289	20	enet	0.16	1.8e-14	-1.52166	0.128
Breast_Mammary_Tissue	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Breast_Mammary_Tissue/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.1405	rs3128317	-4.81	rs1014988	0.0679	-5.4	0.574511	287	5	enet	0.05	2.4e-05	-0.42355	0.672
