PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000181817.5.wgt.RDat	ENSG00000181817.5	1	36397891	36397892	0.3155	rs537958	15.31	rs7170	0.08034	5.29	-6.817812	357	8	enet	0.11	5.3e-6	-5.80766	6.34e-9
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000163344.5.wgt.RDat	ENSG00000163344.5	1	154936990	154936991	0.1932	rs4845681	13.15	rs4845396	5.28e-4	3.99	7.564434	398	1	enet	0.0021	0.24	7.56443	3.9e-14
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.2904	rs4845681	13.15	rs6680600	0.128838	-5.26	8.421605	377	24	enet	0.14	2e-7	-6.9121	4.78e-12
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.5261	rs1196366	6.6	rs2291426	0.567425	-9.88	6.291535	463	17	enet	0.54	8.6e-31	-6.02711	1.67e-9
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.6346	rs1196366	6.6	rs2291426	0.502784	9.47	6.291535	472	32	enet	0.53	1.5999999999999999e-29	4.82473	1.4e-6
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000271952.1.wgt.RDat	ENSG00000271952.1	2	10878268	10878269	0.3206	rs1686476	-6.5	rs1686476	0.145564	-5.09	-6.502462	559	20	enet	0.15	8.4e-8	5.282606	1.27e-7
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.1176	rs713587	10.96	rs6752378	0.094641	-4.99	10.874859	319	11	enet	0.044	0.0033	-7.73079	1.07e-14
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.2028	rs713587	10.96	rs1172294	0.138399	-5.44	10.276547	322	8	enet	0.12	2.8e-6	-9.504701	2.01e-21
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000144057.15.wgt.RDat	ENSG00000144057.15	2	106887107	106887108	0.1466	rs2030676	-9.26	rs11681787	-0.003598	-3.47	-8.296282	416	11	enet	-0.0056	0.83	6.123403	9.16e-10
GTExv8.EUR.Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000115568.15.wgt.RDat	ENSG00000115568.15	2	218659654	218659655	0.0562	rs13023540	15.02	rs921968	0.042423	3.96	-1.272592	370	16	enet	0.031	0.012	-4.769992	1.84e-6
