PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2967	rs1891910	-4.64	rs3094315	0.0468	4.81	-0.146306	136	35	enet	0.12	9.5e-14	0.427	0.669
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.1161	rs1891910	-4.64	rs3094315	0.0674	5.76	-0.146306	152	18	enet	0.028	0.00039	-0.75	0.453
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3464	rs1891910	-4.64	rs3094315	0.0998	6.63	-0.146306	155	25	enet	0.16	1.3e-17	0.597	0.551
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2276	rs1891910	-4.64	rs3748592	0.0202	5.21	-3.112658	179	15	enet	0.14	2.1e-15	-1.26	0.209
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.2684	rs1891910	-4.64	rs13303010	0.178	-8.73	-1.059608	179	17	enet	0.19	1.4e-20	0.704	0.481
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.0884	rs1891910	-4.64	rs6694632	0.0615	-5.21	-0.412418	179	6	enet	0.049	3.1e-06	0.343	0.731
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4183	rs1891910	-4.64	rs3128117	0.288	-10.98	-0.839866	182	18	enet	0.26	1.7e-28	0.543	0.587
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2894	rs1891910	-4.64	rs11807848	0.0976	-7.5	-0.45554	214	29	enet	0.16	5.6e-18	-0.618	0.537
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000223823.1.wgt.RDat	ENSG00000223823.1	1	1137016	1137017	0.1245	rs1891910	-4.64	rs4970364	0.00865	-4.86	-0.661815	218	18	enet	0.056	8e-07	0.985	0.325
Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.1136	rs1891910	-4.64	rs4970362	0.0492	-4.78	0.418446	220	33	enet	0.03	0.00025	0.0882	0.93
