PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.1572	rs1891910	-4.64	rs3094315	0.074	5.64	-0.146306	136	25	enet	0.098	7.6e-11	1.29014	0.197
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2894	rs1891910	-4.64	rs3094315	0.0976	6.5	-0.146306	155	25	enet	0.081	3.2e-09	-0.31715	0.751
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000230699.2.wgt.RDat	ENSG00000230699.2	1	911434	911435	0.2602	rs1891910	-4.64	rs4475691	0.0587	-5.98	0.594729	175	58	enet	0.07	3.8e-08	-0.25857	0.796
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.2783	rs1891910	-4.64	rs13303010	0.179	-8.59	-1.059608	179	13	enet	0.2	2.5e-21	2.14427	0.032
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.2488	rs1891910	-4.64	rs13303010	0.128	-7.41	-1.059608	179	10	enet	0.11	9.8e-12	2.47795	0.0132
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1017	rs1891910	-4.64	rs3748595	0.0365	-5.1	-3.446621	180	6	enet	0.037	6.7e-05	2.52195	0.0117
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.0983	rs1891910	-4.64	rs6694632	0.0226	4.11	-0.412418	182	15	enet	0.021	0.0019	-0.89882	0.369
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.29	rs1891910	-4.64	rs2465126	0.21	-9.3	-0.081075	182	9	enet	0.2	2.1e-21	-0.42888	0.668
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1892	rs1891910	-4.64	rs3128097	0.0813	6.03	0.207095	185	22	enet	0.11	1.3e-11	0.89095	0.373
Cells_Cultured_fibroblasts	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_Cultured_fibroblasts/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.0776	rs11586188	4.77	rs3766192	-0.00168	3.51	0.274721	201	3	enet	-0.00033	0.35	-1.81728	0.0692
