GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
401934       1    1007126    1009687      1       1  351827      -0.4758      0.68289        0.678   1000
54991        1    1017198    1051736     83       4  351827     -0.66989      0.74854        0.762   1000
54973        1    1246965    1260067     21       3  351827     0.077791        0.469        0.487   1000
54587        1    1288071    1297183     19       2  351827     0.026259      0.48953        0.484   1000
55052        1    1337276    1342693     61       3  351827      0.42156      0.33667        0.337   1000
441869       1    1353800    1356824    114       4  351827      0.29687      0.38328        0.379   1000
219293       1    1378152    1405538     69       8  351827       1.2239       0.1105        0.114   1000
83858        1    1407139    1444852     62       5  351827        1.617     0.052936        0.051   1000
29101        1    1477053    1510262     33       1  351827      0.13014      0.44823        0.443   1000
728661       1    1591486    1624243     34       4  351827      0.89026      0.18666        0.174   1000
199990       1    2115899    2144159      9       2  351827      0.36248      0.35849        0.356   1000
388585       1    2460184    2461684      9       1  351827     -0.36298      0.64169        0.645   1000
127262       1    3541556    3546695      2       1  351827     -0.55158      0.70938        0.697   1000
57470        1    3696784    3713068      4       1  351827      0.71829      0.23629        0.236   1000
1677         1    3773845    3801993     83       4  351827      0.88491       0.1881        0.182   1000
339448       1    3805697    3816857      8       1  351827    -0.099165       0.5395        0.535   1000
261734       1    5922870    6052618     80       1  351827      0.95936      0.16869        0.173   1000
23463        1    6281253    6296044     36       3  351827    -0.029085       0.5116         0.53   1000
9563         1    9294822    9331396     15       1  351827       1.0398      0.14921         0.16   1000
5394         1   11126675   11159961     13       1  351827     -0.58473      0.72064        0.688   1000
5351         1   11994724   12035599     23       3  351827     -0.35976      0.64049        0.643   1000
9927         1   12040238   12073572     20       2  351827     -0.55513       0.7106        0.733   1000
79180        1   15736391   15756839      6       1  351827     -0.37343      0.64558        0.654   1000
842          1   15817896   15851407     44       1  351827     -0.54269      0.70633         0.69   1000
284723       1   16062721   16067884     89       4  351827      0.51912      0.30184        0.299   1000
1187         1   16348486   16360548    100       3  351827       1.1049       0.1346        0.131   1000
348487       1   16384264   16400127     27       2  351827     -0.59802      0.72509        0.716   1000
128272       1   16524599   16539104     11       1  351827     -0.71871      0.76384        0.779   1000
54455        1   16573339   16678965    170       4  351827       0.9577      0.16911        0.183   1000
55707        1   16767167   16786585     12       1  351827      0.26302      0.39627         0.39   1000
9696         1   17248445   17299474      3       1  351827     -0.94409      0.82744         0.82   1000
8659         1   19197924   19229293     33       1  351827     -0.16794      0.56668        0.558   1000
23065        1   19542158   19578053    120       5  351827    -0.026288      0.51049        0.516   1000
51154        1   19578075   19586622     18       2  351827     -0.30964      0.62158        0.619   1000
8574         1   19629202   19638640     11       2  351827      -0.2955      0.61619         0.61   1000
54896        1   19638740   19658925     73       3  351827      0.33227      0.36984        0.388   1000
23252        1   20208356   20239438     53       5  351827      -1.0795      0.85981        0.864   1000
5322         1   20386157   20418394     31       1  351827     -0.10462      0.54166        0.553   1000
127731       1   20617412   20681662     10       1  351827     -0.10227      0.54073        0.542   1000
79594        1   20825941   20834674     70       5  351827      -2.2408      0.98748        0.993   1000
978          1   20915444   20945401     47       4  351827      0.63744      0.26192        0.255   1000
57576        1   20990475   21044317     22       2  351827       1.5446      0.06122        0.063   1000
84224        1   21766583   21811393    100       5  351827     -0.84886      0.80202        0.809   1000
5909         1   21922708   21996010     81       1  351827      0.48727      0.31303        0.313   1000
84196        1   22004791   22109688      1       1  351827      -0.1693      0.56722        0.572   1000
3339         1   22148737   22263750      2       1  351827       0.3249      0.37263        0.364   1000
713          1   22979682   22988130      6       1  351827      0.88303      0.18861        0.188   1000
6920         1   23707555   23751269     99       7  351827       1.1231      0.13069        0.128   1000
55616        1   23755056   23810750     26       2  351827       1.5227     0.063919        0.073   1000
3155         1   24128367   24165110     58       2  351827       2.2088     0.013593        0.014   1000
90529        1   24683489   24741587     32       1  351827        1.203      0.11449        0.109   1000
6007         1   25598884   25656936    163       2  351827     -0.67144      0.74903        0.738   1000
6006         1   25687853   25747363    155       2  351827     -0.56837      0.71511        0.707   1000
26119        1   25870071   25895377     23       1  351827     -0.45588      0.67576        0.665   1000
84676        1   26377792   26394142    160       3  351827       1.1031      0.13499        0.126   1000
79927        1   26485511   26489119     10       1  351827      -0.7995        0.788        0.783   1000
10256        1   26503981   26516375    369      14  351827      0.27007      0.39355        0.317   1000
64793        1   26560644   26605529     66       3  351827      -1.2741      0.89869        0.893   1000
55650        1   27113739   27124894      7       1  351827      -1.9452      0.97412        0.966   1000
10726        1   27248187   27273362    170       3  351827      0.83784      0.20106        0.202   1000
23038        1   27561007   27635124      1       1  351827       1.0322      0.15099        0.146   1000
84065        1   27648636   27662891      5       1  351827      -1.7725      0.96184        0.961   1000
388611       1   27705596   27709823    134       2  351827      -1.7135      0.95669        0.946   1000
2827         1   27719148   27722318      8       2  351827      -1.9723      0.97571        0.974   1000
27245        1   27860756   27930463     17       1  351827      0.07405      0.47049        0.441   1000
6118         1   28218035   28241255    110       6  351827      0.13813      0.44507         0.44   1000
2140         1   28296855   28415173     65       1  351827       1.2838     0.099606        0.112   1000
22826        1   28526789   28559542    114       3  351827       1.2017      0.11475        0.115   1000
93974        1   28562602   28564616     86       2  351827       1.1731      0.12038        0.128   1000
65979        1   28696093   28826881    284       3  351827       0.4591      0.32308        0.312   1000
9672         1   31342313   31381480      7       1  351827     -0.17568      0.56973        0.568   1000
79570        1   31652592   31712734     76       2  351827       1.5931     0.055572        0.057   1000
553115       1   32095463   32110838     32       2  351827       1.1319      0.12884        0.158   1000
1307         1   32117848   32169768     14       2  351827      0.74313       0.2287        0.221   1000
90853        1   32256023   32281630      5       1  351827       1.3702     0.085314        0.076   1000
56063        1   32680040   32687954     65       1  351827     -0.47448      0.68242        0.697   1000
113444       1   35315963   35325417      6       2  351827      0.60312      0.27321        0.279   1000
100506144    1   35447127   35450948      1       1  351827     -0.33476       0.6311        0.651   1000
27285        1   36549676   36553877      7       2  351827      0.23024      0.40895        0.407   1000
79729        1   36771889   36793544      1       1  351827      -1.1783      0.88065        0.865   1000
127700       1   36883507   36916086     49       1  351827      0.19513      0.42265        0.436   1000
7802         1   38022520   38032458     94       3  351827       0.5778       0.2817        0.294   1000
149175       1   38259721   38267278     13       1  351827       2.9023    0.0018522       0.0022   5000
3633         1   38326369   38412729     41       3  351827       3.0818    0.0010287       0.0011  10000
2275         1   38462439   38471199     14       1  351827       1.4889     0.068263        0.054   1000
51440        1   40144320   40157382      1       1  351827     -0.54664      0.70769        0.711   1000
10450        1   40204517   40229586     59       5  351827      0.79054      0.21461         0.21   1000
64064        1   40235197   40237020      2       1  351827     -0.79127      0.78561          0.8   1000
54802        1   40306703   40349177     92       6  351827     0.099982      0.46018        0.477   1000
339559       1   40943043   40962015     74       4  351827      0.25471      0.39947        0.391   1000
64789        1   40974391   40982228      5       2  351827     -0.14234      0.55659        0.558   1000
84217        1   42896000   42921938    153       2  351827       1.3835     0.083252        0.084   1000
728621       1   43000560   43120335      6       1  351827       1.3545     0.087785        0.094   1000
79078        1   43232916   43241413    167       7  351827      0.48987      0.31211        0.314   1000
374969       1   43272723   43283059    116       5  351827      0.58454      0.27943        0.271   1000
114625       1   43282776   43310660     20       2  351827     -0.35388      0.63828        0.646   1000
10969        1   43629845   43638241      1       1  351827     -0.58789       0.7217        0.732   1000
9048         1   44398992   44402912     30       1  351827      0.50738      0.30594        0.309   1000
4595         1   45794914   45806142     75       3  351827     -0.31319      0.62293        0.619   1000
114034       1   45805342   45809650      3       1  351827      -1.6322      0.94868        0.954   1000
10420        1   45809555   45956840      8       1  351827      0.20999      0.41684        0.397   1000
8438         1   46713367   46744145      7       1  351827       1.5363     0.062238        0.065   1000
2166         1   46859939   46879520      5       1  351827       1.3122     0.094723         0.09   1000
1579         1   47394846   47407156     74       3  351827      -1.2029       0.8855        0.901   1000
284541       1   47603107   47614528     76       3  351827     -0.35854      0.64003        0.644   1000
200010       1   48688339   48714316     77       4  351827     -0.36107      0.64098        0.661   1000
54558        1   48761044   48937876     20       1  351827     -0.88461      0.81182        0.827   1000
22996        1   51752930   51810785      3       1  351827      0.67599      0.24952        0.239   1000
4898         1   52254864   52344609      7       2  351827    -0.085381      0.53402        0.526   1000
200014       1   52816265   52831877     16       2  351827     -0.51592      0.69704        0.688   1000
23318        1   52888947   53018764    360       6  351827     -0.13831        0.555        0.528   1000
65260        1   53152014   53164038     43       1  351827      0.21311      0.41562        0.398   1000
6512         1   53552855   53608304     79       8  351827      0.26275      0.39637        0.391   1000
54987        1   53679771   53686289     33       3  351827       1.3987     0.080948        0.089   1000
1733         1   54359860   54376763     31       2  351827      -0.1004      0.53999        0.555   1000
51668        1   54387234   54411975      1       1  351827       1.5136     0.065065        0.054   1000
374977       1   55107427   55175939     16       1  351827     -0.49623      0.69013          0.7   1000
7268         1   55181495   55208330     99       1  351827     -0.23838      0.59421        0.588   1000
115209       1   58881052   59012469    121       3  351827     -0.34708      0.63574        0.633   1000
127795       1   60456066   60539442      2       1  351827      -1.7627      0.96102        0.965   1000
54596        1   62660474   62678000      5       1  351827      0.15605        0.438        0.433   1000
23421        1   63906441   63988944    182       5  351827     -0.62963      0.73553        0.745   1000
84455        1   63989013   64051041    150       1  351827      -2.1425      0.98392        0.981   1000
9829         1   65720133   65881552      2       1  351827    -0.077247      0.53079        0.533   1000
54741        1   65886131   66107242     54       1  351827      -1.2999      0.90319        0.892   1000
200132       1   67217978   67244730     74       5  351827      0.16062       0.4362        0.434   1000
57708        1   67390578   67454302     30       2  351827       1.9025     0.028551        0.027   1000
11147        1   70820493   70833706     54       2  351827      -1.7857      0.96292        0.962   1000
127255       1   74491699   74663871    181       4  351827     -0.82402      0.79504        0.774   1000
51086        1   74701071   75010116    125       5  351827     -0.99049      0.83903        0.838   1000
1429         1   75171170   75199092     52       5  351827       -0.339      0.63269        0.653   1000
127253       1   75198836   75232361     84       3  351827      0.58964      0.27772        0.264   1000
64123        1   79355449   79472495      1       1  351827      -2.6713      0.99622        0.999   1000
255231       1   85391266   85462796     33       3  351827     -0.66968      0.74847        0.741   1000
23576        1   85784168   86044046      1       1  351827     -0.44926      0.67338        0.663   1000
255631       1   86194916   86622121     15       1  351827     -0.23026      0.59106        0.574   1000
57489        1   86812507   86862025     83       2  351827      -2.4995      0.99378        0.997   1000
22802        1   87012759   87046437     19       1  351827      0.74769      0.22732        0.244   1000
51100        1   87170253   87213867      3       1  351827     -0.58281      0.71999        0.725   1000
9403         1   87328128   87380107    117       2  351827        1.083      0.13941         0.15   1000
56267        1   89401456   89458643    196       5  351827     -0.49636      0.69018        0.701   1000
