GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
339451       1     895967     901099      5       2  351827      0.81376      0.20789        0.209   1000
84808        1     910579     917473     30       5  351827       0.1126      0.45517        0.426   1000
9636         1     948847     949920      1       1  351827     -0.43392      0.66783        0.657   1000
375790       1     955503     991499     73       5  351827      0.29938      0.38232        0.367   1000
54991        1    1017198    1051736     69       5  351827      0.46552      0.32078        0.311   1000
126792       1    1167629    1170421    103       2  351827      -1.1222      0.86911        0.887   1000
6339         1    1215816    1227409     63       4  351827      0.32969      0.37082        0.367   1000
116983       1    1227764    1243304     96       3  351827      0.19792      0.42155        0.418   1000
54973        1    1246965    1260067      7       1  351827       -0.165      0.56553         0.55   1000
54587        1    1288071    1297183     54       3  351827     -0.28418      0.61186         0.61   1000
54998        1    1309110    1310818      7       3  351827      0.60072      0.27401        0.274   1000
55052        1    1337276    1342693     91       6  351827      0.38607      0.34972        0.365   1000
441869       1    1353800    1356824    320      16  351827     -0.11628      0.54628        0.534   1000
219293       1    1378152    1405538    152      14  351827      0.14436      0.44261        0.441   1000
83858        1    1407139    1444852     85       9  351827       1.7958     0.036265        0.034   1000
55210        1    1447523    1470067      3       1  351827      -0.4937      0.68924         0.67   1000
339453       1    1470158    1475740     18       1  351827     -0.63399      0.73696        0.722   1000
29101        1    1477053    1510262     42       2  351827     0.047352      0.48112        0.469   1000
643988       1    1533388    1535476     13       1  351827       1.1167      0.13207        0.123   1000
142678       1    1550795    1565990     12       1  351827      0.31895      0.37488         0.38   1000
728661       1    1591486    1624243     61       9  351827      0.79856      0.21227        0.204   1000
728642       1    1633822    1655999      3       1  351827     0.010036        0.496        0.523   1000
9906         1    1656277    1677438     22       4  351827      0.49005      0.31205        0.307   1000
65220        1    1682671    1711508     62       2  351827      0.21457      0.41505        0.405   1000
2782         1    1716725    1822552      1       1  351827     -0.56892      0.71529        0.731   1000
163688       1    1846266    1848733     24       2  351827     -0.81279      0.79183        0.784   1000
339456       1    1849029    1850740     27       1  351827     0.087374      0.46519        0.444   1000
100506504    1    2113250    2115812     47       2  351827     -0.33242      0.63022        0.629   1000
199990       1    2115899    2144159     16       4  351827      0.63235      0.26358        0.298   1000
79906        1    2251719    2323190     15       1  351827     -0.59583      0.72436        0.729   1000
5192         1    2336241    2344010      5       1  351827      0.47546      0.31723        0.299   1000
