PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.1158	rs1891910	-4.64	rs3094315	0.0893	5.59	-0.146306	156	18	enet	0.059	4.9e-06	-0.319777	0.749
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1264	rs1891910	-4.64	rs1806509	-0.0015	-3.78	0.210749	181	23	enet	0.016	0.014	0.596852	0.551
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.2348	rs1891910	-4.64	rs2710888	0.149	-7.23	-1.489351	187	16	enet	0.12	1.3e-10	1.792426	0.0731
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1279	rs1891910	-4.64	rs3766192	0.0797	-5.57	0.274721	216	20	enet	0.067	1.2e-06	-0.111881	0.911
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.2312	rs1891910	-4.64	rs4314833	0.0174	4.26	0.482721	228	30	enet	0.1	1.3e-09	-0.440663	0.659
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1722	rs1891910	-4.64	rs3813199	0.0779	-5.61	-0.068504	229	15	enet	0.057	7.9e-06	-0.024175	0.981
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000184163.3.wgt.RDat	ENSG00000184163.3	1	1246721	1246722	0.0932	rs1891910	-4.64	rs7515488	0.0483	-4.74	0.072682	232	9	enet	0.066	1.5e-06	-1.203471	0.229
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1193	rs1891910	-4.64	rs12142199	0.0838	5.49	-1.039138	253	22	enet	0.084	5.2e-08	0.150455	0.88
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.0941	rs1891910	-4.64	rs35242196	0.0571	4.73	-0.583314	276	38	enet	0.0087	0.05	1.154988	0.248
Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2346	rs1891910	-4.64	rs12089560	0.29	-9.78	0.791504	283	12	enet	0.24	5.1e-21	-0.64264	0.52
