PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.183	rs4265433	6.06	rs6669509	0.137	8.51	-4.550994	324	6	enet	0.13	3.1e-16	-4.69106	2.72e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.0953	rs12402967	-9.03	rs1467653	0.029	5.53	-6.343955	377	19	enet	0.048	7.5e-7	-5.49607	3.88e-8
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000259943.1.wgt.RDat	ENSG00000259943.1	1	40257966	40257967	0.0956	rs12730176	-6.61	rs12760525	0.0586	-5.65	-4.319256	404	32	enet	0.036	1.7e-5	4.78033	1.75e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.1286	rs12739065	-9.81	rs1316396	0.0732	-6.14	-9.721381	384	20	enet	0.058	6.6e-8	8.93506	4.07e-19
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000134256.12.wgt.RDat	ENSG00000134256.12	1	117001749	117001750	0.0911	rs10801925	-7.76	rs3736908	0.00472	-5.23	-7.046154	412	13	enet	0.023	4.7e-4	6.32628	2.51e-10
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.0935	rs4845681	13.15	rs10908445	0.0832	-6.65	9.153098	417	7	enet	0.06	4.1e-8	-9.50166	2.07e-21
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.0722	rs4845681	13.15	rs10752609	-9.49e-4	3.54	-0.772683	397	27	enet	0.0069	0.038	-4.61097	4.01e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.1363	rs4845681	13.15	rs11264298	0.0423	-5.95	8.570739	378	19	enet	0.047	1.1e-6	-5.77814	7.55e-9
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3251	rs1196366	6.6	rs2291426	0.419	-14.15	6.291535	464	43	enet	0.4	1.8e-54	-5.42949	5.65e-8
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000173960.13.wgt.RDat	ENSG00000173960.13	2	23927284	23927285	0.152	rs2081302	5.64	rs12475813	0.146	8.6	4.767336	377	10	enet	0.14	1e-17	5.05798	4.24e-7
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000138092.10.wgt.RDat	ENSG00000138092.10	2	24793382	24793383	0.186	rs713587	10.96	rs6545800	0.107	8.14	8.338751	311	14	enet	0.16	2.4e-20	4.71963	2.36e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.3466	rs713587	10.96	rs7576788	0.212	10.35	7.11553	319	23	enet	0.27	3e-34	6.09006	1.13e-9
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.1834	rs2138913	-6.53	rs6704784	0.162	-8.96	-5.013804	384	18	enet	0.15	2.5e-18	5.26861	1.37e-7
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1081	rs2138913	-6.53	rs1823913	0.0647	-6.21	-5.086748	384	10	enet	0.055	1.3e-7	5.07567	3.86e-7
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0376	rs13023540	14.75	rs1863704	0.0305	4.64	-8.053761	364	4	enet	0.0087	0.023	-8.11001	5.06e-16
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.069	rs13023540	15.05	rs526897	0.101	-7.33	-8.259468	367	22	enet	0.096	2.6e-12	7.44873	9.42e-14
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.1114	rs7626117	-8.58	rs3732967	0.129	8.25	-5.596909	524	21	enet	0.11	1.7e-14	-5.840973	5.19e-9
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000224728.1.wgt.RDat	ENSG00000224728.1	3	15878046	15878047	0.1048	rs2470550	-8.51	rs17041602	0.0718	6.81	-3.000707	469	11	enet	0.082	1.1e-10	-5.455509	4.88e-8
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000154822.17.wgt.RDat	ENSG00000154822.17	3	16802650	16802651	0.0543	rs748832	11.53	rs12489270	0.0437	4.96	8.436816	481	10	enet	0.029	1.2e-4	6.533168	6.44e-11
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000172995.16.wgt.RDat	ENSG00000172995.16	3	35638944	35638945	0.2122	rs6550371	-15.09	rs17280201	0.233	10.56	5.981036	403	19	enet	0.25	4.899999999999999e-31	5.404752	6.49e-8
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000073711.10.wgt.RDat	ENSG00000073711.10	3	135965672	135965673	0.0569	rs6771997	-8.31	rs9843725	0.0389	5.98	-7.632345	296	12	enet	0.049	6e-7	-7.177211	7.11e-13
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000119231.10.wgt.RDat	ENSG00000119231.10	3	196867855	196867856	0.2008	rs2089979	5.25	rs555582	0.132	8.22	-5.011807	429	17	enet	0.12	4.9e-15	-4.880926	1.06e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000063978.15.wgt.RDat	ENSG00000063978.15	4	2462219	2462220	0.0686	rs3775068	-10.34	rs11736936	0.045558	4.96	-7.59	374	20	enet	0.031	6.9e-5	-5.91063	3.41e-9
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.1993	rs1038432	6.04	rs1548119	0.152948	-9	4.83	402	15	enet	0.14	2.6e-17	-5.45006	5.04e-8
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.071	rs10514933	16.409	rs264530	0.085	-6.69	13.4	387	26	enet	0.082	1.2e-10	-9.55401	1.2500000000000001e-21
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000273841.4.wgt.RDat	ENSG00000273841.4	5	69369641	69369642	0.0957	rs2010352	-10.102	rs4252228	0.063	-6.09	-8	225	27	enet	0.058	5.7e-8	6.27762	3.44e-10
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000213347.10.wgt.RDat	ENSG00000213347.10	5	177312756	177312757	0.2938	rs11952102	-8.186	rs11949767	0.177	9.27	-7.97	311	30	enet	0.23	2.5e-28	-6.15094	7.7e-10
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000196670.13.wgt.RDat	ENSG00000196670.13	5	180861284	180861285	0.2755	rs2619758	-11.004	rs249307	0.183	9.62	-11	348	29	enet	0.19	7.8e-24	-9.02573	1.78e-19
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000119899.12.wgt.RDat	ENSG00000119899.12	6	73654154	73654155	0.1016	rs583443	9.07	rs629381	0.0717	6.48	6.462051	382	31	enet	0.084	6.6e-11	4.56151	5.08e-6
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000065833.8.wgt.RDat	ENSG00000065833.8	6	83431070	83431071	0.1271	rs3778203	-5.22	rs12190945	0.0903	6.72	-4.532511	318	22	enet	0.057	7.9e-8	-4.94399	7.65e-7
GTExv8.EUR.Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.1268	rs9375683	8.34	rs7769599	0.0496	5.65	-8.227468	561	17	enet	0.051	3.4e-7	-8.97381	2.86e-19
