GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     34       4  351827     -0.38528      0.64998        0.647   1000
26155        1     879583     894679     43       4  351827       1.5638      0.05893        0.059   1000
339451       1     895967     901099     55       6  351827       1.3926     0.081873        0.084   1000
84069        1     901872     910488     34       4  351827       1.5163     0.064718        0.071   1000
84808        1     910579     917473     18       2  351827      0.70413      0.24068        0.235   1000
57801        1     934342     936608     39       4  351827       1.3745     0.084641         0.09   1000
9636         1     948847     949920      5       1  351827       2.5438    0.0054821       0.0066   5000
375790       1     955503     991499     17       2  351827      -0.1778      0.57056        0.561   1000
401934       1    1007126    1009687    112      10  351827       1.0646      0.14352         0.14   1000
54991        1    1017198    1051736     94       5  351827     -0.82625      0.79567        0.785   1000
254173       1    1109286    1133315      1       1  351827      0.19796      0.42154        0.415   1000
8784         1    1138888    1142163     17       3  351827       1.6815     0.046331         0.04   1000
126792       1    1167629    1170421    263      13  351827     -0.94018      0.82644        0.827   1000
388581       1    1177826    1182102      1       1  351827       2.0059     0.022435        0.022   1000
6339         1    1215816    1227409    349      18  351827      0.51378       0.3037        0.289   1000
116983       1    1227764    1243304      4       2  351827      -1.7619      0.96096        0.958   1000
126789       1    1243962    1247057      3       1  351827      0.11937      0.45249        0.465   1000
54973        1    1246965    1260067    111       5  351827      0.40417      0.34304         0.35   1000
54587        1    1288071    1297183      1       1  351827      0.55981       0.2878         0.27   1000
55052        1    1337276    1342693    218      12  351827     -0.52086      0.69877        0.684   1000
441869       1    1353800    1356824    475      27  351827     -0.03523      0.51405        0.483   1000
643965       1    1361508    1363167      2       1  351827      0.57867      0.28141        0.275   1000
219293       1    1378152    1405538    179      18  351827      0.96558      0.16713        0.148   1000
83858        1    1407139    1444852    159      13  351827       1.2744      0.10126        0.101   1000
55210        1    1447523    1470067     13       4  351827       1.1765      0.11969        0.119   1000
29101        1    1477053    1510262     75       6  351827       0.1146      0.45438        0.455   1000
142678       1    1550795    1565990      4       1  351827      0.42274      0.33624        0.308   1000
984          1    1571100    1590473     41       7  351827      0.55992      0.28777        0.296   1000
728661       1    1591486    1624243     85      14  351827        0.455      0.32455        0.328   1000
728642       1    1633822    1655999     11       3  351827      0.33249      0.36976        0.362   1000
9906         1    1656277    1677438    178      11  351827      0.78644      0.21581        0.209   1000
65220        1    1682671    1711508     43       2  351827      -1.1551      0.87598        0.879   1000
163688       1    1846266    1848733    156       7  351827    -0.047594      0.51898        0.511   1000
339456       1    1849029    1850740    238      13  351827      0.35921      0.35972         0.37   1000
85452        1    1853390    1935276     65       2  351827      0.18282      0.42747        0.434   1000
2563         1    1950768    1962192     18       2  351827      0.46776      0.31998        0.317   1000
100506504    1    2113250    2115812     16       2  351827     -0.76434      0.77767         0.78   1000
199990       1    2115899    2144159     68       9  351827     -0.19342      0.57669        0.583   1000
6497         1    2160134    2241652     62       3  351827     -0.12134      0.54829        0.548   1000
79906        1    2251719    2323190     73       7  351827     0.076775       0.4694        0.487   1000
11079        1    2323214    2336883     48       5  351827     -0.64389      0.74018        0.738   1000
5192         1    2336241    2344010     20       5  351827     0.053436      0.47869        0.474   1000
127281       1    2517899    2522908    141       4  351827     -0.12398      0.54933        0.543   1000
79258        1    2522078    2564499     73       5  351827     0.078488      0.46872        0.455   1000
100287898    1    2572807    2706230    198       8  351827     -0.10651      0.54241        0.523   1000
27237        1    3371147    3397677    153      12  351827      -1.7016      0.95558        0.951   1000
1953         1    3404506    3528059      8       1  351827      0.39909      0.34491        0.339   1000
127262       1    3541556    3546695      2       1  351827      0.35402      0.36166        0.368   1000
49856        1    3547331    3566671    124      17  351827      -1.0731      0.85838        0.857   1000
388588       1    3689352    3692546    188       9  351827       0.2616      0.39681         0.39   1000
57470        1    3696784    3713068    158       6  351827      0.52956      0.29821        0.301   1000
9731         1    3728645    3773797    308      13  351827      0.74685      0.22758         0.22   1000
1677         1    3773845    3801993     45       2  351827       0.6503      0.25775        0.278   1000
339448       1    3805697    3816857    181      19  351827      0.97434      0.16494        0.159   1000
55966        1    4715105    4843851     49       4  351827      -1.6092      0.94621        0.934   1000
261734       1    5922870    6052618    243      11  351827       1.4631     0.071723        0.068   1000
388591       1    6266189    6281359     22       5  351827     -0.37024       0.6444        0.656   1000
23463        1    6281253    6296044     60       7  351827       0.7522      0.22596        0.228   1000
387509       1    6307406    6321035     19       4  351827     -0.60687      0.72803        0.732   1000
11332        1    6324332    6453826    330      13  351827    -0.033526      0.51337        0.504   1000
54626        1    6475292    6484724     43       3  351827      0.85322      0.19677        0.189   1000
83715        1    6484836    6521004    375      16  351827      0.11447      0.45443        0.455   1000
8718         1    6520787    6527432     28       5  351827      0.18475      0.42671        0.409   1000
57449        1    6526152    6580121     13       3  351827     -0.40466      0.65714        0.659   1000
79707        1    6581407    6614658    143       4  351827       1.2177      0.11168        0.137   1000
80835        1    6614987    6639817    105       2  351827       1.2702      0.10201        0.129   1000
148479       1    6673756    6684093      7       1  351827       2.0527     0.020052         0.02   1000
90326        1    6684925    6695646    219      20  351827     -0.82148      0.79431        0.785   1000
9341         1    7831329    7841492     64       7  351827      0.37854      0.35252        0.375   1000
11315        1    8021714    8045342    178       9  351827      -1.0495      0.85302        0.854   1000
50651        1    8378171    8404227     16       2  351827      -1.7543      0.96031        0.952   1000
473          1    8412464    8877699    264       8  351827      0.87619      0.19046        0.206   1000
2023         1    8921059    8939151     27       1  351827       -1.196      0.88415        0.873   1000
765          1    9005893    9035151      9       3  351827     -0.40184       0.6561        0.681   1000
6518         1    9097005    9131763     56       4  351827     -0.17181       0.5682        0.561   1000
80045        1    9163472    9189229    111       8  351827     -0.72893      0.76698        0.782   1000
9563         1    9294822    9331396     31       5  351827      0.99965      0.15874        0.161   1000
80176        1    9335202    9429591     11       2  351827    -0.097254      0.53874        0.522   1000
199953       1    9648932    9674935     17       2  351827      -1.2126      0.88737        0.904   1000
5293         1    9711789    9789172     14       1  351827       2.3123     0.010381        0.009   5000
22883        1    9789079    9884550     32       2  351827     -0.88063      0.81074          0.8   1000
56998        1    9908334    9970316     44       4  351827     -0.56659       0.7145        0.716   1000
84328        1    9982168   10003460      1       1  351827       -1.163      0.87759        0.898   1000
64802        1   10003486   10045556     17       4  351827      0.73623       0.2308        0.225   1000
116362       1   10057255   10076078     29       4  351827       1.6776     0.046711        0.039   1000
10277        1   10093041   10241297      1       1  351827     -0.46105      0.67762        0.677   1000
23095        1   10270606   10441664    397       4  351827     -0.52146      0.69898        0.715   1000
5226         1   10458884   10480565    368      15  351827       2.7917    0.0026218        0.002   5000
378708       1   10489944   10510239    203       4  351827      -0.3206      0.62574        0.617   1000
1676         1   10520588   10532613      1       1  351827       1.7249     0.042269        0.043   1000
10747        1   11086580   11107296     94       5  351827     -0.82007      0.79391        0.801   1000
6723         1   11114649   11120091     52       3  351827     -0.87944      0.81042         0.81   1000
2475         1   11166588   11322614    169       3  351827    -0.040592      0.51619        0.497   1000
26232        1   11707924   11714888      5       2  351827      0.73024      0.23262        0.239   1000
93611        1   11714432   11723384     22       5  351827      0.90899      0.18168        0.208   1000
26270        1   11724150   11734411     27       5  351827     0.072055      0.47128        0.485   1000
10459        1   11734537   11751678      2       1  351827      0.12795      0.44909        0.472   1000
374946       1   11751781   11780336      5       1  351827       1.4967     0.067237        0.064   1000
57085        1   11796142   11810828    119      12  351827      -1.8961      0.97102        0.979   1000
4524         1   11845787   11866160    287      11  351827      0.16224      0.43556         0.45   1000
1185         1   11866153   11903201    304      13  351827      0.46448      0.32115        0.311   1000
90231        1   11979645   11986485     21       2  351827       1.1205      0.13125        0.134   1000
9927         1   12040238   12073572    113       9  351827     -0.59116      0.72279         0.72   1000
60672        1   12079299   12092106     35       6  351827      -1.4907      0.93197        0.945   1000
943          1   12123434   12204264      7       1  351827     -0.30424      0.61953        0.626   1000
7133         1   12227044   12269279      9       1  351827       2.1787     0.014678        0.023   1000
55187        1   12290101   12572099      2       1  351827      0.54611       0.2925        0.306   1000
126755       1   13801445   13840242      1       1  351827         1.84     0.032884        0.038   1000
10630        1   13910252   13944452     11       2  351827       -2.278      0.98864        0.989   1000
23254        1   14219646   15444544      4       1  351827      0.98421      0.16251        0.164   1000
55092        1   15479028   15546974    312      21  351827       1.1666      0.12168        0.099   1000
79180        1   15736391   15756839     23       1  351827       1.3868     0.082758        0.088   1000
842          1   15817896   15851407      3       1  351827      -1.5608      0.94071        0.944   1000
84301        1   15943953   15995539    203       7  351827       0.5425      0.29374        0.293   1000
284723       1   16062721   16067884     64       4  351827      0.27737      0.39075        0.402   1000
54751        1   16083107   16113089     86      10  351827      0.39054      0.34807        0.343   1000
440567       1   16133657   16134194     69       1  351827    -0.095952      0.53822        0.571   1000
27129        1   16340523   16346084     59       5  351827      0.60266      0.27337        0.292   1000
1187         1   16348486   16360548    241      18  351827       0.7744      0.21935        0.236   1000
1188         1   16370231   16383821     58       4  351827      0.83467      0.20195        0.216   1000
348487       1   16384264   16400127     15       3  351827      0.39148      0.34772        0.351   1000
128272       1   16524599   16539104    151       8  351827       0.7691      0.22092        0.227   1000
79363        1   16558182   16563659     98       4  351827      0.54622      0.29246        0.294   1000
26099        1   16693525   16724643      2       1  351827    -0.030711      0.51225        0.522   1000
55707        1   16767167   16786585     19       2  351827      -1.5491      0.93933        0.936   1000
9696         1   17248445   17299474    316      11  351827     -0.60783      0.72835         0.72   1000
4237         1   17300997   17308081    144       5  351827     -0.23647      0.59347        0.568   1000
23400        1   17312453   17338467     76       3  351827      -0.3836      0.64936        0.634   1000
11240        1   17393256   17445948    219       9  351827     -0.59309      0.72344        0.708   1000
29943        1   17531621   17572501    113       9  351827      0.50263      0.30761        0.284   1000
55920        1   17733251   17766250    105       5  351827     -0.77256      0.78011        0.776   1000
55160        1   17846693   18024370     29       4  351827     -0.83131       0.7971         0.77   1000
84966        1   18434240   18704977     25       5  351827       1.5577     0.059652        0.067   1000
127707       1   18807424   18812540     96      12  351827     -0.99873      0.84104        0.835   1000
80834        1   19166093   19186155     26       3  351827     -0.86995      0.80784        0.798   1000
8659         1   19197924   19229293     42       2  351827     -0.21611      0.58555        0.595   1000
23352        1   19401000   19536812    113      10  351827      0.14205      0.44352        0.449   1000
23065        1   19542158   19578053    528      21  351827      0.48463      0.31397        0.248   1000
51154        1   19578075   19586622    156       9  351827       1.6848     0.046011        0.048   1000
22977        1   19609057   19615280    140       9  351827       1.4083      0.07952        0.084   1000
8574         1   19629202   19638640     55       4  351827     -0.27759      0.60934        0.591   1000
54896        1   19638740   19658925    103      10  351827      0.48589      0.31352        0.308   1000
832          1   19665267   19812066      9       1  351827      -1.3703       0.9147        0.927   1000
440574       1   19923471   19956315     51       3  351827      0.44158       0.3294        0.312   1000
255104       1   20008706   20126424     30       2  351827     -0.28648      0.61274        0.615   1000
23252        1   20208356   20239438    103      11  351827      -1.8873      0.97044        0.973   1000
5320         1   20301924   20306932      9       4  351827      0.30201      0.38132         0.37   1000
5322         1   20386157   20418394     86       5  351827     -0.84239      0.80022        0.789   1000
64600        1   20465823   20476879      4       2  351827        0.288      0.38667         0.38   1000
79594        1   20825941   20834674    139      14  351827      -2.1752      0.98519        0.986   1000
163933       1   20878932   20881513    103      11  351827      -0.8264      0.79571        0.807   1000
978          1   20915444   20945401    201      18  351827    -0.087023      0.53467        0.544   1000
65018        1   20959948   20978004    167      13  351827    -0.090459      0.53604        0.542   1000
1650         1   20978260   20988037     40       3  351827      0.53352      0.29684        0.309   1000
57576        1   20990475   21044317      8       2  351827     -0.93761      0.82578         0.82   1000
8672         1   21132785   21503381    475      12  351827      0.95207      0.17053        0.139   1000
1889         1   21543740   21672034     14       5  351827       2.4762    0.0066401       0.0058   5000
84224        1   21766583   21811393    358      28  351827      -3.4536      0.99972        0.999   1000
249          1   21835475   21904905     96       8  351827      -1.7592      0.96073        0.945   1000
5909         1   21922708   21996010     45       8  351827      0.23998      0.40517        0.405   1000
84196        1   22004791   22109688    100       5  351827        1.349     0.088664        0.081   1000
3339         1   22148737   22263750    105       7  351827      -1.7048      0.95589        0.952   1000
998          1   22379120   22419439     60       3  351827       1.0077      0.15681        0.151   1000
54361        1   22443798   22470474     78       6  351827       0.6107       0.2707        0.255   1000
9923         1   22778344   22857650     34       3  351827      0.10987      0.45626        0.458   1000
2046         1   22890004   22930087     88      10  351827       1.1527      0.12451        0.111   1000
2048         1   23037263   23241823     12       1  351827      -1.1406      0.87297        0.854   1000
23028        1   23345937   23410184     83       4  351827       1.0018      0.15822        0.158   1000
7798         1   23410516   23504301    261      11  351827      0.70632      0.23999        0.234   1000
80818        1   23685941   23696357    348      23  351827       1.0435      0.14835        0.133   1000
6920         1   23707555   23751269    126      11  351827      0.87492      0.19081        0.192   1000
55616        1   23755056   23810750     50       4  351827       1.7353     0.041344        0.049   1000
1870         1   23832920   23857712      2       1  351827     -0.80674      0.79009        0.785   1000
2517         1   24171567   24194859    227      11  351827       1.4382     0.075189        0.085   1000
55629        1   24286301   24289952      9       2  351827      -2.7001      0.99653        0.995   1000
127294       1   24382531   24438665    188      22  351827     -0.37474      0.64607        0.626   1000
58985        1   24446261   24469783    117      18  351827      0.27998      0.38975        0.386   1000
163702       1   24480647   24513765     36       6  351827       0.3481      0.36388        0.349   1000
90529        1   24683489   24741587    186      14  351827     0.021887      0.49127        0.495   1000
57185        1   24742245   24799473    200      12  351827      0.77996      0.21771        0.213   1000
11123        1   24828841   24863510     32       1  351827     -0.63394      0.73694         0.74   1000
57035        1   25568740   25574010      1       1  351827      0.30133      0.38158        0.377   1000
6007         1   25598884   25656936    205       6  351827     -0.19655      0.57791        0.584   1000
23585        1   25664789   25688852      6       1  351827      -1.9205       0.9726        0.966   1000
6006         1   25687853   25747363    166       3  351827     -0.70423      0.75935        0.762   1000
55219        1   25757388   25826700     23       1  351827      -1.8894      0.97058        0.963   1000
26119        1   25870071   25895377     30       2  351827     -0.86484      0.80644        0.809   1000
56181        1   26146397   26159433    356      12  351827      0.16706      0.43366        0.405   1000
164091       1   26187975   26202461     34       5  351827      -1.2315      0.89093        0.887   1000
5051         1   26286258   26326366     10       2  351827      -1.2209      0.88894        0.882   1000
2134         1   26348266   26362955    110       5  351827      0.51227      0.30423        0.311   1000
7780         1   26364513   26373439    370      12  351827      0.73046      0.23256        0.246   1000
149420       1   26437656   26452039    394      14  351827      0.59004      0.27758        0.277   1000
79927        1   26485511   26489119     74       8  351827      -1.9013      0.97137        0.977   1000
10256        1   26503981   26516375    357      15  351827      0.53798      0.29529        0.262   1000
64793        1   26560644   26605529    274      15  351827      -1.4175      0.92183        0.914   1000
83442        1   26606213   26608013    184       7  351827     -0.52933      0.70171        0.693   1000
91544        1   26608773   26644756    163       6  351827      -0.3152      0.62369        0.623   1000
1043         1   26644411   26647014    178      12  351827     -0.14555      0.55786        0.568   1000
55057        1   26648350   26680621    158      18  351827      -1.0059      0.84277        0.847   1000
257101       1   26688125   26701023      1       1  351827        -1.58      0.94295        0.946   1000
79947        1   26758773   26797797    225      18  351827     -0.79566      0.78688        0.776   1000
3151         1   26798902   26803133    156       9  351827      -0.2061      0.58164        0.575   1000
101928728    1   27018623   27022896    227       6  351827      0.88328      0.18854        0.176   1000
55650        1   27113739   27124894    223       5  351827      0.86971      0.19223        0.178   1000
84243        1   27153201   27184092    104       5  351827      0.60655      0.27208        0.258   1000
10726        1   27248187   27273362    166       5  351827      0.66689      0.25242        0.242   1000
126695       1   27276047   27286901    105       6  351827      0.80803      0.20954        0.199   1000
115572       1   27331511   27339333      1       1  351827      0.96002      0.16852        0.162   1000
6548         1   27425300   27481621    126       3  351827     -0.65639      0.74421        0.763   1000
84065        1   27648636   27662891     81       4  351827     -0.36106      0.64097         0.65   1000
84958        1   27668483   27680423     23       7  351827      -1.5034      0.93363        0.921   1000
9064         1   27681670   27693558    113      21  351827      -1.4697      0.92918        0.934   1000
8547         1   27695601   27701315      2       1  351827     -0.12397      0.54933        0.546   1000
388611       1   27705596   27709823     24       3  351827      0.63672      0.26215        0.242   1000
2827         1   27719148   27722318      3       1  351827      -0.9199      0.82119        0.828   1000
10163        1   27730734   27816678     33       1  351827      0.04276      0.48295        0.468   1000
23673        1   28099694   28150963      1       1  351827     -0.24616      0.59722        0.581   1000
9473         1   28199055   28213196      4       1  351827      0.50838       0.3056        0.299   1000
6118         1   28218035   28241255    211      15  351827     -0.26886      0.60598        0.606   1000
27293        1   28261456   28285663     20       1  351827      0.42705      0.33467        0.364   1000
