GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
375790       1     955503     991499     10       1  351827      0.81871      0.20648        0.196   1000
54991        1    1017198    1051736      2       1  351827      0.34958      0.36333        0.352   1000
126792       1    1167629    1170421     72       1  351827      -1.3816      0.91645        0.913   1000
55052        1    1337276    1342693     55       2  351827      0.47707      0.31666        0.345   1000
441869       1    1353800    1356824     69       6  351827    -0.026097      0.51041        0.525   1000
219293       1    1378152    1405538     56       5  351827      0.33407      0.36916        0.381   1000
83858        1    1407139    1444852     78       6  351827       1.4462     0.074058        0.062   1000
728661       1    1591486    1624243     34       4  351827      0.89026      0.18666        0.193   1000
5192         1    2336241    2344010      6       2  351827      -1.0401      0.85086        0.856   1000
9651         1    2407754    2436964     39       3  351827       4.0837   2.2162e-05       0.0001  10000
63976        1    2985565    3355185     17       2  351827      -0.8354      0.79825         0.79   1000
388588       1    3689352    3692546     29       2  351827       0.7678       0.2213        0.218   1000
57470        1    3696784    3713068      1       1  351827      0.29188      0.38519        0.365   1000
9731         1    3728645    3773797     77       4  351827      0.80079      0.21163        0.228   1000
339448       1    3805697    3816857     26       3  351827       1.2955     0.097574        0.098   1000
55966        1    4715105    4843851     30       1  351827      0.34098      0.36656        0.361   1000
261734       1    5922870    6052618     72       4  351827       1.0635      0.14378        0.154   1000
6518         1    9097005    9131763      2       1  351827     -0.50274      0.69243        0.687   1000
9563         1    9294822    9331396      9       1  351827     -0.98737      0.83827        0.854   1000
80176        1    9335202    9429591      1       1  351827      -1.2856      0.90071        0.891   1000
116362       1   10057255   10076078      1       1  351827    -0.095131      0.53789        0.543   1000
23095        1   10270606   10441664    181       2  351827       2.7777     0.002737        0.002   5000
1325         1   10509776   10512060      1       1  351827      0.31059      0.37806        0.388   1000
57085        1   11796142   11810828     23       3  351827     -0.85788      0.80452         0.81   1000
1185         1   11866153   11903201     74       3  351827      0.42508      0.33539        0.328   1000
5351         1   11994724   12035599     52       3  351827      0.89935      0.18423        0.168   1000
9927         1   12040238   12073572     51       3  351827      -1.5721      0.94203        0.947   1000
842          1   15817896   15851407     55       1  351827      0.38986      0.34832        0.339   1000
23341        1   15853343   15898228     61       1  351827      -1.1141      0.86738         0.88   1000
284723       1   16062721   16067884     16       2  351827     -0.15783       0.5627        0.547   1000
1187         1   16348486   16360548    104       4  351827      0.91207      0.18087        0.189   1000
1188         1   16370231   16383821     10       1  351827      -1.0466      0.85235        0.853   1000
348487       1   16384264   16400127     22       1  351827      -1.7717      0.96178        0.972   1000
128272       1   16524599   16539104      4       1  351827     -0.51862      0.69799        0.686   1000
9696         1   17248445   17299474     10       2  351827      -2.0303      0.97884        0.982   1000
4237         1   17300997   17308081     10       1  351827     -0.58161      0.71959        0.706   1000
6390         1   17345217   17380665      3       1  351827     -0.44599       0.6722        0.648   1000
29943        1   17531621   17572501      9       1  351827       0.9584      0.16893        0.167   1000
23065        1   19542158   19578053    101       3  351827      0.18027      0.42847        0.428   1000
23252        1   20208356   20239438     49       4  351827      -2.1801      0.98537        0.986   1000
5322         1   20386157   20418394      4       1  351827        1.413     0.078835        0.076   1000
55450        1   20808884   20812728     48       3  351827      0.63548      0.26256        0.254   1000
79594        1   20825941   20834674     17       3  351827      -1.6926      0.95473        0.963   1000
978          1   20915444   20945401      2       1  351827      -1.4025      0.91961        0.931   1000
84224        1   21766583   21811393     95       5  351827     -0.71235      0.76187        0.761   1000
2048         1   23037263   23241823      2       1  351827    -0.029984      0.51196        0.508   1000
6920         1   23707555   23751269     49       3  351827       1.7383     0.041075        0.031   1000
57095        1   24104876   24114722     20       1  351827       2.3089     0.010475         0.01   1000
