PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.322	rs1891910	-4.64	rs3094315	0.0625	5.72	-0.146306	137	23	enet	0.15	7.4e-19	-0.35941	0.719
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.3514	rs1891910	-4.64	rs3094315	0.0338	4.57	-0.146306	150	36	enet	0.093	5.3e-12	0.73491	0.462
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2694	rs1891910	-4.64	rs3094315	0.108	7.52	-0.146306	156	20	enet	0.14	1.6e-17	-0.20803	0.835
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2405	rs1891910	-4.64	rs3748595	0.179	9.44	-3.446621	181	5	enet	0.18	3.3e-22	-3.2747	0.00106
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.084	rs1891910	-4.64	rs13303010	0.0726	-6.01	-1.059608	181	11	enet	0.065	8.3e-09	0.86661	0.386
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1026	rs1891910	-4.64	rs3748592	0.0451	-5.32	-3.112658	181	5	enet	0.046	1.3e-06	2.65558	0.00792
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2432	rs1891910	-4.64	rs3128117	0.205	-10	-0.839866	184	11	enet	0.18	4.3e-23	0.59927	0.549
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.0936	rs1891910	-4.64	rs3737728	0.00916	4.29	-1.116862	184	6	enet	0.011	0.011	-2.37158	0.0177
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.1008	rs1891910	-4.64	rs1891906	0.0567	5.52	-0.657189	184	7	enet	0.082	9.5e-11	0.09222	0.927
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1833	rs1891910	-4.64	rs2710888	0.0909	-7.04	-1.489351	187	25	enet	0.11	2e-13	0.39032	0.696
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1603	rs1891910	-4.64	rs9442372	0.0468	-6.35	0.804079	216	14	enet	0.086	3.9e-11	-1.35893	0.174
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.0589	rs1891910	-4.64	rs11466681	0.00313	-3.54	1.549399	222	19	enet	0.012	0.009	-1.55552	0.12
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.0939	rs1891910	-4.64	rs11804831	0.0525	-5.8	-0.134564	228	14	enet	0.044	2e-06	0.30172	0.763
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.3095	rs1891910	-4.64	rs12036216	0.224	-10.39	-0.281037	229	11	enet	0.22	1.1e-27	0.01585	0.987
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.1627	rs1891910	-4.64	rs34054191	0.0363	4.91	1.294305	245	18	enet	0.043	2.7e-06	1.12255	0.262
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000131584.18.wgt.RDat	ENSG00000131584.18	1	1308017	1308018	0.0816	rs1891910	-4.64	rs604618	0.0274	-4.57	0.023594	252	29	enet	0.03	7.5e-05	-0.69082	0.49
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000169972.11.wgt.RDat	ENSG00000169972.11	1	1308566	1308567	0.1062	rs1891910	-4.64	rs2765023	0.0353	-5.17	-0.969071	252	29	enet	0.049	5.5e-07	0.08582	0.932
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.0787	rs1891910	-4.64	rs4970432	0.0222	4.5	0.148021	253	28	enet	0.016	0.003	1.14826	0.251
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.208	rs1891910	-4.64	rs4970432	0.126	8.31	0.148021	253	37	enet	0.13	7.5e-17	0.60865	0.543
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000107404.19.wgt.RDat	ENSG00000107404.19	1	1349349	1349350	0.0491	rs1891910	-4.64	rs1536168	0.0249	-4.49	-0.485788	259	7	enet	0.0038	0.095	0.16647	0.868
Adipose_Subcutaneous	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Subcutaneous/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2343	rs1891910	-4.64	rs35242196	0.164	9.09	-0.583314	276	16	enet	0.16	3.2e-20	-0.05292	0.958
