PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.5901	rs1891910	-4.64	rs3094315	0.099424	4.86	-0.146	136	34	enet	0.38	3.4e-24	0.141	0.888
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.1665	rs1891910	-4.64	rs3094315	0.090748	4.81	-0.146	150	25	enet	0.062	0.00011	-0.35	0.726
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.177	rs1891910	-4.64	rs3094315	0.124931	5.58	-0.146	153	24	enet	0.13	2.7e-08	-0.461	0.645
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.4959	rs1891910	-4.64	rs3094315	0.283865	8	-0.146	156	22	enet	0.26	5.7e-16	0.0944	0.925
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1693	rs1891910	-4.64	rs3748592	0.079965	4.78	-3.11	180	12	enet	0.059	0.00018	-2.8	0.00508
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.473	rs1891910	-4.64	rs3128117	0.286398	-7.96	-0.84	183	39	enet	0.25	1.6e-15	-0.101	0.92
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1293	rs1891910	-4.64	rs2465136	0.003087	-3.82	0.809	186	8	enet	0.0095	0.08	-0.382	0.703
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.3682	rs1891910	-4.64	rs6687776	0.118002	-5.72	0.0877	215	37	enet	0.17	1.8e-10	-1.31	0.19
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.3516	rs1891910	-4.64	rs9442387	0.091696	-5.82	-0.334	221	14	enet	0.077	1.9e-05	-0.256	0.798
Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000205231.1.wgt.RDat	ENSG00000205231.1	1	1179554	1179555	0.1552	rs1891910	-4.64	rs11260542	-0.001195	-3.7	1.83	221	16	enet	0.0012	0.26	0.415	0.678
