PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.2923	rs573744	9.24	rs4653329	0.195	8.24	7.359191	461	12	enet	0.22	5.7e-19	5.54509	2.94e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1748	rs4845681	13.15	rs7526293	0.132	-6.72	4.591305	403	5	enet	0.11	7.7e-10	-4.574513	4.77e-6
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.0936	rs4845681	13.15	rs10908452	0.071	-5.15	8.408595	378	10	enet	0.049	4.4e-5	-7.004071	2.49e-12
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000143590.13.wgt.RDat	ENSG00000143590.13	1	155078871	155078872	0.0839	rs4845681	13.15	rs2066981	-0.00195	3.75	-1.6519	373	23	enet	0.0037	0.14	-4.908477	9.18e-7
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000160767.20.wgt.RDat	ENSG00000160767.20	1	155255482	155255483	0.1031	rs4845681	13.15	rs10908452	0.0147	-4.38	8.408595	302	17	enet	0.041	1.8e-4	-4.51936	6.2e-6
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.0743	rs7536102	12.55	rs4442420	0.0302	5.08	6.59977	275	24	enet	0.043	1.2e-4	5.131673	2.87e-7
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.0864	rs7536102	12.55	rs10912766	0.11	6.46	8.680005	275	60	enet	0.11	2.2e-9	9.512311	1.86e-21
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.4969	rs1196366	6.6	rs2291426	0.519	-12.83	6.291535	462	32	enet	0.5	1e-49	-5.573543	2.5e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.0738	rs2138913	-6.53	rs6704784	0.073438	-5.14	-5.013804	384	9	enet	0.06	6.6e-6	4.967165	6.79e-7
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0767	rs13023540	14.75	rs4674338	0.046747	4.57	-7.587036	363	4	enet	0.036	4.1e-4	-7.599082	2.98e-14
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000144580.13.wgt.RDat	ENSG00000144580.13	2	218568579	218568580	0.0656	rs13023540	14.75	rs4674305	0.022934	3.59	-6.511963	363	13	enet	-6.7e-4	0.38	-5.70511	1.16e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.1218	rs13023540	15.05	rs4674332	0.071834	-5.38	-8.433015	366	39	enet	0.044	1e-4	5.477659	4.31e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000151090.17.wgt.RDat	ENSG00000151090.17	3	24495281	24495282	0.3566	rs7611219	-11.17	rs1865712	0.132	6.72	-8.44535	587	19	enet	0.14	1.6e-12	-5.51316	3.52e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000172340.14.wgt.RDat	ENSG00000172340.14	3	67654613	67654614	0.2925	rs1490270	9.05	rs6779718	0.0912	-6.11	3.47391	411	32	enet	0.18	4.5e-15	-4.4808	7.44e-6
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000273133.1.wgt.RDat	ENSG00000273133.1	4	15564252	15564253	0.1957	rs12508186	8.9	rs12500587	0.187881	7.86	5.397627	543	28	enet	0.18	4e-15	5.56128	2.68e-8
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000118564.14.wgt.RDat	ENSG00000118564.14	4	15681660	15681661	0.1157	rs12508186	8.9	rs4557256	0.093371	-5.97	7.628788	553	11	enet	0.064	3.1e-6	-6.78231	1.18e-11
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000164366.3.wgt.RDat	ENSG00000164366.3	5	218214	218215	0.1286	rs2115275	6.92	rs9763161	0.07456	5.02	6.834446	289	11	enet	0.052	2.5e-5	6.216895	5.07e-10
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.0787	rs10514933	16.41	rs7722692	0.005998	-3.79	12.400546	387	23	enet	-0.003	0.79	-8.607001	7.5e-18
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000086200.16.wgt.RDat	ENSG00000086200.16	5	62403971	62403972	0.0533	rs10514933	16.41	rs784901	0.028911	-4.75	3.184105	373	13	enet	0.019	0.0083	-7.972055	1.56e-15
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000247828.7.wgt.RDat	ENSG00000247828.7	5	88269070	88269071	0.4186	rs10044618	-9.74	rs16903057	0.408721	11.64	-5.888247	250	16	enet	0.42	8.3e-39	-5.004151	5.61e-7
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000164307.12.wgt.RDat	ENSG00000164307.12	5	96808099	96808100	0.3055	rs27038	7.01	rs27433	0.202551	8.11	6.499249	493	28	enet	0.25	2e-21	4.785992	1.7e-6
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000249996.1.wgt.RDat	ENSG00000249996.1	5	123036270	123036271	0.1873	rs3776181	-8.22	rs3776181	0.10398	-6.63	-8.219886	433	10	enet	0.13	2.3e-11	7.326075	2.37e-13
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000196670.13.wgt.RDat	ENSG00000196670.13	5	180861284	180861285	0.2984	rs2619758	-11	rs2619754	0.163252	7.79	-9.627177	347	23	enet	0.14	1.9e-12	-8.573047	1.01e-17
GTExv8.EUR.Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000085382.11.wgt.RDat	ENSG00000085382.11	6	104859918	104859919	0.1297	rs314280	9.39	rs2499667	0.0957	-6.25	2.748936	374	21	enet	0.097	8.5e-9	-4.4851	7.29e-6
