PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.0391	rs7536102	12.55	rs17350991	0.0386	5.81	11.9	275	11	enet	0.052	3e-8	10.25776	1.09e-24
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.1428	rs1196366	6.6	rs2291426	0.193	-10.41	6.29	462	11	enet	0.16	1.8e-23	-5.3662	8.04e-8
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000184924.5.wgt.RDat	ENSG00000184924.5	2	24793134	24793135	0.0345	rs713587	10.96	rs6726261	0.0255	4.45	7.222809	312	7	enet	0.0078	0.021	7.75	9.1e-15
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000138092.10.wgt.RDat	ENSG00000138092.10	2	24793382	24793383	0.2662	rs713587	10.96	rs2384058	0.364	14.34	7.313016	312	27	enet	0.36	3e-56	7.4	1.4e-13
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000271936.1.wgt.RDat	ENSG00000271936.1	2	24825609	24825610	0.0459	rs713587	10.96	rs7567997	0.0193	4.56	7.38926	314	20	enet	0.024	1.3e-4	6.4	1.55e-10
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.4252	rs713587	10.96	rs13407913	0.54	17.39	7.358203	320	17	enet	0.53	1.8e-94	7.39	1.52e-13
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000115137.11.wgt.RDat	ENSG00000115137.11	2	24972093	24972094	0.1903	rs713587	10.96	rs7567997	0.229	11.54	7.38926	323	34	enet	0.22	5.8e-32	6.68	2.38e-11
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000270820.5.wgt.RDat	ENSG00000270820.5	2	61471187	61471188	0.1112	rs7591402	9.81	rs778755	0.0676	-7.16	-4.715126	299	23	enet	0.081	3.9e-12	4.52	6.1e-6
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000118260.14.wgt.RDat	ENSG00000118260.14	2	207529795	207529796	0.0415	rs2952769	-7.69	rs2042484	0.00397	-4.16	1.448914	412	9	enet	0.016	0.0014	-5.38	7.38e-8
GTExv8.EUR.Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0451	rs13023540	14.75	rs591573	0.0376	5.11	-8.133921	364	21	enet	0.024	1.6e-4	-7.99	1.35e-15
