PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.2836	rs573744	9.24	rs4653329	0.161	5.3	7.36	462	7	enet	0.12	6.6e-6	6.27668	3.46e-10
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.2437	rs4845681	13.15	rs10908445	0.169	-5.19	9.15	417	34	enet	0.14	9.4e-7	-7.90082	2.77e-15
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.5543	rs1196366	6.6	rs2291426	0.512	-8.97	6.29	461	17	enet	0.46	1.3e-22	-5.35321	8.64e-8
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.5529	rs1196366	6.6	rs672008	0.428	8.24	5.92	470	26	enet	0.35	2.8e-16	5.09151	3.55e-7
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.0741	rs13023540	15.13	rs7607369	0.0378	-4.11	-5.657232	365	12	enet	0.0058	0.17	6.36437	1.96e-10
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000280417.1.wgt.RDat	ENSG00000280417.1	3	53046165	53046166	0.14	rs11130367	11.74	rs4687717	0.00377	4.13	5.7758	361	22	enet	0.0073	0.15	5.47049	4.49e-8
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000174891.12.wgt.RDat	ENSG00000174891.12	3	158107788	158107789	0.1784	rs6779266	8.9	rs17684859	0.0809	-4.52	-0.26844	319	16	enet	0.069	5.6e-4	4.80722	1.53e-6
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000118849.9.wgt.RDat	ENSG00000118849.9	3	158732695	158732696	0.506	rs827117	8.43	rs16829322	0.183	5.61	-2.62579	398	36	enet	0.2	3.8e-9	-4.84419	1.27e-6
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000014824.13.wgt.RDat	ENSG00000014824.13	4	41990471	41990472	0.262	rs6447132	-9.57	rs6447132	0.127681	5.37	-9.56711	423	10	enet	0.12	3.9e-6	-8.84889	8.84e-19
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000247828.7.wgt.RDat	ENSG00000247828.7	5	88269070	88269071	0.4686	rs10044618	-9.74	rs390856	0.34862	7.54	-5.85506	254	31	enet	0.29	3.2e-13	-6.04845	1.46e-9
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000122687.17.wgt.RDat	ENSG00000122687.17	7	2242197	2242198	0.373	rs11773627	12.98	rs6461233	0.290988	6.97	6.11785	415	9	enet	0.22	3.2e-10	5.588547	2.29e-8
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000196683.10.wgt.RDat	ENSG00000196683.10	7	22822851	22822852	0.2329	rs11770879	6.99	rs2240727	0.134307	-5.42	4.59375	497	7	enet	0.15	3.3e-7	-4.414545	1.01e-5
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000105976.14.wgt.RDat	ENSG00000105976.14	7	116672389	116672390	0.3003	rs2402118	7.35	rs2299439	0.25638	-6.84	3.70971	340	17	enet	0.31	3.8e-14	-4.838956	1.31e-6
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000176209.11.wgt.RDat	ENSG00000176209.11	8	42541711	42541712	0.4234	rs2974342	5.04	rs2923428	0.290564	6.86	4.94208	262	15	enet	0.25	1.1e-11	4.40921	1.04e-5
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000281649.1.wgt.RDat	ENSG00000281649.1	9	37079856	37079857	0.2796	rs10973282	9.9	rs308495	0.07108	-4.14	7.78473	465	2	enet	0.031	0.016	-7.1386	9.43e-13
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000169925.16.wgt.RDat	ENSG00000169925.16	9	134068534	134068535	0.2184	rs11789898	9.75	rs10993907	0.01229	-3.82	9.09888	587	22	enet	0.002	0.25	-5.6155	1.96e-8
GTExv8.EUR.Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000174165.7.wgt.RDat	ENSG00000174165.7	11	66546237	66546238	0.1819	rs1253440	8.65	rs3179961	0.176261	-5.45	5.35893	262	23	enet	0.13	2.4e-6	-4.95331	7.3e-7
