GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961      2       1  351827     -0.91666      0.82034        0.817   1000
339451       1     895967     901099     36       3  351827       1.6117     0.053514        0.045   1000
84069        1     901872     910488     62      11  351827       1.4378     0.075241        0.067   1000
84808        1     910579     917473    102      13  351827       1.0888      0.13811        0.132   1000
57801        1     934342     936608      7       1  351827     0.010471      0.49582        0.491   1000
375790       1     955503     991499      7       2  351827      0.18175      0.42789        0.409   1000
254173       1    1109286    1133315      3       1  351827       1.7953     0.036299        0.031   1000
7293         1    1146706    1149703      5       1  351827      0.20711      0.41796        0.424   1000
51150        1    1152288    1167447    256      11  351827      0.14787      0.44122        0.431   1000
126792       1    1167629    1170421     22       2  351827      0.17506      0.43052        0.448   1000
6339         1    1215816    1227409     11       2  351827      0.19654      0.42209        0.422   1000
116983       1    1227764    1243304     15       3  351827     0.085229      0.46604        0.481   1000
126789       1    1243962    1247057     99       6  351827      0.32427      0.37287        0.362   1000
54973        1    1246965    1260067    125       9  351827    -0.078525      0.53129        0.526   1000
80772        1    1260136    1264276     72       5  351827    -0.049127      0.51959        0.489   1000
83756        1    1266726    1269844     19       1  351827     -0.85134      0.80271          0.8   1000
1855         1    1270658    1284509      2       1  351827     0.062454       0.4751        0.469   1000
54587        1    1288071    1297183     42       3  351827     -0.24446      0.59656        0.584   1000
54998        1    1309110    1310818     44       4  351827      0.49408      0.31063        0.304   1000
441869       1    1353800    1356824     45       6  351827     -0.81249      0.79175         0.82   1000
643965       1    1361508    1363167     66       5  351827      0.44712       0.3274        0.342   1000
64856        1    1370903    1378262     46       3  351827      0.25855      0.39799        0.393   1000
219293       1    1378152    1405538     61       8  351827        1.809     0.035226        0.042   1000
83858        1    1407139    1444852     84       7  351827       1.4915     0.067916        0.057   1000
55210        1    1447523    1470067      2       1  351827       1.0408      0.14899        0.147   1000
142678       1    1550795    1565990      5       1  351827      0.13182      0.44756        0.463   1000
984          1    1571100    1590473     47       7  351827      0.62322      0.26657         0.28   1000
728661       1    1591486    1624243     48       7  351827      0.81256      0.20823        0.231   1000
728642       1    1633822    1655999      2       1  351827     -0.66372      0.74657        0.751   1000
9906         1    1656277    1677438     23       5  351827      0.71012      0.23881        0.241   1000
65220        1    1682671    1711508     38       1  351827     -0.93854      0.82602        0.827   1000
163688       1    1846266    1848733     94       7  351827     -0.80274      0.78894        0.788   1000
339456       1    1849029    1850740    160       7  351827      0.69924       0.2422        0.207   1000
85452        1    1853390    1935276    247      14  351827      0.41735      0.33821        0.311   1000
5590         1    1981909    2116834     97       5  351827     -0.77697      0.78141        0.786   1000
100506504    1    2113250    2115812      8       2  351827      0.11291      0.45505        0.466   1000
199990       1    2115899    2144159     31       6  351827     -0.71931      0.76402        0.757   1000
79906        1    2251719    2323190     74       9  351827     -0.40298      0.65652        0.665   1000
11079        1    2323214    2336883     27       5  351827     -0.49541      0.68985        0.704   1000
5192         1    2336241    2344010      5       1  351827      0.42956      0.33376        0.311   1000
9651         1    2407754    2436964      4       1  351827       1.5934      0.05554        0.072   1000
100287898    1    2572807    2706230     27       1  351827     0.078985      0.46852        0.445   1000
27237        1    3371147    3397677    126       9  351827      -1.8722      0.96941        0.968   1000
127262       1    3541556    3546695      3       2  351827     -0.55444      0.71036        0.692   1000
49856        1    3547331    3566671     54       7  351827      -0.8406      0.79971        0.795   1000
7161         1    3569129    3652765      4       1  351827       0.3446       0.3652        0.374   1000
388588       1    3689352    3692546      5       1  351827      -1.6623      0.95178         0.95   1000
57470        1    3696784    3713068      1       1  351827      0.57045      0.28419        0.273   1000
9731         1    3728645    3773797    212      13  351827      0.82868      0.20364         0.22   1000
1677         1    3773845    3801993     37       2  351827      0.71785      0.23642        0.237   1000
339448       1    3805697    3816857      8       1  351827    -0.099165       0.5395        0.527   1000
55966        1    4715105    4843851      1       1  351827      0.70802      0.23947        0.208   1000
261734       1    5922870    6052618    192       7  351827        1.476     0.069977        0.056   1000
8514         1    6052358    6161253     38       2  351827       1.9743     0.024172        0.027   1000
388591       1    6266189    6281359      7       2  351827     0.049147       0.4804        0.502   1000
23463        1    6281253    6296044     25       3  351827    0.0029178      0.49884        0.519   1000
387509       1    6307406    6321035     32       2  351827     -0.44037      0.67016        0.655   1000
11332        1    6324332    6453826     66       5  351827     -0.13273       0.5528        0.551   1000
54626        1    6475292    6484724    187       7  351827      0.25045      0.40112        0.392   1000
83715        1    6484836    6521004     21       1  351827     -0.46455      0.67887        0.677   1000
57449        1    6526152    6580121      2       1  351827     -0.14063      0.55592        0.572   1000
79707        1    6581407    6614658      4       1  351827     -0.87273       0.8086        0.817   1000
80835        1    6614987    6639817    105       2  351827       1.2968     0.097356          0.1   1000
3104         1    6640051    6649340     13       3  351827      0.07509      0.47007        0.482   1000
90326        1    6684925    6695646    272      11  351827      0.28932      0.38617        0.403   1000
55735        1    6694228    6761966    136      10  351827     -0.77993      0.78228        0.784   1000
9341         1    7831329    7841492     18       2  351827      -0.7439      0.77153        0.761   1000
765          1    9005893    9035151      2       1  351827     -0.22009       0.5871        0.581   1000
155184       1    9063359    9086404     62       4  351827       1.1641      0.12218        0.129   1000
6518         1    9097005    9131763     28       4  351827     -0.47062      0.68104        0.707   1000
9563         1    9294822    9331396     20       2  351827       0.8686      0.19253        0.197   1000
199953       1    9648932    9674935     81       3  351827      0.37277      0.35466        0.342   1000
84328        1    9982168   10003460     11       4  351827      0.87574      0.19059        0.169   1000
116362       1   10057255   10076078    135      10  351827      -0.3052      0.61989        0.588   1000
378708       1   10489944   10510239     83       3  351827       1.9353     0.026475        0.026   1000
1325         1   10509776   10512060     13       3  351827       1.7552     0.039616        0.042   1000
1676         1   10520588   10532613     63       2  351827       1.5557     0.059888        0.067   1000
23435        1   11072462   11085549      6       1  351827     -0.81102      0.79132        0.792   1000
10747        1   11086580   11107296      2       1  351827      0.85873      0.19525        0.188   1000
5394         1   11126675   11159961    309       5  351827     -0.33819      0.63239        0.645   1000
10218        1   11249346   11256038      5       2  351827       0.5861      0.27891        0.279   1000
29914        1   11333255   11348491     13       1  351827     -0.67515      0.75021        0.722   1000
26232        1   11707924   11714888     13       3  351827     -0.12093      0.54813        0.536   1000
93611        1   11714432   11723384      2       1  351827        1.352     0.088181          0.1   1000
26270        1   11724150   11734411      9       1  351827       1.0204      0.15377        0.142   1000
10459        1   11734537   11751678     31       4  351827     0.036075      0.48561        0.495   1000
57085        1   11796142   11810828      6       1  351827      -1.2904      0.90154        0.909   1000
4524         1   11845787   11866160    119       5  351827      -1.6972      0.95517        0.948   1000
1185         1   11866153   11903201    134       9  351827     -0.35059      0.63705         0.65   1000
4879         1   11917521   11918992      5       1  351827     -0.56201      0.71295        0.671   1000
90231        1   11979645   11986485    135       7  351827     -0.29365      0.61549        0.592   1000
5351         1   11994724   12035599     20       4  351827     -0.35102      0.63721        0.619   1000
9927         1   12040238   12073572    183      10  351827     -0.59046      0.72256        0.711   1000
126767       1   12776118   12788726      3       1  351827         1.56      0.05938        0.065   1000
93190        1   12806163   12821102      1       1  351827      -1.0089      0.84348        0.877   1000
440560       1   12884468   12891264     86       3  351827      -5.6339            1        0.999   1000
114827       1   15573730   15724767    120      11  351827      -2.4375      0.99261         0.99   1000
51032        1   15802596   15817895      2       1  351827      0.26818      0.39428          0.4   1000
842          1   15817896   15851407    209       6  351827     0.031671      0.48737        0.486   1000
23341        1   15853343   15898228    164       4  351827     -0.34602      0.63534        0.621   1000
79814        1   15898194   15911605    455       7  351827      0.54651      0.29236        0.288   1000
284723       1   16062721   16067884    275       6  351827      0.75404      0.22541        0.229   1000
54751        1   16083107   16113089     11       3  351827      0.63496      0.26273        0.261   1000
440567       1   16133657   16134194     64       4  351827       1.7888     0.036825        0.032   1000
