GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679      6       1  351827       1.6959     0.044952        0.045   1000
339451       1     895967     901099     39       3  351827      0.71191      0.23826        0.228   1000
84808        1     910579     917473     15       3  351827     -0.75345      0.77441        0.785   1000
375790       1     955503     991499     59       4  351827      0.35081      0.36286        0.365   1000
54991        1    1017198    1051736     77       8  351827      0.25958      0.39759        0.403   1000
254173       1    1109286    1133315      5       1  351827      0.15764      0.43737        0.446   1000
126792       1    1167629    1170421     65       1  351827      -1.2836      0.90035        0.882   1000
118424       1    1189292    1209234      1       1  351827      0.17636         0.43        0.435   1000
6339         1    1215816    1227409     24       1  351827      0.46155       0.3222        0.285   1000
116983       1    1227764    1243304      5       1  351827     -0.53665      0.70424        0.707   1000
1855         1    1270658    1284509      9       1  351827     -0.48235      0.68522        0.706   1000
54587        1    1288071    1297183     23       4  351827      0.07959      0.46828        0.467   1000
55052        1    1337276    1342693     68       3  351827      0.64529      0.25937        0.239   1000
441869       1    1353800    1356824    186      11  351827    0.0040021       0.4984        0.493   1000
219293       1    1378152    1405538     38       5  351827       1.6472     0.049758        0.044   1000
83858        1    1407139    1444852     58       5  351827       1.6449     0.049991        0.044   1000
55210        1    1447523    1470067     11       2  351827      0.76749      0.22139        0.241   1000
339453       1    1470158    1475740      1       1  351827     -0.20215       0.5801        0.594   1000
984          1    1571100    1590473     30       5  351827      0.97337      0.16518        0.159   1000
728661       1    1591486    1624243     56       8  351827      0.83098      0.20299        0.212   1000
728642       1    1633822    1655999     19       3  351827      0.40697      0.34201         0.35   1000
9906         1    1656277    1677438     49       5  351827      0.78598      0.21594        0.232   1000
2782         1    1716725    1822552      9       2  351827     -0.89072      0.81346        0.799   1000
163688       1    1846266    1848733    118       5  351827     -0.11541      0.54594        0.554   1000
339456       1    1849029    1850740     28       1  351827     0.088514      0.46473        0.452   1000
199990       1    2115899    2144159      7       2  351827      -1.0927      0.86274        0.876   1000
79906        1    2251719    2323190     71      10  351827      -0.6159      0.73102        0.722   1000
9651         1    2407754    2436964     20       4  351827      -0.2857      0.61245        0.612   1000
127281       1    2517899    2522908      3       1  351827      -1.0099      0.84372        0.845   1000
100287898    1    2572807    2706230    115       3  351827     0.058797      0.47656        0.458   1000
49856        1    3547331    3566671     57      10  351827      -1.3495      0.91141        0.929   1000
57470        1    3696784    3713068     22       1  351827      0.79127      0.21439         0.22   1000
9731         1    3728645    3773797    222      10  351827       0.2499      0.40133        0.415   1000
1677         1    3773845    3801993     54       3  351827       0.9698      0.16607        0.153   1000
339448       1    3805697    3816857     43       5  351827       1.2821       0.0999        0.106   1000
261734       1    5922870    6052618    183       6  351827       1.1493      0.12522        0.132   1000
26038        1    6161847    6240194     67       5  351827     -0.51822      0.69785        0.698   1000
388591       1    6266189    6281359     43       6  351827     -0.23686      0.59362        0.598   1000
23463        1    6281253    6296044     31       3  351827      0.15273      0.43931        0.439   1000
11332        1    6324332    6453826      6       1  351827     0.090549      0.46393        0.464   1000
90326        1    6684925    6695646     55       4  351827     -0.14344      0.55703        0.565   1000
9341         1    7831329    7841492     46       4  351827     -0.41541      0.66108        0.627   1000
11315        1    8021714    8045342     84       3  351827     -0.21371      0.58461        0.607   1000
473          1    8412464    8877699      5       1  351827     0.075788      0.46979        0.492   1000
9563         1    9294822    9331396     29       4  351827       1.0423      0.14863        0.156   1000
5293         1    9711789    9789172      7       1  351827       2.3463    0.0094807       0.0094   5000
22883        1    9789079    9884550     37       1  351827       0.7796      0.21781        0.231   1000
56998        1    9908334    9970316      3       1  351827      0.70404       0.2407        0.232   1000
116362       1   10057255   10076078     36       4  351827       1.4325     0.076007        0.069   1000
5226         1   10458884   10480565    283       6  351827       2.9609    0.0015337       0.0013  10000
378708       1   10489944   10510239     18       1  351827      0.16346      0.43508        0.426   1000
10747        1   11086580   11107296      1       1  351827     -0.64053      0.73909        0.748   1000
5394         1   11126675   11159961    197       4  351827     -0.13132      0.55224         0.56   1000
2475         1   11166588   11322614    128       2  351827     0.046897       0.4813        0.488   1000
26232        1   11707924   11714888     11       2  351827     0.044597      0.48221        0.475   1000
93611        1   11714432   11723384      2       1  351827        1.352     0.088181        0.088   1000
26270        1   11724150   11734411     13       3  351827      0.83298      0.20243        0.207   1000
4524         1   11845787   11866160     22       4  351827     -0.90579      0.81748        0.828   1000
9927         1   12040238   12073572     10       1  351827     -0.44116      0.67045        0.676   1000
126755       1   13801445   13840242     29       4  351827     -0.31021       0.6218        0.647   1000
10630        1   13910252   13944452     15       2  351827      -2.2408      0.98748         0.99   1000
114827       1   15573730   15724767    113       3  351827      -2.3328      0.99017        0.986   1000
79180        1   15736391   15756839      1       1  351827       1.5903     0.055879        0.058   1000
842          1   15817896   15851407    259       7  351827     -0.28869      0.61359        0.612   1000
23341        1   15853343   15898228      1       1  351827      -1.0925       0.8627        0.873   1000
79814        1   15898194   15911605      9       1  351827     0.063258      0.47478        0.475   1000
23207        1   16010632   16061264     40       1  351827      0.47623      0.31695         0.35   1000
284723       1   16062721   16067884     92       3  351827      0.35672      0.36065        0.385   1000
1187         1   16348486   16360548     98       5  351827       1.0628      0.14394        0.162   1000
1188         1   16370231   16383821    256      12  351827       1.0313      0.15121        0.146   1000
128272       1   16524599   16539104    201       9  351827      0.60059      0.27406        0.283   1000
79363        1   16558182   16563659    162       8  351827      0.50542      0.30663        0.321   1000
55707        1   16767167   16786585     19       1  351827      -1.0551      0.85432        0.859   1000
9696         1   17248445   17299474    155       5  351827     -0.31185      0.62242        0.642   1000
4237         1   17300997   17308081    116       6  351827     -0.37928      0.64776        0.647   1000
127707       1   18807424   18812540     36       4  351827     -0.41287      0.66015         0.65   1000
23352        1   19401000   19536812     30       1  351827     0.035633      0.48579        0.452   1000
23065        1   19542158   19578053    298      10  351827    -0.045665      0.51821        0.501   1000
51154        1   19578075   19586622     54       4  351827        1.025      0.15269        0.128   1000
22977        1   19609057   19615280      5       1  351827       1.0508      0.14668        0.141   1000
8574         1   19629202   19638640      9       1  351827       1.0838      0.13923        0.128   1000
4681         1   19969723   19984949     44       3  351827     -0.48603      0.68653        0.666   1000
255104       1   20008706   20126424      5       1  351827      0.31546      0.37621        0.395   1000
23252        1   20208356   20239438     22       2  351827       -1.615      0.94685         0.95   1000
5320         1   20301924   20306932      3       1  351827      0.16728      0.43357        0.433   1000
5322         1   20386157   20418394      2       1  351827     -0.19679        0.578        0.551   1000
127733       1   20512578   20522540      8       1  351827    -0.069327      0.52764        0.517   1000
79594        1   20825941   20834674     20       3  351827      -2.0343      0.97904        0.975   1000
978          1   20915444   20945401     39       3  351827    -0.081585      0.53251        0.517   1000
84224        1   21766583   21811393    151      11  351827      -1.5329      0.93734        0.931   1000
3339         1   22148737   22263750     36       1  351827       -1.051      0.85337        0.844   1000
23436        1   22303418   22315847     58       3  351827      0.15573      0.43812        0.444   1000
10136        1   22328149   22339035      3       1  351827     0.066807      0.47337         0.47   1000
23028        1   23345937   23410184      2       1  351827     -0.20637      0.58175        0.579   1000
80818        1   23685941   23696357    143      12  351827      0.27875      0.39022        0.393   1000
6924         1   24069856   24088549    102       2  351827       1.7731     0.038107        0.042   1000
55629        1   24286301   24289952      3       1  351827     -0.93928      0.82621        0.822   1000
163702       1   24480647   24513765      1       1  351827      0.54025      0.29451        0.264   1000
90529        1   24683489   24741587     17       1  351827        1.092      0.13741        0.134   1000
400746       1   24882567   24935819     36       5  351827       0.3113      0.37779        0.396   1000
6007         1   25598884   25656936    177       3  351827     -0.40825      0.65846        0.664   1000
23585        1   25664789   25688852     33       1  351827     -0.42819      0.66574        0.687   1000
6006         1   25687853   25747363    165       2  351827     -0.73726      0.76952        0.789   1000
26119        1   25870071   25895377     28       2  351827      -0.7594      0.77619        0.775   1000
57134        1   25943959   26111258      4       1  351827      -2.7221      0.99676        0.999   1000
56181        1   26146397   26159433     62       4  351827     -0.74084       0.7706        0.766   1000
84676        1   26377792   26394142     24       3  351827     -0.37931      0.64777         0.65   1000
149420       1   26437656   26452039      1       1  351827       1.8492     0.032215        0.031   1000
79927        1   26485511   26489119     44       5  351827      -1.9909      0.97676        0.981   1000
64793        1   26560644   26605529    119       6  351827     -0.69348        0.756        0.749   1000
83442        1   26606213   26608013    136       4  351827     -0.35896      0.64019        0.636   1000
257101       1   26688125   26701023     19       1  351827     -0.47428      0.68235        0.685   1000
79947        1   26758773   26797797     37       1  351827     0.012662      0.49495        0.513   1000
3151         1   26798902   26803133      1       1  351827     -0.39311      0.65288        0.653   1000
101928728    1   27018623   27022896    134       2  351827      0.80067      0.21166        0.201   1000
55650        1   27113739   27124894    173       3  351827      0.90695      0.18222        0.173   1000
8431         1   27237975   27240567      2       1  351827    -0.062236      0.52481        0.537   1000
10726        1   27248187   27273362      9       1  351827  -0.00071009      0.50028        0.482   1000
84065        1   27648636   27662891     67       3  351827     -0.24762      0.59779          0.6   1000
9064         1   27681670   27693558      2       1  351827    -0.097083      0.53867        0.546   1000
388611       1   27705596   27709823      9       2  351827    0.0055048       0.4978        0.529   1000
6118         1   28218035   28241255     47       4  351827     0.049157       0.4804        0.479   1000
27293        1   28261456   28285663     91       5  351827     -0.17521      0.56954        0.563   1000
55113        1   28286504   28294604     31       3  351827      0.50212      0.30779        0.322   1000
2140         1   28296855   28415173     51       1  351827       1.2779      0.10064        0.114   1000
5724         1   28473677   28520447     13       1  351827      -0.5764      0.71783        0.737   1000
1104         1   28832455   28865708      1       1  351827     0.045458      0.48187        0.496   1000
51102        1   29519385   29557460    178       7  351827      -1.3833      0.91671         0.92   1000
1307         1   32117848   32169768      4       1  351827      -1.1578      0.87654        0.881   1000
55116        1   32538503   32568467     40       2  351827     -0.49019        0.688        0.682   1000
56063        1   32680040   32687954      4       1  351827     -0.18643      0.57395        0.542   1000
81493        1   33145507   33168361      1       1  351827       0.1866      0.42599        0.437   1000
252995       1   33327869   33338093      1       1  351827      -1.0338      0.84939        0.838   1000
7579         1   33938232   33962105     35       1  351827      -0.6103      0.72917        0.731   1000
2709         1   35220648   35224113     12       1  351827        1.232      0.10898          0.1   1000
2701         1   35258559   35261351      8       1  351827    0.0023442      0.49906        0.508   1000
113444       1   35315963   35325417      6       2  351827     -0.67189      0.74917        0.771   1000
79830        1   35525387   35581460     51       2  351827       2.1234     0.016861        0.018   1000
339488       1   36038971   36060929    333       8  351827     -0.69328      0.75593        0.772   1000
127703       1   36179477   36184790    204       6  351827      0.45354      0.32508        0.324   1000
192670       1   36273231   36323491     25       2  351827      0.37064      0.35545        0.371   1000
