PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000175279.21.wgt.RDat	ENSG00000175279.21	1	10430782	10430783	0.1478	rs12402967	-9.03	rs12565133	0.0865	-5.48	-2.880898	383	28	enet	0.072	4.4e-6	-5.12009	3.05e-7
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000225313.5.wgt.RDat	ENSG00000225313.5	1	33313323	33313324	0.4309	rs4653051	5.38	rs4653051	0.314	9.3	5.375988	428	16	enet	0.3	6.1e-23	4.68035	2.86e-6
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000231163.5.wgt.RDat	ENSG00000231163.5	1	33868952	33868953	0.2039	rs4653358	6.9	rs6425855	0.191	7.48	6.864973	603	8	enet	0.17	4.3e-13	5.87866	4.14e-9
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000269956.1.wgt.RDat	ENSG00000269956.1	1	46538695	46538696	0.2216	rs324423	-5.42	rs10890404	0.0988	5.53	-3.648334	335	42	enet	0.041	4.3e-4	-4.72321	2.32e-6
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000169291.9.wgt.RDat	ENSG00000169291.9	1	154502112	154502113	0.2491	rs4845681	13.15	rs11265622	0.195	7.45	5.94486	404	11	enet	0.16	4.9e-12	5.08398	3.7e-7
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000229780.1.wgt.RDat	ENSG00000229780.1	1	154553608	154553609	0.1016	rs4845681	13.15	rs4584384	0.0678	-4.49	5.698755	415	7	enet	0.05	1.2e-4	-5.88868	3.89e-9
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000163344.5.wgt.RDat	ENSG00000163344.5	1	154936990	154936991	0.1332	rs4845681	13.15	rs6699043	0.0771	-4.98	7.439295	399	9	enet	0.026	0.0042	-7.51862	5.54e-14
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.2476	rs4845681	13.15	rs11264300	0.133	-6.44	8.875752	378	25	enet	0.11	1e-8	-5.83799	5.28e-9
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.175	rs7536102	12.55	rs4442420	0.167	8.21	6.59977	275	35	enet	0.2	2.9e-15	9.16271	5.06e-20
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000120333.4.wgt.RDat	ENSG00000120333.4	1	175023424	175023425	0.0667	rs12077529	12.47	rs6670315	0.0164	4.05	7.661379	440	22	enet	0.0076	0.08	6.32894	2.47e-10
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000235582.2.wgt.RDat	ENSG00000235582.2	1	197735796	197735797	0.1072	rs4026514	10.31	rs904576	0.0707	-5.65	7.482156	331	17	enet	0.1	3.6e-8	-6.13085	8.74e-10
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.0918	rs4026514	10.31	rs4915564	0.0253	3.75	8.728937	334	14	enet	-0.0022	0.53	7.66666	1.77e-14
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000151414.14.wgt.RDat	ENSG00000151414.14	1	198156962	198156963	0.0862	rs4412625	-10.63	rs6696079	0.00622	3.85	-6.85183	400	12	enet	-0.0013	0.42	-6.80291	1.03e-11
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000224540.1.wgt.RDat	ENSG00000224540.1	1	209232195	209232196	0.4674	rs2788149	9.16	rs2250701	0.48	-11.43	4.897684	551	13	enet	0.44	1.3999999999999999e-36	-5.86949	4.37e-9
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000163050.16.wgt.RDat	ENSG00000163050.16	1	226897535	226897536	0.0976	rs7534366	7.93	rs1938386	0.0919	5.26	7.589702	491	5	enet	0.065	1.3e-5	7.04339	1.88e-12
GTExv8.EUR.Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000233587.1.wgt.RDat	ENSG00000233587.1	2	22536478	22536479	0.1994	rs1484686	10.21	rs4665181	0.0973	5.24	5.118866	390	37	enet	0.096	1.1e-7	5.06555	4.07e-7
