PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.4917	rs1891910	-4.64	rs3094315	0.0852	6.24	-0.146306	137	32	enet	0.14	1.3e-16	-0.34636	0.729
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.215	rs1891910	-4.64	rs3094315	0.0642	5.77	-0.146306	154	17	enet	0.052	9.3e-07	0.24966	0.803
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3883	rs1891910	-4.64	rs3094315	0.138	7.97	-0.146306	157	18	enet	0.21	2.2e-24	0.19748	0.843
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000187634.11.wgt.RDat	ENSG00000187634.11	1	923927	923928	0.0707	rs1891910	-4.64	rs4475691	0.0294	-4.93	0.594729	178	11	enet	0.029	2e-04	0.87458	0.382
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1702	rs1891910	-4.64	rs3748595	0.115	7.2	-3.446621	182	9	enet	0.079	1.3e-09	-3.29938	0.000969
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.084	rs1891910	-4.64	rs13303010	0.0376	-4.67	-1.059608	182	10	enet	0.024	0.00061	1.59072	0.112
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1121	rs1891910	-4.64	rs3748592	0.0386	-5.14	-3.112658	182	20	enet	0.037	3e-05	2.26451	0.0235
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.386	rs1891910	-4.64	rs3128117	0.301	-11.53	-0.839866	185	39	enet	0.31	9.2e-38	0.39796	0.691
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.1579	rs1891910	-4.64	rs13303118	0.0846	6.76	-0.599329	185	21	enet	0.09	8.6e-11	-1.9324	0.0533
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.0954	rs1891910	-4.64	rs3121567	0.0191	-4.22	-0.899627	185	7	enet	0.038	2.5e-05	0.21644	0.829
Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000224969.1.wgt.RDat	ENSG00000224969.1	1	1013192	1013193	0.0762	rs1891910	-4.64	rs12089560	-0.00022	-3.39	0.791504	186	54	enet	0.041	1e-05	-2.75209	0.00592
