PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.257	rs573744	9.24	rs28411352	0.171	5.07	5.358661	452	22	enet	0.1	1e-4	5.702995	1.18e-8
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1819	rs4845681	13.15	rs6686021	0.0529	-4.97	6.155526	414	7	enet	0.058	0.0029	-8.309409	9.62e-17
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.2459	rs4845681	13.15	rs11264300	0.143	-5.45	8.875752	377	18	enet	0.12	1.9e-5	-7.547143	4.45e-14
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6906	rs1196366	6.6	rs2291426	0.717	-9.83	6.291535	462	22	enet	0.69	2e-35	-5.771251	7.87e-9
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.734	rs1196366	6.6	rs2291426	0.479	8.15	6.291535	471	34	enet	0.54	3.7e-24	4.385109	1.16e-5
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000115137.11.wgt.RDat	ENSG00000115137.11	2	24972093	24972094	0.2184	rs713587	10.96	rs10432684	0.075467	-4.01	7.731301	322	17	enet	0.066	0.0015	-9.047763	1.46e-19
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000144057.15.wgt.RDat	ENSG00000144057.15	2	106887107	106887108	0.2372	rs2030676	-9.26	rs10865075	0.04368	-4.22	-7.915523	413	20	enet	0.06	0.0024	5.19506	2.05e-7
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.1015	rs13023540	15.13	rs6720403	0.138175	-4.54	-7.363722	365	20	enet	0.075	7.5e-4	7.788535	6.78e-15
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000115596.3.wgt.RDat	ENSG00000115596.3	2	218859820	218859821	0.4781	rs13023540	18.53	rs12053317	0.057656	-3.94	0.24414	377	90	enet	0.012	0.1	-5.610355	2.02e-8
GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24/ENSG00000206567.9.wgt.RDat	ENSG00000206567.9	3	10011208	10011209	0.1772	rs7626117	-8.58	rs6800204	0.017189	3.98	-5.42434	520	22	enet	0.019	0.061	-4.65294	3.27e-6
