PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.338	rs1891910	-4.64	rs3094315	0.214433	6.04	-0.146306	156	19	enet	0.22	3.9e-10	-0.126948	0.899
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000223764.2.wgt.RDat	ENSG00000223764.2	1	919691	919692	0.2994	rs1891910	-4.64	rs1110052	0.154141	-5.1	0.457433	176	9	enet	0.09	7.7e-05	-0.988437	0.323
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2993	rs1891910	-4.64	rs3748592	0.038739	3.76	-3.112658	181	16	enet	0.059	0.0013	-2.350934	0.0187
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.3059	rs1891910	-4.64	rs1806509	0.02232	-3.69	0.210749	181	26	enet	0.049	0.0031	-0.308153	0.758
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2378	rs1891910	-4.64	rs3128117	0.16377	-5.45	-0.839866	184	7	enet	0.11	1.6e-05	1.383556	0.166
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.3302	rs1891910	-4.64	rs6687776	0.083509	-5.02	0.08773	216	14	enet	0.12	5.9e-06	-0.262116	0.793
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000186827.10.wgt.RDat	ENSG00000186827.10	1	1214131	1214132	0.2595	rs1891910	-4.64	rs7515488	0.070007	-4.56	0.072682	228	28	enet	0.055	0.0019	0.540921	0.589
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.3692	rs1891910	-4.64	rs12036216	0.222376	-7.01	-0.281037	229	8	enet	0.24	4.5e-11	0.156752	0.875
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.2057	rs1891910	-4.64	rs7524470	0.010084	3.66	-0.326171	245	11	enet	0.045	0.0046	0.731963	0.464
Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.1935	rs1891910	-4.64	rs4970432	0.0757	4.1	0.148021	253	34	enet	0.092	6.8e-05	1.624226	0.104
