PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.333	rs12402967	-9.03	rs4846221	0.421002	15.8	-6.236685	377	22	enet	0.42	8.600000000000001e-71	-5.64212	1.68e-8
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.1184	rs573744	9.24	rs28411352	0.083102	7.34	5.358661	458	16	enet	0.077	5.2e-12	4.97263	6.61e-7
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.0833	rs12739065	-9.81	rs7529802	0.065728	-6.63	-9.365272	385	14	enet	0.045	1.3e-7	7.94752	1.9e-15
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000120333.4.wgt.RDat	ENSG00000120333.4	1	175023424	175023425	0.0618	rs12077529	12.47	rs1034462	0.061994	6.7	4.897861	439	31	enet	0.055	5.1e-9	6.31244	2.75e-10
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3856	rs1196366	6.6	rs2291426	0.586951	-18.57	6.291535	462	10	enet	0.57	1.0999999999999999e-108	-5.85052	4.9e-9
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.0384	rs713587	10.96	rs6726261	0.025	-4.09	7.222809	323	8	enet	0.0061	0.033	-5.217605	1.81e-7
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000169764.15.wgt.RDat	ENSG00000169764.15	2	63840939	63840940	0.0579	rs9309355	-13.53	rs6709123	0.0358	5.64	7.455624	319	5	enet	0.042	3e-7	6.247239	4.18e-10
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.2247	rs2138913	-6.53	rs4853462	0.205	-11.21	-4.911781	384	24	enet	0.2	7.5e-30	5.148664	2.62e-7
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.062	rs2138913	-6.53	rs6704784	0.0518	-5.98	-5.013804	384	7	enet	0.035	3.2e-6	5.310824	1.09e-7
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0766	rs13023540	14.75	rs3821031	0.0566	6.08	-7.372716	364	10	enet	0.045	1.3e-7	-7.378919	1.6e-13
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000144580.13.wgt.RDat	ENSG00000144580.13	2	218568579	218568580	0.0831	rs13023540	14.75	rs524012	0.0315	5.02	-7.643897	364	29	enet	0.037	1.3e-6	-5.610217	2.02e-8
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000273466.1.wgt.RDat	ENSG00000273466.1	2	218634013	218634014	0.0231	rs13023540	14.94	rs2710246	0.0151	3.88	-8.245182	375	10	enet	0.0041	0.065	-7.563485	3.92e-14
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.0278	rs7626117	-8.58	rs17032278	0.020191	4.07	-6.79	524	11	enet	0.01	0.0086	-6.38279	1.74e-10
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.2555	rs7626117	-8.58	rs41464050	0.216949	-11.42	-5.67	567	13	enet	0.21	9.6e-33	5.88234	4.05e-9
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000134086.7.wgt.RDat	ENSG00000134086.7	3	10141007	10141008	0.0325	rs7626117	-8.58	rs6789156	0.00754	-4.04	-6.94	587	19	enet	0.0061	0.033	5.41912	5.99e-8
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000224728.1.wgt.RDat	ENSG00000224728.1	3	15878046	15878047	0.0495	rs2470550	-8.51	rs2455834	0.049595	5.71	-8.17	468	16	enet	0.043	2.3e-7	-8.35894	6.33e-17
GTExv8.EUR.Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000163931.15.wgt.RDat	ENSG00000163931.15	3	53256030	53256031	0.1489	rs11130367	11.74	rs10461029	0.039302	6.36	5.75	403	10	enet	0.05	2.7e-8	5.56784	2.58e-8
